index1,index,Girisimcilik Kulupleri Tarzi Bir Kulube Uye misiniz?,Uye Oldugunuz Kulubun Ismi,Profesyonel Bir Spor Daliyla Mesgul musunuz?,Spor Dalindaki Rolunuz Nedir?,Aktif olarak bir STK üyesi misiniz?,Hangi STK'nin Uyesisiniz?,Stk Projesine Katildiniz Mi?,Girisimcilikle Ilgili Deneyiminiz Var Mi?,Girisimcilikle Ilgili Deneyiminizi Aciklayabilir misiniz?
1,1,1,bilkent ieee bilgisayar toplulugu 2013-2014 baskani,1,bireysel,0,Null,1,0,Null
2,2,0,Null,0,yok,0,Null,1,1,bilkent cyberparkta bir sirkette turkiye nin ilk ekonomik dna goruntuleme cihazini yapmak icin calismaya basladim.
3,3,1,tema,0,yok,0,Null,0,0,Null
4,4,1,guzel konusma ve yazma kulubu,0,yok,0,Null,1,0,Null
5,5,0,Null,0,yok,0,Null,0,0,Null
6,6,1,istanbul ticaret universitesi girisimcilik kulubu,0,yok,0,Null,0,0,Null
7,7,Null,Null,Null,Null,Null,Null,Null,Null,Null
8,8,0,Null,0,yok,0,Null,1,0,Null
9,9,0,Null,0,yok,1,demokratiklesme cabalari,1,1,konvansiyonel medyanin donusumune ve tuketimin infografik efektler uzerinden gerceklestirilecegi bir format uzerinde calisiyorum.
10,10,0,Null,1,bireysel,0,Null,0,0,Null
11,11,1,politika ve akademi toplulugu,0,yok,0,Null,1,0,Null
12,12,1,fatih universitesi acm kulubu,0,yok,0,Null,0,0,Null
13,13,1,"toplumsal duyarlilik projeleri, bilgi ve tanitim ofisi",1,kaptan,0,Null,1,0,Null
14,14,0,gen girisimciler agi,0,yok,0,Null,1,1,"kucuklugumden beri el becerisi olan ve girisimci bir yapiya sahip oldugumu gozlemledim. lise hayatimdan bu gune kadar onlarca yarismaya katildim bir cogunda final yaristim ve turkiye capinda dereceler almaya hak kazandim. lisede oldugu gibi universitede okul hayatim yarismalar ve girisimler ile gecti. 2014 yili haziran ayinda universiteden okul birincisi, mekatronik programi birincisi ve ogrencilerin doldurdugu enket ile okulun en zekisi unvanlari ile mezun oldum. mezun olmadan ki son senemde sanayi bakanligi teknogirisim sermayesi ve kosgeb ar-ge inovasyon destek programlarina projelerim ile basvuru yaptim ve buralardan 300.000 tl ye yakin bir destek almaya hak kazandim. bu destek ile beraber baskent universitesi teknoloji gelistirme merkezinde 24 ay sure ile bir ofis kiraladim ve sirketimi kurarak bu ofiste faaliyetlerimi surduruyorum."
15,15,1,gezi ve truzim klubu,0,yok,0,Null,1,0,Null
16,16,1,bilisim kulubu,0,yok,0,Null,0,0,Null
17,17,1,genc hukukcular kulubu yonetim kurulu uyesi,0,yok,0,Null,1,1,zirve universitesi genc girisimciler kulubu
18,18,1,"itec informatics technology engineering club kulubu, muhendislik kulubu, fotografcilik kulubu",1,bireysel,0,Null,0,0,Null
19,19,0,Null,0,yok,0,Null,0,0,Null
20,20,1,muhendislik toplulugu,0,yok,0,Null,0,0,Null
21,21,0,Null,0,yok,0,Null,0,0,Null
22,22,1,kirsehir anadolu ogretmen lisesi basketbol klubu,1,kaptan,0,Null,1,0,Null
23,23,0,Null,0,yok,0,Null,0,1,yurtici ve yurtdisi kimya sektoru girisimim var
24,24,0,Null,0,yok,0,Null,0,0,Null
25,25,1,"endustri muhendisligi toplulugu, estiem, lojistik klubu, izmir ekonomi universitesi rotaract klubu",0,yok,0,Null,0,0,Null
26,26,Null,Null,Null,Null,Null,Null,Null,Null,Null
27,27,1,microsoft student partner ve bilkent ieee,0,yok,0,Null,1,1,"windows 8 ilk yayinlandiginda, 4 arkadasimla birlikte platforma cok oyunculu olarak oynanabilen ilk okey oyununu cikarmak icin bir girisimde bulunduk, 4 ay sureyle kendimize bir ofis bulup birlikte calistik, grup uyelerinin mezuniyeti nedeniyle tamamlayamadik. bu proje kapsaminda bilgi universitesinde ve microsoft turkiye istanbul ofisinde pazarlama ve girisimcilik konulu etkinliklere davet edildik."
28,28,0,Null,0,yok,1,yuz yuze projesi,0,0,Null
29,29,0,Null,0,bireysel,0,Null,0,0,Null
30,30,0,Null,0,yok,0,Null,0,0,Null
31,31,1,sau yonetim bilisim sistemleri toplulugu,0,yok,0,Null,1,0,Null
32,32,0,Null,0,yok,0,Null,0,0,Null
33,33,1,demirkiran spor kulubu,0,yok,0,Null,0,0,Null
34,34,0,Null,0,yok,0,Null,0,1,kosgeb girisimcilik egitimlerine katildim ve katilim sertifikasi aldim.
35,35,0,Null,1,bireysel,0,Null,0,1,"mekan kordinatorlugu, organizatorluk, turne menajerligi, sanatci asistanligi"
36,36,1,koc universitesi farkindalik klubu,1,kaptan,0,Null,0,0,Null
37,37,0,sosyal yasami destekleme toplulugu,0,yok,0,Null,0,0,Null
38,38,0,Null,0,yok,0,Null,0,0,Null
39,39,0,Null,0,yok,0,Null,0,0,Null
40,40,1,"ieee, dans klubu",0,yok,0,Null,1,0,Null
41,41,0,Null,0,yok,1,oku dusun paylas projesi,1,0,Null
42,42,0,Null,1,bireysel,0,Null,1,1,kosgeb girisimcilik egitimi
43,43,1,bilgi international volunteer,1,bireysel,0,Null,0,0,Null
44,44,0,Null,0,yok,0,Null,1,0,Null
45,45,1,etkinlik birimi-ilgisizler-mua,0,yok,0,Null,1,0,Null
46,46,0,Null,0,yok,0,Null,1,0,Null
47,47,0,Null,0,yok,0,Null,1,0,Null
48,48,1,uluslararasi ticaret toplulugu,0,yok,0,Null,0,1,"odtu genc girisimciler toplulugu cercevesinde yapilan paneller,yeni is fikirleri"
49,49,0,Null,0,yok,0,Null,1,1,"fransizca ve ingilizce dillerinde tur rehberligi ve bagimsiz ingilizce- turkce metin, film ve televizyon programi cevirmenligi yaptim"
50,50,0,Null,0,yok,0,Null,0,0,Null
51,51,1,ekonomi ve isletme klubu,0,yok,0,Null,1,1,taki ticareti uzerine ufak bir girisimcilik deneyimim oldu fakat yetisememem nedeniyle bunu gelistirmek uzere ileri bir tarihe erteledim.
52,52,1,psikoloji kulubu,0,yok,0,Null,0,1,"psikolojiye ilgi duyan herkese acik, alaninda uzman 12 konusmacinin bulundugu psikoloji gunleri semineri."
53,53,Null,Null,Null,Null,Null,Null,Null,Null,Null
54,54,1,"inovatif internet toplulugu , operational research",0,yok,0,Null,1,0,Null
55,55,Null,Null,Null,Null,Null,Null,Null,Null,Null
56,56,0,Null,0,yok,0,Null,0,0,Null
57,57,0,Null,0,yok,0,Null,0,0,Null
58,58,1,gezi kulubu ve folklor kulubu,0,yok,0,Null,1,0,Null
