index1,index,Basvuru Yili,Degerlendirme Puani
1,1,2014,52.0
2,2,2014,30.0
3,3,2014,18.0
4,4,2014,40.0
5,5,2014,24.0
6,6,2014,37.0
7,7,2014,18.0
8,8,2014,24.0
9,9,2014,40.0
10,10,2014,31.0
11,11,2014,28.0
12,12,2014,26.0
13,13,2014,58.0
14,14,2014,28.0
15,15,2014,34.0
16,16,2014,33.0
17,17,2014,48.0
18,18,2014,33.0
19,19,2014,10.0
20,20,2014,24.0
21,21,2014,8.0
22,22,2014,54.0
23,23,2014,14.0
24,24,2014,24.0
25,25,2014,44.0
26,26,2014,60.0
27,27,2014,42.0
28,28,2014,26.0
29,29,2014,22.0
30,30,2014,14.0
31,31,2014,28.0
32,32,2014,16.0
33,33,2014,29.0
34,34,2014,8.0
35,35,2014,28.0
36,36,2014,46.0
37,37,2014,28.0
38,38,2014,22.0
39,39,2014,26.0
40,40,2014,41.0
41,41,2014,50.0
42,42,2014,44.0
43,43,2014,53.0
44,44,2014,34.0
45,45,2014,42.0
46,46,2014,36.0
47,47,2014,24.0
48,48,2014,40.0
49,49,2014,44.0
50,50,2014,18.0
51,51,2014,44.0
52,52,2014,44.0
53,53,2014,28.0
54,54,2014,52.0
55,55,2014,34.0
56,56,2014,32.0
57,57,2014,32.0
58,58,2014,52.0
59,59,2014,38.0
60,60,2014,18.0
61,61,2014,34.0
62,62,2014,44.0
63,63,2014,14.0
64,64,2014,32.0
65,65,2014,42.0
66,66,2014,48.0
67,67,2014,29.0
68,68,2014,30.0
69,69,2014,20.0
70,70,2014,12.0
71,71,2014,46.0
72,72,2014,48.0
73,73,2014,44.0
74,74,2014,50.0
75,75,2014,51.0
76,76,2014,44.0
77,77,2014,42.0
78,78,2014,22.0
79,79,2014,52.0
80,80,2014,29.0
81,81,2014,32.0
82,82,2014,26.0
83,83,2014,30.0
84,84,2014,65.0
85,85,2014,44.0
86,86,2014,56.0
87,87,2014,33.0
88,88,2014,61.0
89,89,2014,62.0
90,90,2014,49.0
91,91,2014,48.0
92,92,2014,49.0
93,93,2014,18.0
94,94,2014,30.0
95,95,2014,24.0
96,96,2014,48.0
97,97,2014,70.0
98,98,2014,24.0
99,99,2014,16.0
100,100,2014,42.0
101,101,2014,18.0
102,102,2014,18.0
103,103,2014,22.0
104,104,2014,22.0
105,105,2014,22.0
106,106,2014,38.0
107,107,2014,52.0
108,108,2014,56.0
109,109,2014,43.0
110,110,2014,23.0
111,111,2014,38.0
112,112,2014,38.0
113,113,2014,44.0
114,114,2014,28.0
115,115,2014,61.0
116,116,2014,34.0
117,117,2014,33.0
118,118,2014,46.0
119,119,2014,31.0
120,120,2014,64.0
121,121,2014,52.0
122,122,2014,52.0
123,123,2014,28.0
124,124,2014,50.0
125,125,2014,38.0
126,126,2014,34.0
127,127,2014,20.0
128,128,2014,40.0
129,129,2014,24.0
130,130,2014,38.0
131,131,2014,32.0
132,132,2014,26.0
133,133,2014,8.0
134,134,2014,61.0
135,135,2014,28.0
136,136,2014,24.0
137,137,2014,59.0
138,138,2014,46.0
139,139,2014,43.0
140,140,2014,29.0
141,141,2014,24.0
142,142,2014,34.0
143,143,2014,51.0
144,144,2014,22.0
145,145,2014,26.0
146,146,2014,57.0
147,147,2014,28.0
148,148,2014,28.0
149,149,2014,63.0
150,150,2014,36.0
151,151,2014,53.0
152,152,2014,37.0
153,153,2014,54.0
154,154,2014,34.0
155,155,2014,50.0
156,156,2014,14.0
157,157,2014,41.0
158,158,2014,49.0
159,159,2014,44.0
160,160,2014,50.0
161,161,2014,44.0
162,162,2014,22.0
163,163,2014,22.0
164,164,2014,58.0
165,165,2014,46.0
166,166,2014,33.0
167,167,2014,53.0
168,168,2014,50.0
169,169,2014,43.0
170,170,2014,48.0
171,171,2014,23.0
172,172,2014,71.0
173,173,2014,42.0
174,174,2014,52.0
175,175,2014,48.0
176,176,2014,26.0
177,177,2014,63.0
178,178,2014,26.0
179,179,2014,8.0
180,180,2014,30.0
181,181,2014,24.0
182,182,2014,46.0
183,183,2014,36.0
184,184,2014,51.0
185,185,2014,40.0
186,186,2014,43.0
187,187,2014,36.0
188,188,2014,98.0
189,189,2014,36.0
190,190,2014,42.0
191,191,2014,28.0
192,192,2014,12.0
193,193,2014,26.0
194,194,2014,24.0
195,195,2014,18.0
196,196,2014,20.0
197,197,2014,58.0
198,198,2014,23.0
199,199,2014,28.0
200,200,2014,50.0
201,201,2014,42.0
202,202,2014,48.0
203,203,2014,31.0
204,204,2014,16.0
205,205,2014,21.0
206,206,2014,26.0
207,207,2014,58.0
208,208,2014,34.0
209,209,2014,29.0
210,210,2014,52.0
211,211,2014,22.0
212,212,2014,22.0
213,213,2014,66.0
214,214,2014,42.0
215,215,2014,23.0
216,216,2014,71.0
217,217,2014,54.0
218,218,2014,43.0
219,219,2014,31.0
220,220,2014,27.0
221,221,2014,44.0
222,222,2014,58.0
223,223,2014,36.0
224,224,2014,18.0
225,225,2014,22.0
226,226,2014,34.0
227,227,2014,51.0
228,228,2014,42.0
229,229,2014,28.0
230,230,2014,28.0
231,231,2014,28.0
232,232,2014,50.0
233,233,2014,16.0
234,234,2014,20.0
235,235,2014,33.0
236,236,2014,43.0
237,237,2014,30.0
238,238,2014,21.0
239,239,2014,52.0
240,240,2014,10.0
241,241,2014,44.0
242,242,2014,34.0
243,243,2014,39.0
244,244,2014,68.0
245,245,2014,24.0
246,246,2014,54.0
247,247,2014,61.0
248,248,2014,30.0
249,249,2014,30.0
250,250,2014,28.0
251,251,2014,62.0
252,252,2014,46.0
253,253,2014,22.0
254,254,2014,44.0
255,255,2014,14.0
256,256,2014,27.0
257,257,2014,32.0
258,258,2014,24.0
259,259,2014,36.0
260,260,2014,51.0
261,261,2014,34.0
262,262,2014,44.0
263,263,2014,85.0
264,264,2014,54.0
265,265,2014,42.0
266,266,2014,59.0
267,267,2014,45.0
268,268,2014,36.0
269,269,2014,26.0
270,270,2014,43.0
271,271,2014,67.0
272,272,2014,56.0
273,273,2014,62.0
274,274,2014,47.0
275,275,2014,78.0
276,276,2014,47.0
277,277,2014,28.0
278,278,2014,54.0
279,279,2014,34.0
280,280,2014,22.0
281,281,2014,22.0
282,282,2014,19.0
283,283,2014,32.0
284,284,2014,42.0
285,285,2014,50.0
286,286,2014,24.0
287,287,2014,46.0
288,288,2014,41.0
289,289,2014,34.0
290,290,2014,24.0
291,291,2014,33.0
292,292,2014,12.0
293,293,2014,34.0
294,294,2014,34.0
295,295,2014,40.0
296,296,2014,30.0
297,297,2014,18.0
298,298,2014,41.0
299,299,2014,44.0
300,300,2014,43.0
301,301,2014,18.0
302,302,2014,52.0
303,303,2014,13.0
304,304,2014,20.0
305,305,2014,26.0
306,306,2014,32.0
307,307,2014,54.0
