ApplicationId,Basvuru Yili,Degerlendirme Puani,Cinsiyet,Dogum Tarihi,Dogum Yeri,Ikametgah Sehri
1,2014,52.0,erkek,1994/04/06,ankara,ankara
2,2014,30.0,erkek,1993/06/11,Null,istanbul
3,2014,18.0,erkek,1986/01/15,samsun,istanbul
4,2014,40.0,erkek,1991/06/04,diyarbakir,istanbul
5,2014,24.0,erkek,1992/02/11,ankara,ankara
6,2014,37.0,erkek,1992/04/14,istanbul,istanbul
7,2014,18.0,erkek,1994/10/13,istanbul,istanbul
8,2014,24.0,erkek,1993/03/18,istanbul,istanbul
9,2014,40.0,erkek,1991/12/29,erzincan,istanbul
10,2014,31.0,erkek,1991/04/25,sivas,istanbul
11,2014,28.0,erkek,1995/07/20,kayseri,kayseri
12,2014,26.0,erkek,1993/09/27,usak,istanbul
13,2014,58.0,erkek,1993/03/23,rize,ankara
14,2014,28.0,erkek,1992/08/09,Null,ankara
15,2014,34.0,erkek,1992/03/05,adiyaman,istanbul
16,2014,33.0,erkek,1992/04/16,erzurum,izmir
17,2014,48.0,erkek,1992/07/15,kahramanmaras,kahramanmaras
18,2014,33.0,erkek,1995/08/05,konya,istanbul
19,2014,10.0,erkek,1995/07/27,izmir,izmir
20,2014,24.0,erkek,1995/07/24,trabzon,trabzon
21,2014,8.0,erkek,1994/07/05,kars,kars
22,2014,54.0,erkek,1995/08/15,kirsehir,kirsehir
23,2014,14.0,erkek,1989/01/27,Null,kocaeli
24,2014,24.0,erkek,1992/10/05,adana,istanbul
25,2014,44.0,kadin,1994/04/09,izmir,izmir
26,2014,60.0,kadin,1993/06/09,istanbul,istanbul
27,2014,42.0,erkek,1992/05/31,ankara,istanbul
28,2014,26.0,erkek,1995/02/08,adana,izmir
29,2014,22.0,erkek,1994/01/23,adana,istanbul
30,2014,14.0,erkek,1994/07/23,istanbul,istanbul
31,2014,28.0,erkek,1995/04/23,sakarya,ordu
32,2014,16.0,erkek,1992/04/24,istanbul,istanbul
33,2014,29.0,erkek,1993/09/24,adana,istanbul
34,2014,8.0,erkek,1995/05/26,ankara,izmir
35,2014,28.0,kadin,1994/05/24,ankara,istanbul
36,2014,46.0,erkek,1992/02/13,mugla,izmir
37,2014,28.0,kadin,1992/07/02,kars,istanbul
38,2014,22.0,kadin,1990/12/29,hatay,osmaniye
39,2014,26.0,kadin,1995/01/12,Null,Null
40,2014,41.0,erkek,1992/05/22,izmir,izmir
41,2014,50.0,kadin,1993/08/04,Null,istanbul
42,2014,44.0,kadin,1990/01/10,ankara,istanbul
43,2014,53.0,kadin,1995/06/12,mersin,istanbul
44,2014,34.0,kadin,1991/05/28,izmir,istanbul
45,2014,42.0,kadin,1995/06/12,erzurum,izmir
46,2014,36.0,kadin,1993/05/11,malatya,istanbul
47,2014,24.0,erkek,1994/09/03,Null,istanbul
48,2014,40.0,kadin,1993/11/14,manisa,antalya
49,2014,44.0,kadin,1992/09/16,istanbul,istanbul
