ApplicantUniversityId,ApplicantId,UniversityId,Bölüm,Universite Kacinci Sinif,Universite Not Ortalamasi,Daha Once Baska Bir Universiteden Mezun Olmus,"Daha Önceden Mezun Olunduysa, Mezun Olunan Üniversite"
1,1,1,bilgisayar muhendisligi,3,3.00 - 3.50,hayir,
2,2,2,elektrik elektronik muhendisligi,3,2.50 - 3.00,hayir,
3,3,3,finans yonetimi ve pazarlama,1,,hayir,
4,4,4,bilgisayar muhendisligi,3,2.50 - 3.00,hayir,
5,5,5,siyaset bilimi ve uluslararasi iliskiler,,2.50 - 3.00,hayir,
6,6,6,bankacilik ve finans,3,3.00 - 3.50,hayir,
7,7,7,hukuk,2,2.50 - 3.00,hayir,
8,8,8,bilgisayar muhendisligi,1,2.50 - 3.00,hayir,
9,9,9,sinema-tv,2,0.00 - 2.50,hayir,
10,10,10,bilgisayar muhendisligi,4,3.00 - 3.50,hayir,
11,11,11,siyaset bilimi ve kamu yonetimi,1,,hayir,
12,12,12,computer engineering,3,2.50 - 3.00,hayir,
13,13,13,endustri muhendisligi,3,3.00 - 4.00,hayir,
14,14,14,mekatronik,2,3.00 - 4.00,evet,
15,15,15,truzim ve otel isletmeciligi,2,2.50 - 3.00,hayir,
16,16,16,bilgisayar muhendisligi,3,3.00 - 3.50,hayir,
17,17,17,hukuk,3,3.00 - 3.50,hayir,
18,18,18,bilgisayar muhendisligi,1,,hayir,
19,19,19,bilgisayar muhendisligi,1,,hayir,
20,20,20,bilgisayar muhendisligi,1,,hayir,
21,21,21,psikoloji,3,,hayir,
22,22,22,iktisadi ve idari bilimler programlari,hazirlik,,hayir,
23,23,23,meslek yuksek okulu isletme,,2.50 - 3.00,hayir,
24,24,24,biyomedikal muhendisligi,3,3.00 - 4.00,hayir,
25,25,25,endustri sistemleri muhendisligi,1,3.00 - 4.00,hayir,
26,26,26,genetik ve biyomuhendislik,4,3.00 - 3.50,hayir,
27,27,27,bilgisayar muhendisligi,4,3.00 - 3.50,hayir,
28,28,28,ic mimarlik ve cevre tasarimi,2,2.50 - 3.00,hayir,
