FamilyID,Anne Egitim Durumu,Anne Calisma Durumu,Anne Sektor,Baba Egitim Durumu,Baba Calisma Durumu,Baba Sektor,Kardes Sayisi
1,universite,hayir,calismiyor,universite,emekli,calismiyor,1.0
2,universite,evet,kamu,,emekli,calismiyor,1.0
3,ilkokul,hayir,calismiyor,ilkokul,evet,ozel sektor,6.0
4,ilkokul,hayir,calismiyor,universite,emekli,calismiyor,10.0
5,ilkokul,hayir,calismiyor,universite,emekli,calismiyor,1.0
6,egitimi yok,hayir,calismiyor,,evet,kamu,3.0
7,universite,hayir,calismiyor,,,,
8,lise,hayir,calismiyor,ilkokul,hayir,calismiyor,1.0
9,ortaokul,hayir,calismiyor,ortaokul,evet,ozel sektor,4.0
10,universite,evet,kamu,,evet,kamu,1.0
11,lise,hayir,calismiyor,lise,emekli,calismiyor,2.0
12,lise,hayir,calismiyor,universite,evet,diger,2.0
13,universite,evet,kamu,universite,evet,kamu,1.0
14,lise,hayir,calismiyor,universite,emekli,calismiyor,4.0
15,egitimi yok,hayir,calismiyor,ilkokul,hayir,calismiyor,10.0
16,universite,emekli,calismiyor,,evet,kamu,1.0
17,ortaokul,hayir,calismiyor,ortaokul,emekli,calismiyor,3.0
18,universite,evet,kamu,universite,evet,kamu,1.0
19,ortaokul,hayir,calismiyor,universite,evet,kamu,1.0
20,ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,1.0
21,lise,hayir,calismiyor,lise,evet,diger,5.0
22,lise,hayir,calismiyor,lise,evet,kamu,2.0
23,ilkokul,hayir,calismiyor,lise,emekli,calismiyor,4.0
24,ilkokul,hayir,calismiyor,lise,emekli,calismiyor,3.0
25,universite,emekli,calismiyor,universite,evet,ozel sektor,1.0
26,lise,evet,ozel sektor,,,,
27,,evet,kamu,,evet,kamu,0.0
28,universite,evet,kamu,universite,evet,kamu,1.0
29,lise,emekli,calismiyor,lise,evet,diger,1.0
30,lise,hayir,calismiyor,ortaokul,emekli,calismiyor,2.0
31,ilkokul,hayir,calismiyor,universite,evet,kamu,1.0
32,ortaokul,hayir,calismiyor,ortaokul,emekli,calismiyor,3.0
33,lise,hayir,calismiyor,lise,emekli,calismiyor,4.0
34,lise,hayir,calismiyor,lise,emekli,calismiyor,0.0
35,ilkokul,hayir,calismiyor,lise,emekli,calismiyor,2.0
36,universite,emekli,calismiyor,universite,evet,ozel sektor,0.0
37,ilkokul,evet,diger,ilkokul,emekli,calismiyor,1.0
38,universite,evet,kamu,universite,evet,kamu,1.0
39,lise,evet,ozel sektor,lise,emekli,calismiyor,2.0
40,ortaokul,evet,ozel sektor,ilkokul,evet,kamu,1.0
41,lise,emekli,calismiyor,lise,evet,ozel sektor,0.0
42,lise,emekli,calismiyor,universite,emekli,calismiyor,1.0
43,lise,evet,ozel sektor,universite,evet,ozel sektor,0.0
44,lise,hayir,calismiyor,universite,evet,ozel sektor,1.0
45,lise,hayir,calismiyor,universite,evet,kamu,2.0
46,egitimi yok,hayir,calismiyor,ilkokul,emekli,calismiyor,7.0
47,ilkokul,hayir,calismiyor,ilkokul,evet,ozel sektor,3.0
48,lise,hayir,calismiyor,lise,evet,ozel sektor,1.0
49,,evet,ozel sektor,,evet,ozel sektor,0.0
50,lise,hayir,calismiyor,universite,evet,ozel sektor,1.0
51,universite,emekli,calismiyor,universite,evet,ozel sektor,1.0
52,ilkokul,hayir,calismiyor,ilkokul,evet,kamu,1.0
53,lise,evet,ozel sektor,,,,
54,universite,evet,kamu,universite,evet,kamu,1.0
55,ilkokul,hayir,calismiyor,,,,
56,ortaokul,evet,ozel sektor,ilkokul,evet,ozel sektor,1.0
57,universite,evet,kamu,,evet,kamu,1.0
58,lise,hayir,calismiyor,lise,evet,kamu,3.0
59,lise,evet,ozel sektor,,,,
60,ortaokul,hayir,calismiyor,,,,
61,ortaokul,hayir,calismiyor,,,,
62,ilkokul,emekli,calismiyor,ilkokul,evet,diger,2.0
63,ilkokul,hayir,calismiyor,universite,emekli,calismiyor,3.0
64,ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,3.0
65,universite,evet,ozel sektor,universite,evet,diger,0.0
66,lise,evet,ozel sektor,universite,evet,ozel sektor,2.0
67,universite,evet,ozel sektor,universite,evet,ozel sektor,1.0
68,lise,emekli,calismiyor,universite,emekli,calismiyor,0.0
69,universite,emekli,calismiyor,universite,evet,ozel sektor,
70,lise,evet,ozel sektor,lise,evet,ozel sektor,1.0
71,lise,hayir,calismiyor,lise,emekli,calismiyor,3.0
72,ilkokul,hayir,calismiyor,lise,emekli,calismiyor,3.0
73,universite,evet,kamu,universite,emekli,calismiyor,1.0
74,lise,emekli,calismiyor,lise,emekli,calismiyor,2.0
75,universite,emekli,calismiyor,lise,evet,ozel sektor,1.0
76,universite,evet,kamu,universite,evet,kamu,1.0
77,lise,emekli,calismiyor,ilkokul,evet,ozel sektor,1.0
78,universite,evet,kamu,universite,evet,ozel sektor,1.0
79,universite,evet,kamu,universite,hayir,diger,1.0
80,lise,emekli,calismiyor,lise,hayir,calismiyor,2.0
81,lise,emekli,calismiyor,lise,emekli,calismiyor,1.0
82,lise,hayir,calismiyor,lise,emekli,calismiyor,1.0
83,ortaokul,hayir,calismiyor,lise,evet,ozel sektor,2.0
84,lise,evet,ozel sektor,lise,evet,kamu,1.0
85,universite,hayir,calismiyor,lise,emekli,calismiyor,4.0
86,ilkokul,hayir,calismiyor,ortaokul,,calismiyor,1.0
87,lise,emekli,calismiyor,,,,
88,,evet,kamu,,evet,diger,1.0
89,,evet,kamu,universite,emekli,calismiyor,1.0
90,universite,emekli,ozel sektor,universite,emekli,calismiyor,3.0
91,ortaokul,hayir,calismiyor,ilkokul,hayir,calismiyor,4.0
92,lise,emekli,calismiyor,universite,evet,kamu,2.0
93,lise,evet,ozel sektor,,evet,kamu,1.0
94,universite,evet,kamu,,evet,kamu,0.0
95,ilkokul,hayir,calismiyor,ilkokul,evet,kamu,2.0
96,ilkokul,hayir,calismiyor,universite,evet,kamu,2.0
97,lise,hayir,calismiyor,,,,
98,ortaokul,hayir,calismiyor,lise,evet,diger,3.0
99,lise,hayir,calismiyor,ilkokul,hayir,calismiyor,1.0
100,lise,hayir,calismiyor,universite,emekli,calismiyor,2.0
101,lise,hayir,calismiyor,universite,evet,kamu,3.0
102,ilkokul,hayir,calismiyor,ortaokul,emekli,calismiyor,3.0
103,lise,evet,ozel sektor,ilkokul,hayir,calismiyor,1.0
