ScholarshipId,ApplicantId,Burslu ise Burs Yuzdesi,Burs Aliyor mu?,Baska Bir Kurumdan Burs Aliyor mu?,Burs Aldigi Baska Kurum,Baska Kurumdan Aldigi Burs Miktari
1,1,100.0,evet,hayir,,
2,2,100.0,hayir,hayir,,
3,3,100.0,hayir,hayir,,
4,4,100.0,evet,hayir,,
5,5,100.0,evet,hayir,,
6,6,100.0,evet,hayir,,
7,7,100.0,hayir,hayir,,
8,8,100.0,evet,hayir,,
9,9,100.0,evet,hayir,,
10,10,100.0,evet,hayir,,
11,11,100.0,evet,hayir,,
12,12,100.0,evet,hayir,,
13,13,100.0,evet,hayir,,
14,14,100.0,evet,hayir,,
15,15,100.0,evet,evet,kyk,300
16,16,100.0,evet,hayir,,
17,17,100.0,evet,hayir,,
18,18,100.0,evet,hayir,,
19,19,100.0,evet,hayir,,
20,20,100.0,evet,hayir,,
21,21,100.0,hayir,hayir,,
22,22,100.0,evet,hayir,,
23,23,100.0,hayir,hayir,,
24,24,100.0,evet,hayir,,
25,25,100.0,evet,hayir,,
26,26,100.0,evet,evet,kyk,300 tl
27,27,100.0,evet,hayir,,
28,28,100.0,evet,hayir,,
29,29,100.0,evet,hayir,kredi ve yurtlar kurum,
30,30,100.0,evet,hayir,,
31,31,100.0,hayir,hayir,,
32,32,100.0,evet,hayir,,
33,33,100.0,evet,evet,konlas,150 tl
34,34,100.0,evet,hayir,,
35,35,100.0,evet,evet,kyk,300
36,36,100.0,evet,evet,koc universitesi,430tlyilda 10 ay
37,37,100.0,evet,evet,tev,400
38,38,100.0,evet,evet,kyk,300
39,39,100.0,evet,hayir,,
40,40,100.0,evet,hayir,,
41,41,100.0,evet,evet,golden coast hotel,250 tl
42,42,100.0,evet,hayir,,
43,43,100.0,evet,hayir,,
44,44,100.0,hayir,hayir,,
45,45,100.0,evet,hayir,,
46,46,100.0,evet,hayir,,
47,47,100.0,evet,hayir,,
48,48,100.0,evet,hayir,,
49,49,100.0,hayir,hayir,,
50,50,100.0,hayir,hayir,,
51,51,100.0,evet,hayir,,
52,52,100.0,evet,hayir,,
53,53,100.0,evet,evet,kyk,300 tl
54,54,100.0,evet,hayir,,
55,55,100.0,evet,hayir,,
56,56,100.0,evet,hayir,,
57,57,100.0,evet,hayir,,
58,58,100.0,evet,hayir,,
59,59,100.0,evet,hayir,,
60,60,100.0,hayir,hayir,,
61,61,100.0,evet,hayir,,
62,62,100.0,hayir,hayir,,
63,63,100.0,evet,hayir,,
64,64,100.0,evet,hayir,,
65,65,100.0,hayir,hayir,,
66,66,100.0,evet,hayir,,
67,67,100.0,hayir,hayir,,
68,68,100.0,evet,hayir,,
69,69,100.0,evet,hayir,,
70,70,100.0,evet,evet,kredi ve yurtlar kurumu,300
71,71,100.0,evet,evet,"kredi ve yurtlar kurumu burs, ozel basari bursu, izmir ekonomi universitesi tarafindan verilen burs",toplamda 1000 lira fakat mezun oldugun icin devam etmiyor
72,72,100.0,evet,hayir,,
73,73,100.0,evet,hayir,,
74,74,100.0,evet,hayir,,
75,75,100.0,evet,hayir,,
76,76,100.0,evet,evet,tobb ekonomi ve teknoloji universitesi,850 tl
77,77,100.0,evet,hayir,,
78,78,100.0,evet,hayir,,
79,79,100.0,evet,evet,bahcesehir universitesi,500 tl
80,80,100.0,evet,hayir,,
81,81,100.0,evet,hayir,,
82,82,100.0,evet,hayir,,
83,83,100.0,evet,hayir,,
84,84,100.0,evet,evet,krefi yurtlar kurumundan ogrenim kredisi,300 tl
85,85,100.0,hayir,evet,devletten kredi aliyorum,300 tl
86,86,100.0,evet,evet,bursa ticaret ve sanayi odasi,aylik 280 tl
87,87,100.0,evet,hayir,,
88,88,100.0,evet,hayir,,
89,89,100.0,evet,evet,izmir ekonomi universitesi oss basari bursu,430
90,90,100.0,evet,hayir,,
91,91,100.0,evet,hayir,,
92,92,100.0,evet,hayir,,
93,93,100.0,evet,hayir,,
94,94,100.0,evet,evet,kyk,300
95,95,100.0,evet,evet,kyk,300
96,96,100.0,evet,hayir,,
97,97,100.0,evet,hayir,,
98,98,100.0,evet,hayir,,
99,99,100.0,evet,hayir,,
100,100,100.0,evet,hayir,,
101,101,100.0,evet,hayir,,
102,102,100.0,evet,hayir,,
103,103,100.0,evet,hayir,,
104,104,100.0,evet,hayir,,
105,105,100.0,evet,hayir,,
106,106,100.0,evet,hayir,,
107,107,100.0,hayir,hayir,,
108,108,100.0,evet,hayir,,
109,109,100.0,evet,hayir,,
110,110,100.0,evet,hayir,,
111,111,100.0,evet,hayir,,
112,112,100.0,hayir,hayir,,
