Girisimcilik Kulupleri Tarzi Bir Kulube Uye misiniz?,Uye Oldugunuz Kulubun Ismi,Profesyonel Bir Spor Daliyla Mesgul musunuz?,Spor Dalindaki Rolunuz Nedir?,Aktif olarak bir STK üyesi misiniz?,Hangi STK'nin Uyesisiniz?,Stk Projesine Katildiniz Mi?,Girisimcilikle Ilgili Deneyiminiz Var Mi?,Girisimcilikle Ilgili Deneyiminizi Aciklayabilir misiniz?
1,bilkent ieee bilgisayar toplulugu 2013-2014 baskani,1,bireysel,0,Null,1,0,Null
0,Null,0,yok,0,Null,1,1,bilkent cyberparkta bir sirkette turkiye nin ilk ekonomik dna goruntuleme cihazini yapmak icin calismaya basladim.
1,tema,0,yok,0,Null,0,0,Null
1,guzel konusma ve yazma kulubu,0,yok,0,Null,1,0,Null
0,Null,0,yok,0,Null,0,0,Null
1,istanbul ticaret universitesi girisimcilik kulubu,0,yok,0,Null,0,0,Null
Null,Null,Null,Null,Null,Null,Null,Null,Null
0,Null,0,yok,0,Null,1,0,Null
0,Null,0,yok,1,demokratiklesme cabalari,1,1,konvansiyonel medyanin donusumune ve tuketimin infografik efektler uzerinden gerceklestirilecegi bir format uzerinde calisiyorum.
0,Null,1,bireysel,0,Null,0,0,Null
1,politika ve akademi toplulugu,0,yok,0,Null,1,0,Null
1,fatih universitesi acm kulubu,0,yok,0,Null,0,0,Null
1,"toplumsal duyarlilik projeleri, bilgi ve tanitim ofisi",1,kaptan,0,Null,1,0,Null
0,gen girisimciler agi,0,yok,0,Null,1,1,"kucuklugumden beri el becerisi olan ve girisimci bir yapiya sahip oldugumu gozlemledim. lise hayatimdan bu gune kadar onlarca yarismaya katildim bir cogunda final yaristim ve turkiye capinda dereceler almaya hak kazandim. lisede oldugu gibi universitede okul hayatim yarismalar ve girisimler ile gecti. 2014 yili haziran ayinda universiteden okul birincisi, mekatronik programi birincisi ve ogrencilerin doldurdugu enket ile okulun en zekisi unvanlari ile mezun oldum. mezun olmadan ki son senemde sanayi bakanligi teknogirisim sermayesi ve kosgeb ar-ge inovasyon destek programlarina projelerim ile basvuru yaptim ve buralardan 300.000 tl ye yakin bir destek almaya hak kazandim. bu destek ile beraber baskent universitesi teknoloji gelistirme merkezinde 24 ay sure ile bir ofis kiraladim ve sirketimi kurarak bu ofiste faaliyetlerimi surduruyorum."
1,gezi ve truzim klubu,0,yok,0,Null,1,0,Null
1,bilisim kulubu,0,yok,0,Null,0,0,Null
1,genc hukukcular kulubu yonetim kurulu uyesi,0,yok,0,Null,1,1,zirve universitesi genc girisimciler kulubu
1,"itec informatics technology engineering club kulubu, muhendislik kulubu, fotografcilik kulubu",1,bireysel,0,Null,0,0,Null
0,Null,0,yok,0,Null,0,0,Null
1,muhendislik toplulugu,0,yok,0,Null,0,0,Null
0,Null,0,yok,0,Null,0,0,Null
1,kirsehir anadolu ogretmen lisesi basketbol klubu,1,kaptan,0,Null,1,0,Null
0,Null,0,yok,0,Null,0,1,yurtici ve yurtdisi kimya sektoru girisimim var
0,Null,0,yok,0,Null,0,0,Null
1,"endustri muhendisligi toplulugu, estiem, lojistik klubu, izmir ekonomi universitesi rotaract klubu",0,yok,0,Null,0,0,Null
Null,Null,Null,Null,Null,Null,Null,Null,Null
1,microsoft student partner ve bilkent ieee,0,yok,0,Null,1,1,"windows 8 ilk yayinlandiginda, 4 arkadasimla birlikte platforma cok oyunculu olarak oynanabilen ilk okey oyununu cikarmak icin bir girisimde bulunduk, 4 ay sureyle kendimize bir ofis bulup birlikte calistik, grup uyelerinin mezuniyeti nedeniyle tamamlayamadik. bu proje kapsaminda bilgi universitesinde ve microsoft turkiye istanbul ofisinde pazarlama ve girisimcilik konulu etkinliklere davet edildik."
0,Null,0,yok,1,yuz yuze projesi,0,0,Null
0,Null,0,bireysel,0,Null,0,0,Null
0,Null,0,yok,0,Null,0,0,Null
1,sau yonetim bilisim sistemleri toplulugu,0,yok,0,Null,1,0,Null
0,Null,0,yok,0,Null,0,0,Null
1,demirkiran spor kulubu,0,yok,0,Null,0,0,Null
0,Null,0,yok,0,Null,0,1,kosgeb girisimcilik egitimlerine katildim ve katilim sertifikasi aldim.
0,Null,1,bireysel,0,Null,0,1,"mekan kordinatorlugu, organizatorluk, turne menajerligi, sanatci asistanligi"
1,koc universitesi farkindalik klubu,1,kaptan,0,Null,0,0,Null
0,sosyal yasami destekleme toplulugu,0,yok,0,Null,0,0,Null
0,Null,0,yok,0,Null,0,0,Null
0,Null,0,yok,0,Null,0,0,Null
1,"ieee, dans klubu",0,yok,0,Null,1,0,Null
0,Null,0,yok,1,oku dusun paylas projesi,1,0,Null
0,Null,1,bireysel,0,Null,1,1,kosgeb girisimcilik egitimi
1,bilgi international volunteer,1,bireysel,0,Null,0,0,Null
0,Null,0,yok,0,Null,1,0,Null
1,etkinlik birimi-ilgisizler-mua,0,yok,0,Null,1,0,Null
0,Null,0,yok,0,Null,1,0,Null
0,Null,0,yok,0,Null,1,0,Null
1,uluslararasi ticaret toplulugu,0,yok,0,Null,0,1,"odtu genc girisimciler toplulugu cercevesinde yapilan paneller,yeni is fikirleri"
0,Null,0,yok,0,Null,1,1,"fransizca ve ingilizce dillerinde tur rehberligi ve bagimsiz ingilizce- turkce metin, film ve televizyon programi cevirmenligi yaptim"
0,Null,0,yok,0,Null,0,0,Null
1,ekonomi ve isletme klubu,0,yok,0,Null,1,1,taki ticareti uzerine ufak bir girisimcilik deneyimim oldu fakat yetisememem nedeniyle bunu gelistirmek uzere ileri bir tarihe erteledim.
1,psikoloji kulubu,0,yok,0,Null,0,1,"psikolojiye ilgi duyan herkese acik, alaninda uzman 12 konusmacinin bulundugu psikoloji gunleri semineri."
Null,Null,Null,Null,Null,Null,Null,Null,Null
1,"inovatif internet toplulugu , operational research",0,yok,0,Null,1,0,Null
Null,Null,Null,Null,Null,Null,Null,Null,Null
0,Null,0,yok,0,Null,0,0,Null
0,Null,0,yok,0,Null,0,0,Null
1,gezi kulubu ve folklor kulubu,0,yok,0,Null,1,0,Null
Null,Null,Null,Null,Null,Null,Null,Null,Null
Null,Null,Null,Null,Null,Null,Null,Null,Null
Null,Null,Null,Null,Null,Null,Null,Null,Null
