Bölüm,Universite Kacinci Sinif,Universite Not Ortalamasi,Daha Once Baska Bir Universiteden Mezun Olmus,Lise Adi,Lise Adi Diger,Lise Sehir,Lise Turu,Lise Bolumu,Lise Bolum Diger,Lise Mezuniyet Notu,Ingilizce Biliyor musunuz?,Ingilizce Seviyeniz?,"Daha Önceden Mezun Olunduysa, Mezun Olunan Üniversite"
bilgisayar muhendisligi,3,3.0-3.5,0,ankara ataturk anadolu lisesi,Null,ankara,anadolu lisesi,sayisal,Null,3.0-3.5,Null,Null,Null
elektrik elektronik muhendisligi,3,2.5-3.0,0,betul can anadolu lisesi,Null,ankara,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
finans yonetimi ve pazarlama,1,Null,0,batem,Null,ankara,meslek lisesi,Null,Null,3.0-3.5,Null,Null,Null
bilgisayar muhendisligi,3,2.5-3.0,0,cumhuriyet fen lisesi,Null,diyarbakir,fen lisesi,sayisal,Null,3.0-3.5,Null,Null,Null
siyaset bilimi ve uluslararasi iliskiler,Null,2.5-3.0,0,samanyolu lisesi,Null,ankara,Özel,esit agirlik,Null,3.0-4.0,Null,Null,Null
bankacilik ve finans,3,3.0-3.5,0,oncu koleji,Null,ankara,Özel,esit agirlik,Null,3.0-4.0,Null,Null,Null
hukuk,2,2.5-3.0,0,haydarpasa lisesi,Null,istanbul,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
bilgisayar muhendisligi,1,2.5-3.0,0,mevlana anadolu lisesi,Null,istanbul,anadolu lisesi,sayisal,Null,3.0-3.5,Null,Null,Null
sinema-tv,2,0.0-2.5,0,fatih gelenbevi anadolu lisesi,Null,istanbul,anadolu lisesi,Null,Null,3.0-3.5,Null,Null,Null
bilgisayar muhendisligi,4,3.0-3.5,0,cumhuriyet anadolu lisesi,Null,sivas,anadolu lisesi,Null,Null,3.0-3.5,Null,Null,Null
siyaset bilimi ve kamu yonetimi,1,Null,0,mustafa eraslan lisesi,Null,kayseri,duz lise,Null,Null,2.5-3.0,Null,Null,Null
computer engineering,3,2.5-3.0,0,yamanlar anadolu lisesi,Null,izmir,Özel,sayisal,Null,3.0-4.0,Null,Null,Null
endustri muhendisligi,3,3.0-4.0,0,yomra fen lisesi,Null,trabzon,fen lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
mekatronik,2,3.0-4.0,1,mesleki acik ogretim,Null,mersin,meslek lisesi,Null,Null,3.0-3.5,Null,Null,Null
truzim ve otel isletmeciligi,2,2.5-3.0,0,yakacik lisesi,Null,istanbul,duz lise,esit agirlik,Null,3.0-3.5,Null,Null,Null
bilgisayar muhendisligi,3,3.0-3.5,0,husnu ozyegin anadolu lisesi,Null,kars,anadolu lisesi,Null,Null,3.0-3.5,Null,Null,Null
hukuk,3,3.0-3.5,0,erdem bayazit anadolu lisesi,Null,Null,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
bilgisayar muhendisligi,1,Null,0,meram anadolu lisesi,Null,konya,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
bilgisayar muhendisligi,1,Null,0,atakent anadolu lisesi,Null,izmir,anadolu lisesi,sayisal,Null,3.0-3.5,Null,Null,Null
bilgisayar muhendisligi,1,Null,0,kanuni anadolu lisesi,Null,trabzon,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
psikoloji,3,Null,0,kars alpaslan lisesi,Null,kars,duz lise,sozel,Null,2.5-3.0,Null,Null,Null
iktisadi ve idari bilimler programlari,hazirlik,Null,0,kirsehir anadolu ogretmen lisesi,Null,kirsehir,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
meslek yuksek okulu isletme,Null,2.5-3.0,0,tarik bugra lisesi,Null,istanbul,duz lise,Null,Null,2.5-3.0,Null,Null,Null
biyomedikal muhendisligi,3,3.0-4.0,0,muzaffer cil anadolu lisesi,Null,eskisehir,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
endustri sistemleri muhendisligi,1,3.0-4.0,0,ozel ege lisesi,Null,izmir,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
genetik ve biyomuhendislik,4,3.0-3.5,0,ozel kultur fen lisesi,Null,istanbul,fen lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
bilgisayar muhendisligi,4,3.0-3.5,0,icel anadolu lisesi,Null,mersin,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
ic mimarlik ve cevre tasarimi,2,2.5-3.0,0,ceas anadolu lisesi,Null,adana,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
bilgisayar teknolojisi ve bilisim sistemleri,1,0.0-2.5,0,baskent universitesi ozel baskent okullari,Null,adana,anadolu lisesi,sayisal,Null,3.0-3.5,Null,Null,Null
bankacilik ve sigortacilik,2,2.5-3.0,0,ahmet rasim lisesi,Null,istanbul,duz lise,Null,Null,2.5-3.0,Null,Null,Null
yonetim bilisim sistemleri,2,Null,0,sapanca anadolu lisesi,Null,sakarya,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
maliye,4,3.0-3.5,0,mehmet akif ersoy anadolu lisesi,Null,istanbul,anadolu lisesi,esit agirlik,Null,2.5-3.0,Null,Null,Null
enerji sistemleri muhendisligi,3,2.5-3.0,0,19 mayis anadolu lisesi,Null,mersin,anadolu lisesi,Null,Null,3.0-4.0,Null,Null,Null
isletme,1,Null,0,gazi lisesi,Null,izmir,duz lise,sayisal,Null,3.0-4.0,Null,Null,Null
sahne ve gosteri sanatlari yonetimi,1,Null,0,sokullu mehmet pasa lisesi,Null,ankara,duz lise,esit agirlik,Null,3.0-3.5,Null,Null,Null
bilgisayar muhendisligi,3,3.0-3.5,0,bornova anadolu lisesi,Null,izmir,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
seyahat isletmeciligi,4,3.0-4.0,1,beyoglu ayse ege anadolu kiz meslek lisesi,Null,istanbul,meslek lisesi,Null,Null,3.0-4.0,Null,Null,Null
uluslararasi iliskiler,3,0.0-2.5,0,ozel biltepe lisesi,Null,osmaniye,Özel,sayisal,Null,3.0-4.0,Null,Null,Null
isletme enformatigi,2,3.0-3.5,0,fatih vatan lisesi,Null,istanbul,duz lise,esit agirlik,Null,3.0-3.5,Null,Null,Null
yazilim muhendisligi,3,3.0-3.5,0,yildiz tinas izmiroglu anadolu lisesi,Null,izmir,anadolu lisesi,Null,Null,3.0-3.5,Null,Null,Null
endustri muhendisligi,3,2.5-3.0,0,manavgat anadolu lisesi,Null,antalya,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
isletme,mezun,2.5-3.0,0,batikent lisesi,Null,ankara,duz lise,sayisal,Null,2.5-3.0,Null,Null,Null
ekonomi,2,3.0-4.0,0,icel anadolu lisesi,Null,mersin,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
hukuk,4,0.0-2.5,0,bergama akif ersezgin anadolu lisesi,Null,izmir,anadolu lisesi,esit agirlik,Null,3.0-3.5,Null,Null,Null
matematik,hazirlik,Null,0,mecidiye anadolu lisesi,Null,erzurum,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
sivil hava ulastirma isletmeciligi,2,2.5-3.0,0,cumhuriyet anadolu lisesi,Null,malatya,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
bilgisayar teknolojileri,2,2.5-3.0,0,kucukkoy anadolu teknik ve endustri meslek lisesi,Null,istanbul,meslek lisesi,bilisim teknolojileri,Null,2.5-3.0,Null,Null,Null
uluslararasi ticaret,4,3.0-3.5,0,akev koleji,Null,antalya,anadolu lisesi,esit agirlik,Null,3.0-3.5,Null,Null,Null
hukuk,4,2.5-3.0,0,ozel saint joseph fransiz lisesi,Null,istanbul,Özel,sayisal,Null,3.0-3.5,Null,Null,Null
sinif ogretmenligi,3,Null,0,tinaztepe lisesi,Null,ankara,duz lise,esit agirlik,Null,3.0-4.0,Null,Null,Null
uretim sistemleri muhendisligi,3,Null,0,bolu anadolu ogretmen lisesi,Null,bolu,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
psikoloji,3,2.5-3.0,0,uskudar anadolu lisesi,Null,istanbul,anadolu lisesi,esit agirlik,Null,2.5-3.0,Null,Null,Null
bankacilik ve finans,1,Null,0,anadolu ogretmen lisesi,Null,afyonkarahisar,anadolu lisesi,fen bilimleri,Null,2.5-3.0,Null,Null,Null
bilgisayar muhendisligi,3,3.0-3.5,0,canakkale fen lisesi,Null,canakkale,fen lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
felsefe,2,0.0-2.5,0,mevlana lisesi,Null,istanbul,duz lise,esit agirlik,Null,3.0-4.0,Null,Null,Null
uluslarararasi ticaret,2,3.0-3.5,0,ali dilmen anadolu lisesi,Null,sakarya,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
mimarlik,3,3.0-3.5,0,afyon ali caglar anadolu lisesi afyon milli piyango anadolu lisesi,Null,afyonkarahisar,anadolu lisesi,Null,Null,3.0-3.5,Null,Null,Null
endustri muhendisligi,2,3.0-3.5,0,antalya anadolu lisesi,Null,antalya,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
spor yonetimi,1,Null,1,celal bayar anadolu lisesi,Null,Null,anadolu lisesi,esit agirlik,Null,3.0-3.5,Null,Null,Null
uluslararasi ticaret,2,Null,0,gulveren lisesi,Null,ankara,duz lise,sayisal,Null,3.0-4.0,Null,Null,Null
felsefe,3,0.0-2.5,0,ikizce lisesi,Null,ordu,duz lise,esit agirlik,Null,3.0-4.0,Null,Null,Null
uluslararasi iliskiler,2,0.0-2.5,0,caglayan lisesi,Null,antalya,duz lise,esit agirlik,Null,0.0-2.5,Null,Null,Null
isletme,2,2.5-3.0,0,dolapoglu anadolu lisesi,Null,konya,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
iktisat,3,2.5-3.0,0,pursaklar ayyildiz anadolu lisesi,Null,ankara,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
isletme,4,0.0-2.5,0,uskudar amerikan lisesi,Null,istanbul,Özel,Null,Null,2.5-3.0,Null,Null,Null
gorsel iletisim tasarimi,3,3.0-3.5,0,beylikduzu cahit zarifoglu lisesi,Null,istanbul,duz lise,esit agirlik,Null,3.0-3.5,Null,Null,Null
bilgisayar muhendisligi,3,2.5-3.0,0,ted ankara koleji,Null,ankara,Özel,sayisal,Null,3.0-4.0,Null,Null,Null
isletme ingilizce - tam burslu,2,3.0-4.0,0,cem bakioglu anadolu lisesi,Null,izmir,anadolu lisesi,Null,Null,2.5-3.0,Null,Null,Null
isletme muhendisligi,1,Null,0,bahcesehir koleji manavgat,Null,antalya,Özel,sayisal,Null,3.0-4.0,Null,Null,Null
international relations,2,0.0-2.5,0,ahmet kelesoglu anadolu lisesi,Null,istanbul,anadolu lisesi,esit agirlik,Null,3.0-3.5,Null,Null,Null
medya ve iletisim,4,3.0-3.5,0,tegmen ali riza akinci anadolu lisesi,Null,izmir,anadolu lisesi,sozel,Null,3.0-4.0,Null,Null,Null
felsefe,2,Null,0,ensar koleji,Null,istanbul,Özel,esit agirlik,Null,3.0-4.0,Null,Null,Null
"uluslararasi finans, uluslararasi ticaret ve isletmecilik",4,3.0-4.0,0,izmir buca fatma saygin anadolu lisesi,Null,izmir,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
ekonomi,3,2.5-3.0,0,florya final anadolu lisesi,Null,istanbul,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
hukuk,3,3.0-3.5,0,arnavutkoy korkmaz yigit anadolu lisesi,Null,istanbul,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
isletme,3,3.0-4.0,0,anadolu ogretmen lisesi,Null,bartin,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
enerji sistemleri muhendisligi-isletme muhendisligicap,3,3.0-4.0,0,fahreddin kerim gokay anadolu lisesi,Null,istanbul,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
rehberlik ve psikolojik danismanlik,1,Null,0,ergun oner mehmet oner anadolu lisesi,Null,istanbul,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
hukuk,2,3.0-3.5,0,sehit ali er anad. l.,Null,aksaray,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
halkla iliskiler ve tanitim,2,2.5-3.0,0,kadikoy lisesi,Null,istanbul,duz lise,Null,Null,2.5-3.0,Null,Null,Null
isletme,2,3.0-3.5,0,izmir ataturk lisesi,Null,izmir,anadolu lisesi,fen bilimleri,Null,3.0-3.5,Null,Null,Null
halkla iliskiler,4,3.0-3.5,1,zile dincerler lisesi,Null,Null,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
bilgisayar muhendisligi,2,3.0-3.5,0,ozel 2023 tercuman anadolu lisesi,Null,istanbul,Özel,sayisal,Null,3.0-4.0,Null,Null,Null
endustri muhendisligi - otomotiv muhendisligiyan dal,4,3.0-3.5,0,canik anadolu lisesi,Null,samsun,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
psikoloji,2,2.5-3.0,0,mehmet akif ersoy anadolu lisesi,Null,bingol,anadolu lisesi,sozel,Null,3.0-4.0,Null,Null,Null
iktisat,3,3.0-4.0,0,ulubatli hasan anadolu lisesi,Null,bursa,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
endustri muhendisligi,2,3.0-4.0,0,yusuf kalkavan anadolu lisesi,Null,mersin,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
psikoloji,2,3.0-3.5,0,ozel derya oncu anadolu lisesi,Null,istanbul,anadolu lisesi,esit agirlik,Null,2.5-3.0,Null,Null,Null
isletme / psikoloji cift anadal,3,3.0-4.0,0,konak anadolu lisesi,Null,izmir,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
insaat muhendisligi-isletme muhendisligicap,3,2.5-3.0,0,antalya anadolu lisesi,Null,antalya,anadolu lisesi,sayisal,Null,2.5-3.0,Null,Null,Null
endustri muhendisligi,3,3.0-4.0,0,sehremini anadolu lisesi,Null,istanbul,anadolu lisesi,fen bilimleri,Null,3.0-4.0,Null,Null,Null
bilgisayar muhendisligi,3,2.5-3.0,0,bafra anadolu lisesi,Null,samsun,anadolu lisesi,Null,Null,3.0-4.0,Null,Null,Null
ingilizce isletme,1,Null,0,acikogretim lisesi,Null,ankara,duz lise,esit agirlik,Null,2.5-3.0,Null,Null,Null
elektrik elektronik muhendisligi,4,2.5-3.0,0,sirri yircali anadolu lisesi,Null,balikesir,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
siyaset bilimi ve uluslararasi iliskiler,3,2.5-3.0,0,behcet kemal caglar anadolu lisesi,Null,istanbul,duz lise,esit agirlik,Null,3.0-3.5,Null,Null,Null
biyomedikal muhendisligi,3,3.0-3.5,0,haci omer tarman anadolu lisesi,Null,ankara,anadolu lisesi,Null,Null,3.0-4.0,Null,Null,Null
matematik,2,0.0-2.5,0,balikesir sirri yircali anadolu lisesi,Null,balikesir,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
isletme ingilizce,4,2.5-3.0,1,beylikduzu 75.yil cumhuriyet lisesi,Null,istanbul,duz lise,esit agirlik,Null,0.0-2.5,Null,Null,Null
isletme,1,3.0-3.5,0,kayseri anadolu lisesi,Null,kayseri,anadolu lisesi,sayisal,Null,3.0-3.5,Null,Null,Null
hemsirelik ve saglik hizmetleri,4,0.0-2.5,0,mudanya sami evkuran anadolu lisesi,Null,bursa,anadolu lisesi,sayisal,Null,3.0-3.5,Null,Null,Null
iktisat,1,Null,0,samanyolu koleji,Null,ankara,Özel,esit agirlik,Null,3.0-4.0,Null,Null,Null
bilgisayar muhendisligi,2,2.5-3.0,0,gediktas lisesi,Null,istanbul,duz lise,sayisal,Null,3.0-4.0,Null,Null,Null
halkla iliskiler ve reklamcilik,hazirlik,Null,0,turgutlu senem aka anadolu lisesi,Null,manisa,anadolu lisesi,esit agirlik,Null,3.0-3.5,Null,Null,Null
halkla iliskiler ve reklamcilik,hazirlik,Null,0,turgutlu senem aka anadolu lisesi,Null,manisa,anadolu lisesi,esit agirlik,Null,3.0-3.5,Null,Null,Null
ekonomi ve finans,3,0.0-2.5,0,soma anadolu ogretmen lisesi,Null,Null,anadolu lisesi,esit agirlik,Null,2.5-3.0,Null,Null,Null
