Anne Egitim Durumu,Anne Calisma Durumu,Anne Sektor,Baba Egitim Durumu,Baba Calisma Durumu,Baba Sektor
universite,hayir,calismiyor,universite,emekli,calismiyor
universite,evet,kamu,Null,emekli,calismiyor
ilkokul,hayir,calismiyor,ilkokul,evet,ozel sektor
ilkokul,hayir,calismiyor,universite,emekli,calismiyor
ilkokul,hayir,calismiyor,universite,emekli,calismiyor
egitimi yok,hayir,calismiyor,Null,evet,kamu
universite,hayir,calismiyor,Null,Null,Null
lise,hayir,calismiyor,ilkokul,hayir,calismiyor
ortaokul,hayir,calismiyor,ortaokul,evet,ozel sektor
universite,evet,kamu,Null,evet,kamu
lise,hayir,calismiyor,lise,emekli,calismiyor
lise,hayir,calismiyor,universite,evet,diger
universite,evet,kamu,universite,evet,kamu
lise,hayir,calismiyor,universite,emekli,calismiyor
egitimi yok,hayir,calismiyor,ilkokul,hayir,calismiyor
universite,emekli,calismiyor,Null,evet,kamu
ortaokul,hayir,calismiyor,ortaokul,emekli,calismiyor
universite,evet,kamu,universite,evet,kamu
ortaokul,hayir,calismiyor,universite,evet,kamu
ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor
lise,hayir,calismiyor,lise,evet,diger
lise,hayir,calismiyor,lise,evet,kamu
ilkokul,hayir,calismiyor,lise,emekli,calismiyor
ilkokul,hayir,calismiyor,lise,emekli,calismiyor
universite,emekli,calismiyor,universite,evet,ozel sektor
lise,evet,ozel sektor,Null,Null,Null
Null,evet,kamu,Null,evet,kamu
universite,evet,kamu,universite,evet,kamu
lise,emekli,calismiyor,lise,evet,diger
lise,hayir,calismiyor,ortaokul,emekli,calismiyor
ilkokul,hayir,calismiyor,universite,evet,kamu
ortaokul,hayir,calismiyor,ortaokul,emekli,calismiyor
lise,hayir,calismiyor,lise,emekli,calismiyor
lise,hayir,calismiyor,lise,emekli,calismiyor
ilkokul,hayir,calismiyor,lise,emekli,calismiyor
universite,emekli,calismiyor,universite,evet,ozel sektor
ilkokul,evet,diger,ilkokul,emekli,calismiyor
universite,evet,kamu,universite,evet,kamu
lise,evet,ozel sektor,lise,emekli,calismiyor
ortaokul,evet,ozel sektor,ilkokul,evet,kamu
lise,emekli,calismiyor,lise,evet,ozel sektor
lise,emekli,calismiyor,universite,emekli,calismiyor
lise,evet,ozel sektor,universite,evet,ozel sektor
lise,hayir,calismiyor,universite,evet,ozel sektor
lise,hayir,calismiyor,universite,evet,kamu
egitimi yok,hayir,calismiyor,ilkokul,emekli,calismiyor
ilkokul,hayir,calismiyor,ilkokul,evet,ozel sektor
lise,hayir,calismiyor,lise,evet,ozel sektor
Null,evet,ozel sektor,Null,evet,ozel sektor
lise,hayir,calismiyor,universite,evet,ozel sektor
universite,emekli,calismiyor,universite,evet,ozel sektor
ilkokul,hayir,calismiyor,ilkokul,evet,kamu
lise,evet,ozel sektor,Null,Null,Null
universite,evet,kamu,universite,evet,kamu
ilkokul,hayir,calismiyor,Null,Null,Null
ortaokul,evet,ozel sektor,ilkokul,evet,ozel sektor
universite,evet,kamu,Null,evet,kamu
lise,hayir,calismiyor,lise,evet,kamu
lise,evet,ozel sektor,Null,Null,Null
ortaokul,hayir,calismiyor,Null,Null,Null
ortaokul,hayir,calismiyor,Null,Null,Null
ilkokul,emekli,calismiyor,ilkokul,evet,diger
ilkokul,hayir,calismiyor,universite,emekli,calismiyor
ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor
universite,evet,ozel sektor,universite,evet,diger
lise,evet,ozel sektor,universite,evet,ozel sektor
universite,evet,ozel sektor,universite,evet,ozel sektor
lise,emekli,calismiyor,universite,emekli,calismiyor
universite,emekli,calismiyor,universite,evet,ozel sektor
lise,evet,ozel sektor,lise,evet,ozel sektor
lise,hayir,calismiyor,lise,emekli,calismiyor
ilkokul,hayir,calismiyor,lise,emekli,calismiyor
universite,evet,kamu,universite,emekli,calismiyor
lise,emekli,calismiyor,lise,emekli,calismiyor
universite,emekli,calismiyor,lise,evet,ozel sektor
universite,evet,kamu,universite,evet,kamu
lise,emekli,calismiyor,ilkokul,evet,ozel sektor
universite,evet,kamu,universite,evet,ozel sektor
universite,evet,kamu,universite,hayir,diger
lise,emekli,calismiyor,lise,hayir,calismiyor
lise,emekli,calismiyor,lise,emekli,calismiyor
lise,hayir,calismiyor,lise,emekli,calismiyor
ortaokul,hayir,calismiyor,lise,evet,ozel sektor
lise,evet,ozel sektor,lise,evet,kamu
universite,hayir,calismiyor,lise,emekli,calismiyor
ilkokul,hayir,calismiyor,ortaokul,Null,calismiyor
lise,emekli,calismiyor,Null,Null,Null
Null,evet,kamu,Null,evet,diger
Null,evet,kamu,universite,emekli,calismiyor
universite,emekli,ozel sektor,universite,emekli,calismiyor
ortaokul,hayir,calismiyor,ilkokul,hayir,calismiyor
lise,emekli,calismiyor,universite,evet,kamu
lise,evet,ozel sektor,Null,evet,kamu
universite,evet,kamu,Null,evet,kamu
ilkokul,hayir,calismiyor,ilkokul,evet,kamu
ilkokul,hayir,calismiyor,universite,evet,kamu
lise,hayir,calismiyor,Null,Null,Null
ortaokul,hayir,calismiyor,lise,evet,diger
lise,hayir,calismiyor,ilkokul,hayir,calismiyor
lise,hayir,calismiyor,universite,emekli,calismiyor
lise,hayir,calismiyor,universite,evet,kamu
ilkokul,hayir,calismiyor,ortaokul,emekli,calismiyor
lise,evet,ozel sektor,ilkokul,hayir,calismiyor
lise,evet,ozel sektor,ilkokul,hayir,calismiyor
lise,hayir,calismiyor,lise,evet,kamu
ilkokul,hayir,calismiyor,ortaokul,evet,diger
ilkokul,hayir,calismiyor,ilkokul,evet,diger
lise,hayir,calismiyor,Null,Null,Null
ortaokul,evet,ozel sektor,Null,Null,Null
lise,hayir,calismiyor,universite,hayir,calismiyor
egitimi yok,hayir,calismiyor,egitimi yok,emekli,calismiyor
lise,hayir,calismiyor,lise,emekli,calismiyor
universite,evet,kamu,universite,evet,kamu
lise,hayir,calismiyor,universite,evet,kamu
universite,hayir,calismiyor,universite,evet,ozel sektor
universite,evet,ozel sektor,universite,evet,kamu
ilkokul,hayir,calismiyor,lise,evet,ozel sektor
ilkokul,hayir,calismiyor,ilkokul,evet,ozel sektor
ilkokul,evet,diger,lise,evet,diger
ilkokul,hayir,calismiyor,universite,evet,ozel sektor
lise,hayir,calismiyor,lise,evet,kamu
egitimi yok,hayir,calismiyor,ortaokul,evet,ozel sektor
ilkokul,hayir,calismiyor,Null,Null,Null
universite,evet,kamu,universite,emekli,calismiyor
egitimi yok,hayir,calismiyor,ilkokul,hayir,calismiyor
ortaokul,hayir,calismiyor,lise,evet,kamu
egitimi yok,hayir,calismiyor,Null,Null,Null
universite,evet,kamu,universite,evet,kamu
lise,hayir,calismiyor,universite,emekli,calismiyor
lise,evet,ozel sektor,universite,emekli,ozel sektor
lise,hayir,calismiyor,universite,emekli,calismiyor
ilkokul,hayir,calismiyor,ilkokul,evet,ozel sektor
ilkokul,hayir,calismiyor,ortaokul,evet,diger
Null,emekli,calismiyor,Null,Null,Null
egitimi yok,hayir,calismiyor,egitimi yok,evet,ozel sektor
ilkokul,hayir,calismiyor,ortaokul,evet,ozel sektor
lise,hayir,calismiyor,lise,emekli,calismiyor
universite,evet,ozel sektor,ortaokul,emekli,calismiyor
universite,emekli,calismiyor,Null,Null,Null
lise,hayir,calismiyor,lise,emekli,calismiyor
ilkokul,hayir,calismiyor,universite,evet,diger
ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor
ortaokul,hayir,calismiyor,ilkokul,emekli,calismiyor
ortaokul,hayir,calismiyor,lise,evet,ozel sektor
ortaokul,hayir,calismiyor,lise,evet,ozel sektor
universite,emekli,calismiyor,Null,Null,Null
lise,hayir,calismiyor,lise,evet,ozel sektor
lise,hayir,calismiyor,universite,evet,diger
lise,evet,diger,lise,evet,kamu
lise,hayir,calismiyor,lise,evet,diger
lise,emekli,calismiyor,universite,emekli,calismiyor
universite,emekli,calismiyor,universite,emekli,calismiyor
lise,evet,diger,lise,evet,ozel sektor
lise,hayir,calismiyor,ilkokul,emekli,calismiyor
Null,hayir,calismiyor,Null,evet,kamu
ilkokul,hayir,calismiyor,ortaokul,emekli,calismiyor
lise,hayir,calismiyor,universite,evet,diger
ilkokul,hayir,calismiyor,ilkokul,evet,diger
ilkokul,hayir,calismiyor,universite,evet,kamu
ilkokul,hayir,calismiyor,lise,emekli,calismiyor
ilkokul,hayir,calismiyor,Null,Null,Null
