Burslu ise Burs Yuzdesi,Burs Aliyor mu?,Baska Bir Kurumdan Burs Aliyor mu?,Burs Aldigi Baska Kurum,Baska Kurumdan Aldigi Burs Miktari
100.0,1,0,Null,Null
100.0,0,0,Null,Null
100.0,0,0,Null,Null
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,0,0,Null,Null
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,1,1,kyk,300
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,0,0,Null,Null
100.0,1,0,Null,Null
100.0,0,0,Null,Null
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,1,1,kyk,300
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,1,0,kyk-burs,Null
100.0,1,0,Null,Null
100.0,0,0,Null,Null
100.0,1,0,Null,Null
100.0,1,1,konlas,150
100.0,1,0,Null,Null
100.0,1,1,kyk,300
100.0,1,1,koc universitesi,430
100.0,1,1,tev,400
100.0,1,1,kyk,300
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,1,1,golden coast hotel,250
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,0,0,Null,Null
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,0,0,Null,Null
100.0,0,0,Null,Null
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,1,1,kyk,300
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,0,0,Null,Null
100.0,1,0,Null,Null
100.0,0,0,Null,Null
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,0,0,Null,Null
100.0,1,0,Null,Null
100.0,0,0,Null,Null
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,1,1,kyk,300
100.0,1,1,"kredi ve yurtlar kurumu burs, ozel basari bursu, izmir ekonomi universitesi tarafindan verilen burs",Null
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,1,1,tobb ekonomi ve teknoloji universitesi,850
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,1,1,bahcesehir universitesi,500
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,1,1,krefi yurtlar kurumundan ogrenim kredisi,300
100.0,0,1,devletten kredi aliyorum,300
100.0,1,1,bursa ticaret ve sanayi odasi,280
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,1,1,izmir ekonomi universitesi oss basari bursu,430
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,1,1,kyk,300
100.0,1,1,kyk,300
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,0,0,Null,Null
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,0,0,Null,Null
100.0,1,1,sabanci universitesi osys giris derecesi bursu,500
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,1,1,tobb ekonomi ve teknoloji universitesi,1000
100.0,1,0,Null,Null
100.0,1,1,k.y.k. ustun basari bursu universite sinavlarinda ilk 100 ogrenci arasina girenlere verilen,900
100.0,1,1,kredi yurtlar kurumu kykdan kredi aliyorum.,300
100.0,1,0,Null,Null
100.0,0,0,Null,Null
100.0,1,0,Null,Null
100.0,1,1,kyk,300
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,0,0,Null,Null
100.0,1,1,kyk basbakanlik basari bursu,365
100.0,1,0,Null,Null
100.0,0,0,Null,Null
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,0,0,Null,Null
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,0,0,Null,Null
100.0,1,1,"bahcesehir universitesi basari bursu, kyk kredi",800
100.0,0,0,Null,Null
100.0,1,0,Null,Null
100.0,1,1,okulumdan,850
100.0,1,0,Null,Null
100.0,1,0,kyk,Null
100.0,1,0,Null,Null
100.0,0,0,Null,Null
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,0,0,Null,Null
100.0,1,0,Null,Null
100.0,0,0,Null,Null
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,1,1,gerkav,150
100.0,0,0,Null,Null
100.0,0,0,Null,Null
100.0,0,0,Null,Null
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,1,1,nuh cimento san. a.s.,125
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,0,0,Null,Null
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,1,1,tobb etu,850
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,1,1,ogrenim kredisi,300
100.0,0,0,Null,Null
100.0,1,0,Null,Null
100.0,1,0,Null,Null
100.0,1,1,kyk,300
100.0,1,0,Null,Null
100.0,1,1,ttk,180
100.0,0,0,Null,Null
100.0,1,0,Null,Null
100.0,1,1,canakkale ticaret ve sanayi odasi,260
100.0,1,1,kyk,300
100.0,0,0,Null,Null
100.0,1,1,bilkent universitesi kapsamli burs,425
100.0,1,0,Null,Null
100.0,1,1,polis esleri yardimlasma ve dayanisma dernegi,100
