Basvuru Yili,Degerlendirme Puani
2014,52.0
2014,30.0
2014,18.0
2014,40.0
2014,24.0
2014,37.0
2014,18.0
2014,24.0
2014,40.0
2014,31.0
2014,28.0
2014,26.0
2014,58.0
2014,28.0
2014,34.0
2014,33.0
2014,48.0
2014,33.0
2014,10.0
2014,24.0
2014,8.0
2014,54.0
2014,14.0
2014,24.0
2014,44.0
2014,60.0
2014,42.0
2014,26.0
2014,22.0
2014,14.0
2014,28.0
2014,16.0
2014,29.0
2014,8.0
2014,28.0
2014,46.0
2014,28.0
2014,22.0
2014,26.0
2014,41.0
2014,50.0
2014,44.0
2014,53.0
2014,34.0
2014,42.0
2014,36.0
2014,24.0
2014,40.0
2014,44.0
2014,18.0
2014,44.0
2014,44.0
2014,28.0
2014,52.0
2014,34.0
2014,32.0
2014,32.0
2014,52.0
2014,38.0
2014,18.0
2014,34.0
2014,44.0
2014,14.0
2014,32.0
2014,42.0
2014,48.0
2014,29.0
2014,30.0
2014,20.0
2014,12.0
2014,46.0
2014,48.0
2014,44.0
2014,50.0
2014,51.0
2014,44.0
2014,42.0
2014,22.0
2014,52.0
2014,29.0
2014,32.0
2014,26.0
2014,30.0
2014,65.0
2014,44.0
2014,56.0
2014,33.0
2014,61.0
2014,62.0
2014,49.0
2014,48.0
2014,49.0
2014,18.0
2014,30.0
2014,24.0
2014,48.0
2014,70.0
2014,24.0
2014,16.0
2014,42.0
2014,18.0
2014,18.0
2014,22.0
2014,22.0
2014,22.0
2014,38.0
2014,52.0
2014,56.0
2014,43.0
2014,23.0
2014,38.0
2014,38.0
2014,44.0
2014,28.0
2014,61.0
2014,34.0
2014,33.0
2014,46.0
2014,31.0
2014,64.0
2014,52.0
2014,52.0
2014,28.0
2014,50.0
2014,38.0
2014,34.0
2014,20.0
2014,40.0
2014,24.0
2014,38.0
2014,32.0
2014,26.0
2014,8.0
2014,61.0
2014,28.0
2014,24.0
2014,59.0
2014,46.0
2014,43.0
2014,29.0
2014,24.0
2014,34.0
2014,51.0
2014,22.0
2014,26.0
2014,57.0
2014,28.0
2014,28.0
2014,63.0
2014,36.0
2014,53.0
2014,37.0
2014,54.0
2014,34.0
