Anne Egitim Durumu,Anne Calisma Durumu,Anne Sektor,Baba Egitim Durumu,Baba Calisma Durumu,Baba Sektor,Kardes Sayisi
universite,hayir,calismiyor,universite,emekli,calismiyor,1
universite,evet,kamu,Null,emekli,calismiyor,1
ilkokul,hayir,calismiyor,ilkokul,evet,ozel sektor,6
ilkokul,hayir,calismiyor,universite,emekli,calismiyor,10
ilkokul,hayir,calismiyor,universite,emekli,calismiyor,1
egitimi yok,hayir,calismiyor,Null,evet,kamu,3
universite,hayir,calismiyor,Null,Null,Null,Null
lise,hayir,calismiyor,ilkokul,hayir,calismiyor,1
ortaokul,hayir,calismiyor,ortaokul,evet,ozel sektor,4
universite,evet,kamu,Null,evet,kamu,1
lise,hayir,calismiyor,lise,emekli,calismiyor,2
lise,hayir,calismiyor,universite,evet,diger,2
universite,evet,kamu,universite,evet,kamu,1
lise,hayir,calismiyor,universite,emekli,calismiyor,4
egitimi yok,hayir,calismiyor,ilkokul,hayir,calismiyor,10
universite,emekli,calismiyor,Null,evet,kamu,1
ortaokul,hayir,calismiyor,ortaokul,emekli,calismiyor,3
universite,evet,kamu,universite,evet,kamu,1
ortaokul,hayir,calismiyor,universite,evet,kamu,1
ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,1
lise,hayir,calismiyor,lise,evet,diger,5
lise,hayir,calismiyor,lise,evet,kamu,2
ilkokul,hayir,calismiyor,lise,emekli,calismiyor,4
ilkokul,hayir,calismiyor,lise,emekli,calismiyor,3
universite,emekli,calismiyor,universite,evet,ozel sektor,1
lise,evet,ozel sektor,Null,Null,Null,Null
Null,evet,kamu,Null,evet,kamu,0
universite,evet,kamu,universite,evet,kamu,1
lise,emekli,calismiyor,lise,evet,diger,1
lise,hayir,calismiyor,ortaokul,emekli,calismiyor,2
ilkokul,hayir,calismiyor,universite,evet,kamu,1
ortaokul,hayir,calismiyor,ortaokul,emekli,calismiyor,3
lise,hayir,calismiyor,lise,emekli,calismiyor,4
lise,hayir,calismiyor,lise,emekli,calismiyor,0
ilkokul,hayir,calismiyor,lise,emekli,calismiyor,2
universite,emekli,calismiyor,universite,evet,ozel sektor,0
ilkokul,evet,diger,ilkokul,emekli,calismiyor,1
universite,evet,kamu,universite,evet,kamu,1
lise,evet,ozel sektor,lise,emekli,calismiyor,2
ortaokul,evet,ozel sektor,ilkokul,evet,kamu,1
lise,emekli,calismiyor,lise,evet,ozel sektor,0
lise,emekli,calismiyor,universite,emekli,calismiyor,1
lise,evet,ozel sektor,universite,evet,ozel sektor,0
lise,hayir,calismiyor,universite,evet,ozel sektor,1
lise,hayir,calismiyor,universite,evet,kamu,2
egitimi yok,hayir,calismiyor,ilkokul,emekli,calismiyor,7
ilkokul,hayir,calismiyor,ilkokul,evet,ozel sektor,3
lise,hayir,calismiyor,lise,evet,ozel sektor,1
Null,evet,ozel sektor,Null,evet,ozel sektor,0
lise,hayir,calismiyor,universite,evet,ozel sektor,1
universite,emekli,calismiyor,universite,evet,ozel sektor,1
ilkokul,hayir,calismiyor,ilkokul,evet,kamu,1
lise,evet,ozel sektor,Null,Null,Null,Null
universite,evet,kamu,universite,evet,kamu,1
ilkokul,hayir,calismiyor,Null,Null,Null,Null
ortaokul,evet,ozel sektor,ilkokul,evet,ozel sektor,1
universite,evet,kamu,Null,evet,kamu,1
lise,hayir,calismiyor,lise,evet,kamu,3
lise,evet,ozel sektor,Null,Null,Null,Null
ortaokul,hayir,calismiyor,Null,Null,Null,Null
ortaokul,hayir,calismiyor,Null,Null,Null,Null
ilkokul,emekli,calismiyor,ilkokul,evet,diger,2
ilkokul,hayir,calismiyor,universite,emekli,calismiyor,3
ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,3
universite,evet,ozel sektor,universite,evet,diger,0
lise,evet,ozel sektor,universite,evet,ozel sektor,2
universite,evet,ozel sektor,universite,evet,ozel sektor,1
lise,emekli,calismiyor,universite,emekli,calismiyor,0
universite,emekli,calismiyor,universite,evet,ozel sektor,Null
lise,evet,ozel sektor,lise,evet,ozel sektor,1
lise,hayir,calismiyor,lise,emekli,calismiyor,3
ilkokul,hayir,calismiyor,lise,emekli,calismiyor,3
universite,evet,kamu,universite,emekli,calismiyor,1
lise,emekli,calismiyor,lise,emekli,calismiyor,2
universite,emekli,calismiyor,lise,evet,ozel sektor,1
universite,evet,kamu,universite,evet,kamu,1
lise,emekli,calismiyor,ilkokul,evet,ozel sektor,1
universite,evet,kamu,universite,evet,ozel sektor,1
universite,evet,kamu,universite,hayir,diger,1
lise,emekli,calismiyor,lise,hayir,calismiyor,2
lise,emekli,calismiyor,lise,emekli,calismiyor,1
lise,hayir,calismiyor,lise,emekli,calismiyor,1
ortaokul,hayir,calismiyor,lise,evet,ozel sektor,2
lise,evet,ozel sektor,lise,evet,kamu,1
