Burs Aliyor mu?,Burslu ise Burs Yuzdesi,Baska Bir Kurumdan Burs Aliyor mu?,Burs Aldigi Baska Kurum,Baska Kurumdan Aldigi Burs Miktari
1,100.0,0,Null,Null
0,100.0,0,Null,Null
0,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
0,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,1,kyk,300
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
0,100.0,0,Null,Null
1,100.0,0,Null,Null
0,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,1,kyk,300
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,kyk-burs,Null
1,100.0,0,Null,Null
0,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,1,konlas,150
1,100.0,0,Null,Null
1,100.0,1,kyk,300
1,100.0,1,koc universitesi,430
1,100.0,1,tev,400
1,100.0,1,kyk,300
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,1,golden coast hotel,250
1,100.0,0,Null,Null
1,100.0,0,Null,Null
0,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
0,100.0,0,Null,Null
0,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,1,kyk,300
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
0,100.0,0,Null,Null
1,100.0,0,Null,Null
0,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
0,100.0,0,Null,Null
1,100.0,0,Null,Null
0,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,1,kyk,300
1,100.0,1,"kredi ve yurtlar kurumu burs, ozel basari bursu, izmir ekonomi universitesi tarafindan verilen burs",Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,1,tobb ekonomi ve teknoloji universitesi,850
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,1,bahcesehir universitesi,500
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,1,krefi yurtlar kurumundan ogrenim kredisi,300
0,100.0,1,devletten kredi aliyorum,300
1,100.0,1,bursa ticaret ve sanayi odasi,280
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,1,izmir ekonomi universitesi oss basari bursu,430
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,1,kyk,300
1,100.0,1,kyk,300
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
0,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
0,100.0,0,Null,Null
1,100.0,1,sabanci universitesi osys giris derecesi bursu,500
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,1,tobb ekonomi ve teknoloji universitesi,1000
1,100.0,0,Null,Null
1,100.0,1,k.y.k. ustun basari bursu universite sinavlarinda ilk 100 ogrenci arasina girenlere verilen,900
1,100.0,1,kredi yurtlar kurumu kykdan kredi aliyorum.,300
1,100.0,0,Null,Null
0,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,1,kyk,300
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
0,100.0,0,Null,Null
1,100.0,1,kyk basbakanlik basari bursu,365
1,100.0,0,Null,Null
0,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
0,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
0,100.0,0,Null,Null
1,100.0,1,"bahcesehir universitesi basari bursu, kyk kredi",800
0,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,1,okulumdan,850
1,100.0,0,Null,Null
1,100.0,0,kyk,Null
1,100.0,0,Null,Null
0,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
0,100.0,0,Null,Null
1,100.0,0,Null,Null
0,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,1,gerkav,150
0,100.0,0,Null,Null
0,100.0,0,Null,Null
0,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,1,nuh cimento san. a.s.,125
1,100.0,0,Null,Null
1,100.0,0,Null,Null
0,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,1,tobb etu,850
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,1,ogrenim kredisi,300
0,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,1,kyk,300
1,100.0,0,Null,Null
1,100.0,1,ttk,180
0,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,1,canakkale ticaret ve sanayi odasi,260
1,100.0,1,kyk,300
0,100.0,0,Null,Null
1,100.0,1,bilkent universitesi kapsamli burs,425
1,100.0,0,Null,Null
1,100.0,1,polis esleri yardimlasma ve dayanisma dernegi,100
1,100.0,0,Null,Null
0,100.0,0,Null,Null
1,100.0,1,ozyegin universitesi,300
1,100.0,1,t.c. kredi ve yurtlar kurumu,300
0,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
0,100.0,0,Null,Null
1,100.0,1,kyk,300
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,1,kyk,300
1,100.0,1,kyk geri odemeli kredi,300
0,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,1,kyk,300
1,100.0,0,Null,Null
1,100.0,1,kyk,300
1,100.0,0,Null,Null
0,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
0,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
0,100.0,0,kyk ogrenim kredisi,Null
1,100.0,0,Null,Null
1,100.0,0,t.c. basbakanlik,900
0,100.0,0,Null,Null
1,100.0,1,basbakanlik bursu,300
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
0,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
0,100.0,1,basbakanlik,300
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,kredi ve yurtlar kurumundan geri odemeliogrenim kredisim,300
1,100.0,0,Null,Null
1,100.0,1,kyk,300
0,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
0,100.0,0,Null,Null
1,100.0,0,Null,Null
0,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
0,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,1,kyk,300
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
0,100.0,0,Null,Null
1,100.0,0,Null,Null
0,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,1,okuldan,250
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,1,basbakanlik kyk,900
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,1,mado,150
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
0,100.0,0,kyk-burs,Null
1,100.0,0,Null,Null
1,100.0,1,kendi universitemden derece bursu aliyorum,400
0,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,1,kyk ve bilkent,800
1,100.0,0,Null,Null
1,100.0,0,Null,Null
0,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,kyk ogrenim kredisi,Null
1,100.0,1,kyk,300
1,100.0,1,tc basbakanlik,300
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
1,100.0,0,Null,Null
