Bölüm,Universite Kacinci Sinif,Universite Not Ortalamasi,Daha Once Baska Bir Universiteden Mezun Olmus,"Daha Önceden Mezun Olunduysa, Mezun Olunan Üniversite"
bilgisayar muhendisligi,3,3.0-3.5,0,Null
elektrik elektronik muhendisligi,3,2.5-3.0,0,Null
finans yonetimi ve pazarlama,1,Null,0,Null
bilgisayar muhendisligi,3,2.5-3.0,0,Null
siyaset bilimi ve uluslararasi iliskiler,Null,2.5-3.0,0,Null
bankacilik ve finans,3,3.0-3.5,0,Null
hukuk,2,2.5-3.0,0,Null
bilgisayar muhendisligi,1,2.5-3.0,0,Null
sinema-tv,2,0.0-2.5,0,Null
bilgisayar muhendisligi,4,3.0-3.5,0,Null
siyaset bilimi ve kamu yonetimi,1,Null,0,Null
computer engineering,3,2.5-3.0,0,Null
endustri muhendisligi,3,3.0-4.0,0,Null
mekatronik,2,3.0-4.0,1,Null
truzim ve otel isletmeciligi,2,2.5-3.0,0,Null
bilgisayar muhendisligi,3,3.0-3.5,0,Null
hukuk,3,3.0-3.5,0,Null
bilgisayar muhendisligi,1,Null,0,Null
bilgisayar muhendisligi,1,Null,0,Null
bilgisayar muhendisligi,1,Null,0,Null
psikoloji,3,Null,0,Null
iktisadi ve idari bilimler programlari,hazirlik,Null,0,Null
meslek yuksek okulu isletme,Null,2.5-3.0,0,Null
biyomedikal muhendisligi,3,3.0-4.0,0,Null
endustri sistemleri muhendisligi,1,3.0-4.0,0,Null
genetik ve biyomuhendislik,4,3.0-3.5,0,Null
bilgisayar muhendisligi,4,3.0-3.5,0,Null
ic mimarlik ve cevre tasarimi,2,2.5-3.0,0,Null
bilgisayar teknolojisi ve bilisim sistemleri,1,0.0-2.5,0,Null
bankacilik ve sigortacilik,2,2.5-3.0,0,Null
yonetim bilisim sistemleri,2,Null,0,Null
maliye,4,3.0-3.5,0,Null
enerji sistemleri muhendisligi,3,2.5-3.0,0,Null
isletme,1,Null,0,Null
sahne ve gosteri sanatlari yonetimi,1,Null,0,Null
bilgisayar muhendisligi,3,3.0-3.5,0,Null
seyahat isletmeciligi,4,3.0-4.0,1,Null
uluslararasi iliskiler,3,0.0-2.5,0,Null
isletme enformatigi,2,3.0-3.5,0,Null
yazilim muhendisligi,3,3.0-3.5,0,Null
endustri muhendisligi,3,2.5-3.0,0,Null
isletme,mezun,2.5-3.0,0,Null
ekonomi,2,3.0-4.0,0,Null
hukuk,4,0.0-2.5,0,Null
matematik,hazirlik,Null,0,Null
sivil hava ulastirma isletmeciligi,2,2.5-3.0,0,Null
bilgisayar teknolojileri,2,2.5-3.0,0,Null
uluslararasi ticaret,4,3.0-3.5,0,Null
hukuk,4,2.5-3.0,0,Null
sinif ogretmenligi,3,Null,0,Null
uretim sistemleri muhendisligi,3,Null,0,Null
psikoloji,3,2.5-3.0,0,Null
bankacilik ve finans,1,Null,0,Null
bilgisayar muhendisligi,3,3.0-3.5,0,Null
felsefe,2,0.0-2.5,0,Null
uluslarararasi ticaret,2,3.0-3.5,0,Null
mimarlik,3,3.0-3.5,0,Null
endustri muhendisligi,2,3.0-3.5,0,Null
spor yonetimi,1,Null,1,Null
uluslararasi ticaret,2,Null,0,Null
felsefe,3,0.0-2.5,0,Null
uluslararasi iliskiler,2,0.0-2.5,0,Null
isletme,2,2.5-3.0,0,Null
iktisat,3,2.5-3.0,0,Null
isletme,4,0.0-2.5,0,Null
gorsel iletisim tasarimi,3,3.0-3.5,0,Null
bilgisayar muhendisligi,3,2.5-3.0,0,Null
isletme ingilizce - tam burslu,2,3.0-4.0,0,Null
isletme muhendisligi,1,Null,0,Null
international relations,2,0.0-2.5,0,Null
medya ve iletisim,4,3.0-3.5,0,Null
felsefe,2,Null,0,Null
"uluslararasi finans, uluslararasi ticaret ve isletmecilik",4,3.0-4.0,0,Null
ekonomi,3,2.5-3.0,0,Null
hukuk,3,3.0-3.5,0,Null
isletme,3,3.0-4.0,0,Null
enerji sistemleri muhendisligi-isletme muhendisligicap,3,3.0-4.0,0,Null
rehberlik ve psikolojik danismanlik,1,Null,0,Null
hukuk,2,3.0-3.5,0,Null
halkla iliskiler ve tanitim,2,2.5-3.0,0,Null
isletme,2,3.0-3.5,0,Null
halkla iliskiler,4,3.0-3.5,1,Null
bilgisayar muhendisligi,2,3.0-3.5,0,Null
endustri muhendisligi - otomotiv muhendisligiyan dal,4,3.0-3.5,0,Null
psikoloji,2,2.5-3.0,0,Null
iktisat,3,3.0-4.0,0,Null
endustri muhendisligi,2,3.0-4.0,0,Null
psikoloji,2,3.0-3.5,0,Null
isletme / psikoloji cift anadal,3,3.0-4.0,0,Null
insaat muhendisligi-isletme muhendisligicap,3,2.5-3.0,0,Null
endustri muhendisligi,3,3.0-4.0,0,Null
bilgisayar muhendisligi,3,2.5-3.0,0,Null
ingilizce isletme,1,Null,0,Null
