Basvuru Yili,Degerlendirme Puani,Cinsiyet,Dogum Tarihi,Dogum Yeri,Ikametgah Sehri
2014,52.0,erkek,1994/04/06,ankara,ankara
2014,30.0,erkek,1993/06/11,,istanbul
2014,18.0,erkek,1986/01/15,samsun,istanbul
2014,40.0,erkek,1991/06/04,diyarbakir,istanbul
2014,24.0,erkek,1992/02/11,ankara,ankara
2014,37.0,erkek,1992/04/14,istanbul,istanbul
2014,18.0,erkek,1994/10/13,istanbul,istanbul
2014,24.0,erkek,1993/03/18,istanbul,istanbul
2014,40.0,erkek,1991/12/29,erzincan,istanbul
2014,31.0,erkek,1991/04/25,sivas,istanbul
2014,28.0,erkek,1995/07/20,kayseri,kayseri
2014,26.0,erkek,1993/09/27,usak,istanbul
2014,58.0,erkek,1993/03/23,rize,ankara
2014,28.0,erkek,1992/08/09,,ankara
2014,34.0,erkek,1992/03/05,adiyaman,istanbul
2014,33.0,erkek,1992/04/16,erzurum,izmir
2014,48.0,erkek,1992/07/15,kahramanmaras,kahramanmaras
2014,33.0,erkek,1995/08/05,konya,istanbul
2014,10.0,erkek,1995/07/27,izmir,izmir
2014,24.0,erkek,1995/07/24,trabzon,trabzon
2014,8.0,erkek,1994/07/05,kars,kars
2014,54.0,erkek,1995/08/15,kirsehir,kirsehir
2014,14.0,erkek,1989/01/27,,kocaeli
2014,24.0,erkek,1992/10/05,adana,istanbul
2014,44.0,kadin,1994/04/09,izmir,izmir
2014,60.0,kadin,1993/06/09,istanbul,istanbul
2014,42.0,erkek,1992/05/31,ankara,istanbul
2014,26.0,erkek,1995/02/08,adana,izmir
2014,22.0,erkek,1994/01/23,adana,istanbul
2014,14.0,erkek,1994/07/23,istanbul,istanbul
2014,28.0,erkek,1995/04/23,sakarya,ordu
2014,16.0,erkek,1992/04/24,istanbul,istanbul
2014,29.0,erkek,1993/09/24,adana,istanbul
2014,8.0,erkek,1995/05/26,ankara,izmir
2014,28.0,kadin,1994/05/24,ankara,istanbul
2014,46.0,erkek,1992/02/13,mugla,izmir
2014,28.0,kadin,1992/07/02,kars,istanbul
2014,22.0,kadin,1990/12/29,hatay,osmaniye
2014,26.0,kadin,1995/01/12,,
2014,41.0,erkek,1992/05/22,izmir,izmir
2014,50.0,kadin,1993/08/04,,istanbul
2014,44.0,kadin,1990/01/10,ankara,istanbul
2014,53.0,kadin,1995/06/12,mersin,istanbul
2014,34.0,kadin,1991/05/28,izmir,istanbul
2014,42.0,kadin,1995/06/12,erzurum,izmir
2014,36.0,kadin,1993/05/11,malatya,istanbul
2014,24.0,erkek,1994/09/03,,istanbul
2014,40.0,kadin,1993/11/14,manisa,antalya
2014,44.0,kadin,1992/09/16,istanbul,istanbul
2014,18.0,kadin,1993/09/12,,ankara
2014,44.0,kadin,1993/01/25,sanliurfa,antalya
2014,44.0,kadin,1992/12/21,corum,istanbul
2014,28.0,kadin,1993/02/17,,ankara
2014,52.0,kadin,1993/08/29,canakkale,istanbul
2014,34.0,kadin,1992/02/26,,istanbul
2014,32.0,kadin,1994/03/12,ankara,istanbul
2014,32.0,kadin,1993/01/05,istanbul,istanbul
2014,52.0,kadin,1994/06/30,antalya,ankara
2014,38.0,kadin,1991/02/27,,istanbul
2014,18.0,kadin,1993/01/11,ankara,istanbul
2014,34.0,kadin,1991/03/17,,istanbul
2014,44.0,erkek,1992/09/01,antalya,istanbul
2014,14.0,erkek,1994/07/13,konya,konya
2014,32.0,erkek,1991/02/01,cankiri,istanbul
2014,42.0,erkek,1990/08/01,istanbul,istanbul
2014,48.0,erkek,1992/05/30,malatya,istanbul
2014,29.0,erkek,1994/09/22,ankara,ankara
2014,30.0,erkek,1994/01/01,eskisehir,
2014,20.0,erkek,1995/10/07,istanbul,istanbul
2014,12.0,erkek,1992/03/12,,
2014,46.0,kadin,1991/02/05,izmir,izmir
2014,48.0,kadin,1992/08/04,,
2014,44.0,kadin,1992/10/22,izmir,
2014,50.0,kadin,1993/07/26,adana,istanbul
2014,51.0,kadin,1994/05/25,istanbul,
2014,44.0,kadin,1993/08/26,bartin,bartin
