Bölüm,Universite Kacinci Sinif,Universite Not Ortalamasi,Daha Once Baska Bir Universiteden Mezun Olmus,"Daha Önceden Mezun Olunduysa, Mezun Olunan Üniversite"
bilgisayar muhendisligi,3,3.00 - 3.50,hayir,
elektrik elektronik muhendisligi,3,2.50 - 3.00,hayir,
finans yonetimi ve pazarlama,1,,hayir,
bilgisayar muhendisligi,3,2.50 - 3.00,hayir,
siyaset bilimi ve uluslararasi iliskiler,,2.50 - 3.00,hayir,
bankacilik ve finans,3,3.00 - 3.50,hayir,
hukuk,2,2.50 - 3.00,hayir,
bilgisayar muhendisligi,1,2.50 - 3.00,hayir,
sinema-tv,2,0.00 - 2.50,hayir,
bilgisayar muhendisligi,4,3.00 - 3.50,hayir,
siyaset bilimi ve kamu yonetimi,1,,hayir,
computer engineering,3,2.50 - 3.00,hayir,
endustri muhendisligi,3,3.00 - 4.00,hayir,
mekatronik,2,3.00 - 4.00,evet,
truzim ve otel isletmeciligi,2,2.50 - 3.00,hayir,
bilgisayar muhendisligi,3,3.00 - 3.50,hayir,
hukuk,3,3.00 - 3.50,hayir,
bilgisayar muhendisligi,1,,hayir,
bilgisayar muhendisligi,1,,hayir,
bilgisayar muhendisligi,1,,hayir,
psikoloji,3,,hayir,
iktisadi ve idari bilimler programlari,hazirlik,,hayir,
meslek yuksek okulu isletme,,2.50 - 3.00,hayir,
biyomedikal muhendisligi,3,3.00 - 4.00,hayir,
endustri sistemleri muhendisligi,1,3.00 - 4.00,hayir,
genetik ve biyomuhendislik,4,3.00 - 3.50,hayir,
bilgisayar muhendisligi,4,3.00 - 3.50,hayir,
ic mimarlik ve cevre tasarimi,2,2.50 - 3.00,hayir,
bilgisayar teknolojisi ve bilisim sistemleri,1,0.00 - 2.50,hayir,
bankacilik ve sigortacilik,2,2.50 - 3.00,hayir,
yonetim bilisim sistemleri,2,,hayir,
maliye,4,3.00 - 3.50,hayir,
enerji sistemleri muhendisligi,3,2.50 - 3.00,hayir,
isletme,1,,hayir,
sahne ve gosteri sanatlari yonetimi,1,,hayir,
bilgisayar muhendisligi,3,3.00 - 3.50,hayir,
seyahat isletmeciligi,4,3.00 - 4.00,evet,
uluslararasi iliskiler,3,0.00 - 2.50,hayir,
isletme enformatigi,2,3.00 - 3.50,hayir,
yazilim muhendisligi,3,3.00 - 3.50,hayir,
endustri muhendisligi,3,2.50 - 3.00,hayir,
isletme,mezun,2.50 - 3.00,hayir,
ekonomi,2,3.00 - 4.00,hayir,
hukuk,4,0.00 - 2.50,hayir,
matematik,hazirlik,,hayir,
sivil hava ulastirma isletmeciligi,2,2.50 - 3.00,hayir,
bilgisayar teknolojileri,2,2.50 - 3.00,hayir,
uluslararasi ticaret,4,3.00 - 3.50,hayir,
hukuk,4,2.50 - 3.00,hayir,
sinif ogretmenligi,3,,hayir,
uretim sistemleri muhendisligi,3,,hayir,
psikoloji,3,2.50 - 3.00,hayir,
bankacilik ve finans,1,,hayir,
bilgisayar muhendisligi,3,3.00 - 3.50,hayir,
felsefe,2,0.00 - 2.50,hayir,
uluslarararasi ticaret,2,3.00 - 3.50,hayir,
mimarlik,3,3.00 - 3.50,hayir,
endustri muhendisligi,2,3.00 - 3.50,hayir,
spor yonetimi,1,,evet,
uluslararasi ticaret,2,,hayir,
felsefe,3,0.00 - 2.50,hayir,
uluslararasi iliskiler,2,0.00 - 2.50,hayir,
isletme,2,2.50 - 3.00,hayir,
iktisat,3,2.50 - 3.00,hayir,
isletme,4,0.00 - 2.50,hayir,
gorsel iletisim tasarimi,3,3.00 - 3.50,hayir,
bilgisayar muhendisligi,3,2.50 - 3.00,hayir,
isletme ingilizce - tam burslu,2,3.00 - 4.00,hayir,
isletme muhendisligi,1,,hayir,
international relations,2,0.00 - 2.50,hayir,
medya ve iletisim,4,3.00 - 3.50,hayir,
felsefe,2,,hayir,
"uluslararasi finans, uluslararasi ticaret ve isletmecilik",4,3.00 - 4.00,hayir,
ekonomi,3,2.50 - 3.00,hayir,
hukuk,3,3.00 - 3.50,hayir,
isletme,3,3.00 - 4.00,hayir,
enerji sistemleri muhendisligi-isletme muhendisligicap,3,3.00 - 4.00,hayir,
rehberlik ve psikolojik danismanlik,1,,hayir,
hukuk,2,3.00 - 3.50,hayir,
halkla iliskiler ve tanitim,2,2.50 - 3.00,hayir,
isletme,2,3.00 - 3.50,hayir,
halkla iliskiler,4,3.00 - 3.50,evet,
bilgisayar muhendisligi,2,3.00 - 3.50,hayir,
endustri muhendisligi - otomotiv muhendisligiyan dal,4,3.00 - 3.50,hayir,
psikoloji,2,2.50 - 3.00,hayir,
iktisat,3,3.00 - 4.00,hayir,
endustri muhendisligi,2,3.00 - 4.00,hayir,
psikoloji,2,3.00 - 3.50,hayir,
isletme / psikoloji cift anadal,3,3.00 - 4.00,hayir,
insaat muhendisligi-isletme muhendisligicap,3,2.50 - 3.00,hayir,
endustri muhendisligi,3,3.00 - 4.00,hayir,
bilgisayar muhendisligi,3,2.50 - 3.00,hayir,
ingilizce isletme,1,,hayir,
elektrik elektronik muhendisligi,4,2.50 - 3.00,hayir,
siyaset bilimi ve uluslararasi iliskiler,3,2.50 - 3.00,hayir,
biyomedikal muhendisligi,3,3.00 - 3.50,hayir,
matematik,2,0.00 - 2.50,hayir,
isletme ingilizce,4,2.50 - 3.00,evet,
isletme,1,3.00 - 3.50,hayir,
hemsirelik ve saglik hizmetleri,4,0.00 - 2.50,hayir,
iktisat,1,,hayir,
bilgisayar muhendisligi,2,2.50 - 3.00,hayir,
halkla iliskiler ve reklamcilik,hazirlik,,hayir,
halkla iliskiler ve reklamcilik,hazirlik,,hayir,
ekonomi ve finans,3,0.00 - 2.50,hayir,
is sagligi ve guvenligi,3,3.00 - 3.50,hayir,
hukuk,3,2.50 - 3.00,hayir,
siyaset bilimi ve kamu yonetimi,4,3.00 - 3.50,hayir,
isletme-ekonomi,hazirlik,,hayir,
tarih,hazirlik,,hayir,
bankacilik ve finans ingilizce,3,2.50 - 3.00,hayir,
