Burslu ise Burs Yuzdesi,Burs Aliyor mu?,Baska Bir Kurumdan Burs Aliyor mu?,Burs Aldigi Baska Kurum,Baska Kurumdan Aldigi Burs Miktari
100.0,evet,hayir,,
100.0,hayir,hayir,,
100.0,hayir,hayir,,
100.0,evet,hayir,,
100.0,evet,hayir,,
100.0,evet,hayir,,
100.0,hayir,hayir,,
100.0,evet,hayir,,
100.0,evet,hayir,,
100.0,evet,hayir,,
100.0,evet,hayir,,
100.0,evet,hayir,,
100.0,evet,hayir,,
100.0,evet,hayir,,
100.0,evet,evet,kyk,300
100.0,evet,hayir,,
100.0,evet,hayir,,
100.0,evet,hayir,,
100.0,evet,hayir,,
100.0,evet,hayir,,
100.0,hayir,hayir,,
100.0,evet,hayir,,
100.0,hayir,hayir,,
100.0,evet,hayir,,
100.0,evet,hayir,,
100.0,evet,evet,kyk,300 tl
100.0,evet,hayir,,
100.0,evet,hayir,,
100.0,evet,hayir,kredi ve yurtlar kurum,
100.0,evet,hayir,,
100.0,hayir,hayir,,
100.0,evet,hayir,,
100.0,evet,evet,konlas,150 tl
100.0,evet,hayir,,
100.0,evet,evet,kyk,300
100.0,evet,evet,koc universitesi,430tlyilda 10 ay
100.0,evet,evet,tev,400
100.0,evet,evet,kyk,300
100.0,evet,hayir,,
100.0,evet,hayir,,
100.0,evet,evet,golden coast hotel,250 tl
100.0,evet,hayir,,
100.0,evet,hayir,,
100.0,hayir,hayir,,
100.0,evet,hayir,,
100.0,evet,hayir,,
100.0,evet,hayir,,
100.0,evet,hayir,,
100.0,hayir,hayir,,
100.0,hayir,hayir,,
100.0,evet,hayir,,
100.0,evet,hayir,,
100.0,evet,evet,kyk,300 tl
100.0,evet,hayir,,
100.0,evet,hayir,,
100.0,evet,hayir,,
100.0,evet,hayir,,
100.0,evet,hayir,,
100.0,evet,hayir,,
100.0,hayir,hayir,,
100.0,evet,hayir,,
100.0,hayir,hayir,,
100.0,evet,hayir,,
100.0,evet,hayir,,
100.0,hayir,hayir,,
100.0,evet,hayir,,
100.0,hayir,hayir,,
100.0,evet,hayir,,
100.0,evet,hayir,,
100.0,evet,evet,kredi ve yurtlar kurumu,300
100.0,evet,evet,"kredi ve yurtlar kurumu burs, ozel basari bursu, izmir ekonomi universitesi tarafindan verilen burs",toplamda 1000 lira fakat mezun oldugun icin devam etmiyor
