Anne Egitim Durumu,Anne Calisma Durumu,Anne Sektor,Baba Egitim Durumu,Baba Calisma Durumu,Baba Sektor,Kardes Sayisi
universite,hayir,calismiyor,universite,emekli,calismiyor,1.0
universite,evet,kamu,,emekli,calismiyor,1.0
ilkokul,hayir,calismiyor,ilkokul,evet,ozel sektor,6.0
ilkokul,hayir,calismiyor,universite,emekli,calismiyor,10.0
ilkokul,hayir,calismiyor,universite,emekli,calismiyor,1.0
egitimi yok,hayir,calismiyor,,evet,kamu,3.0
universite,hayir,calismiyor,,,,
lise,hayir,calismiyor,ilkokul,hayir,calismiyor,1.0
ortaokul,hayir,calismiyor,ortaokul,evet,ozel sektor,4.0
universite,evet,kamu,,evet,kamu,1.0
lise,hayir,calismiyor,lise,emekli,calismiyor,2.0
lise,hayir,calismiyor,universite,evet,diger,2.0
universite,evet,kamu,universite,evet,kamu,1.0
lise,hayir,calismiyor,universite,emekli,calismiyor,4.0
egitimi yok,hayir,calismiyor,ilkokul,hayir,calismiyor,10.0
universite,emekli,calismiyor,,evet,kamu,1.0
ortaokul,hayir,calismiyor,ortaokul,emekli,calismiyor,3.0
universite,evet,kamu,universite,evet,kamu,1.0
ortaokul,hayir,calismiyor,universite,evet,kamu,1.0
ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,1.0
lise,hayir,calismiyor,lise,evet,diger,5.0
lise,hayir,calismiyor,lise,evet,kamu,2.0
ilkokul,hayir,calismiyor,lise,emekli,calismiyor,4.0
ilkokul,hayir,calismiyor,lise,emekli,calismiyor,3.0
universite,emekli,calismiyor,universite,evet,ozel sektor,1.0
lise,evet,ozel sektor,,,,
,evet,kamu,,evet,kamu,0.0
universite,evet,kamu,universite,evet,kamu,1.0
lise,emekli,calismiyor,lise,evet,diger,1.0
lise,hayir,calismiyor,ortaokul,emekli,calismiyor,2.0
ilkokul,hayir,calismiyor,universite,evet,kamu,1.0
ortaokul,hayir,calismiyor,ortaokul,emekli,calismiyor,3.0
lise,hayir,calismiyor,lise,emekli,calismiyor,4.0
lise,hayir,calismiyor,lise,emekli,calismiyor,0.0
ilkokul,hayir,calismiyor,lise,emekli,calismiyor,2.0
universite,emekli,calismiyor,universite,evet,ozel sektor,0.0
ilkokul,evet,diger,ilkokul,emekli,calismiyor,1.0
universite,evet,kamu,universite,evet,kamu,1.0
lise,evet,ozel sektor,lise,emekli,calismiyor,2.0
ortaokul,evet,ozel sektor,ilkokul,evet,kamu,1.0
lise,emekli,calismiyor,lise,evet,ozel sektor,0.0
lise,emekli,calismiyor,universite,emekli,calismiyor,1.0
lise,evet,ozel sektor,universite,evet,ozel sektor,0.0
lise,hayir,calismiyor,universite,evet,ozel sektor,1.0
lise,hayir,calismiyor,universite,evet,kamu,2.0
