index,Anne Egitim Durumu,Anne Calisma Durumu,Anne Sektor,Baba Egitim Durumu,Baba Calisma Durumu,Baba Sektor,Kardes Sayisi
1,universite,hayir,calismiyor,universite,emekli,calismiyor,1
2,universite,evet,kamu,Null,emekli,calismiyor,1
3,ilkokul,hayir,calismiyor,ilkokul,evet,ozel sektor,6
4,ilkokul,hayir,calismiyor,universite,emekli,calismiyor,10
5,ilkokul,hayir,calismiyor,universite,emekli,calismiyor,1
6,egitimi yok,hayir,calismiyor,Null,evet,kamu,3
7,universite,hayir,calismiyor,Null,Null,Null,Null
8,lise,hayir,calismiyor,ilkokul,hayir,calismiyor,1
9,ortaokul,hayir,calismiyor,ortaokul,evet,ozel sektor,4
10,universite,evet,kamu,Null,evet,kamu,1
11,lise,hayir,calismiyor,lise,emekli,calismiyor,2
12,lise,hayir,calismiyor,universite,evet,diger,2
13,universite,evet,kamu,universite,evet,kamu,1
14,lise,hayir,calismiyor,universite,emekli,calismiyor,4
15,egitimi yok,hayir,calismiyor,ilkokul,hayir,calismiyor,10
16,universite,emekli,calismiyor,Null,evet,kamu,1
17,ortaokul,hayir,calismiyor,ortaokul,emekli,calismiyor,3
18,universite,evet,kamu,universite,evet,kamu,1
19,ortaokul,hayir,calismiyor,universite,evet,kamu,1
20,ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,1
21,lise,hayir,calismiyor,lise,evet,diger,5
22,lise,hayir,calismiyor,lise,evet,kamu,2
23,ilkokul,hayir,calismiyor,lise,emekli,calismiyor,4
24,ilkokul,hayir,calismiyor,lise,emekli,calismiyor,3
25,universite,emekli,calismiyor,universite,evet,ozel sektor,1
26,lise,evet,ozel sektor,Null,Null,Null,Null
27,Null,evet,kamu,Null,evet,kamu,0
28,universite,evet,kamu,universite,evet,kamu,1
29,lise,emekli,calismiyor,lise,evet,diger,1
30,lise,hayir,calismiyor,ortaokul,emekli,calismiyor,2
31,ilkokul,hayir,calismiyor,universite,evet,kamu,1
32,ortaokul,hayir,calismiyor,ortaokul,emekli,calismiyor,3
33,lise,hayir,calismiyor,lise,emekli,calismiyor,4
34,lise,hayir,calismiyor,lise,emekli,calismiyor,0
35,ilkokul,hayir,calismiyor,lise,emekli,calismiyor,2
36,universite,emekli,calismiyor,universite,evet,ozel sektor,0
37,ilkokul,evet,diger,ilkokul,emekli,calismiyor,1
38,universite,evet,kamu,universite,evet,kamu,1
39,lise,evet,ozel sektor,lise,emekli,calismiyor,2
40,ortaokul,evet,ozel sektor,ilkokul,evet,kamu,1
41,lise,emekli,calismiyor,lise,evet,ozel sektor,0
42,lise,emekli,calismiyor,universite,emekli,calismiyor,1
43,lise,evet,ozel sektor,universite,evet,ozel sektor,0
44,lise,hayir,calismiyor,universite,evet,ozel sektor,1
45,lise,hayir,calismiyor,universite,evet,kamu,2
46,egitimi yok,hayir,calismiyor,ilkokul,emekli,calismiyor,7
47,ilkokul,hayir,calismiyor,ilkokul,evet,ozel sektor,3
48,lise,hayir,calismiyor,lise,evet,ozel sektor,1
49,Null,evet,ozel sektor,Null,evet,ozel sektor,0
50,lise,hayir,calismiyor,universite,evet,ozel sektor,1
51,universite,emekli,calismiyor,universite,evet,ozel sektor,1
52,ilkokul,hayir,calismiyor,ilkokul,evet,kamu,1
53,lise,evet,ozel sektor,Null,Null,Null,Null
54,universite,evet,kamu,universite,evet,kamu,1
55,ilkokul,hayir,calismiyor,Null,Null,Null,Null
56,ortaokul,evet,ozel sektor,ilkokul,evet,ozel sektor,1
57,universite,evet,kamu,Null,evet,kamu,1
58,lise,hayir,calismiyor,lise,evet,kamu,3
59,lise,evet,ozel sektor,Null,Null,Null,Null
60,ortaokul,hayir,calismiyor,Null,Null,Null,Null
61,ortaokul,hayir,calismiyor,Null,Null,Null,Null
62,ilkokul,emekli,calismiyor,ilkokul,evet,diger,2
63,ilkokul,hayir,calismiyor,universite,emekli,calismiyor,3
64,ilkokul,hayir,calismiyor,ilkokul,emekli,calismiyor,3
65,universite,evet,ozel sektor,universite,evet,diger,0
66,lise,evet,ozel sektor,universite,evet,ozel sektor,2
67,universite,evet,ozel sektor,universite,evet,ozel sektor,1
68,lise,emekli,calismiyor,universite,emekli,calismiyor,0
69,universite,emekli,calismiyor,universite,evet,ozel sektor,Null
70,lise,evet,ozel sektor,lise,evet,ozel sektor,1
71,lise,hayir,calismiyor,lise,emekli,calismiyor,3
72,ilkokul,hayir,calismiyor,lise,emekli,calismiyor,3
73,universite,evet,kamu,universite,emekli,calismiyor,1
74,lise,emekli,calismiyor,lise,emekli,calismiyor,2
75,universite,emekli,calismiyor,lise,evet,ozel sektor,1
76,universite,evet,kamu,universite,evet,kamu,1
77,lise,emekli,calismiyor,ilkokul,evet,ozel sektor,1
