index2,index,Burs Aliyor mu?,Burslu ise Burs Yuzdesi,Baska Bir Kurumdan Burs Aliyor mu?,Burs Aldigi Baska Kurum,Baska Kurumdan Aldigi Burs Miktari
1,1,1,100.0,0,Null,Null
2,2,0,100.0,0,Null,Null
3,3,0,100.0,0,Null,Null
4,4,1,100.0,0,Null,Null
5,5,1,100.0,0,Null,Null
6,6,1,100.0,0,Null,Null
7,7,0,100.0,0,Null,Null
8,8,1,100.0,0,Null,Null
9,9,1,100.0,0,Null,Null
10,10,1,100.0,0,Null,Null
11,11,1,100.0,0,Null,Null
12,12,1,100.0,0,Null,Null
13,13,1,100.0,0,Null,Null
14,14,1,100.0,0,Null,Null
15,15,1,100.0,1,kyk,300
16,16,1,100.0,0,Null,Null
17,17,1,100.0,0,Null,Null
18,18,1,100.0,0,Null,Null
19,19,1,100.0,0,Null,Null
20,20,1,100.0,0,Null,Null
21,21,0,100.0,0,Null,Null
22,22,1,100.0,0,Null,Null
23,23,0,100.0,0,Null,Null
24,24,1,100.0,0,Null,Null
25,25,1,100.0,0,Null,Null
26,26,1,100.0,1,kyk,300
27,27,1,100.0,0,Null,Null
28,28,1,100.0,0,Null,Null
29,29,1,100.0,0,kyk-burs,Null
30,30,1,100.0,0,Null,Null
31,31,0,100.0,0,Null,Null
32,32,1,100.0,0,Null,Null
33,33,1,100.0,1,konlas,150
34,34,1,100.0,0,Null,Null
35,35,1,100.0,1,kyk,300
36,36,1,100.0,1,koc universitesi,430
37,37,1,100.0,1,tev,400
38,38,1,100.0,1,kyk,300
39,39,1,100.0,0,Null,Null
40,40,1,100.0,0,Null,Null
41,41,1,100.0,1,golden coast hotel,250
42,42,1,100.0,0,Null,Null
43,43,1,100.0,0,Null,Null
44,44,0,100.0,0,Null,Null
45,45,1,100.0,0,Null,Null
46,46,1,100.0,0,Null,Null
47,47,1,100.0,0,Null,Null
48,48,1,100.0,0,Null,Null
49,49,0,100.0,0,Null,Null
50,50,0,100.0,0,Null,Null
51,51,1,100.0,0,Null,Null
52,52,1,100.0,0,Null,Null
53,53,1,100.0,1,kyk,300
54,54,1,100.0,0,Null,Null
55,55,1,100.0,0,Null,Null
56,56,1,100.0,0,Null,Null
57,57,1,100.0,0,Null,Null
58,58,1,100.0,0,Null,Null
59,59,1,100.0,0,Null,Null
60,60,0,100.0,0,Null,Null
61,61,1,100.0,0,Null,Null
62,62,0,100.0,0,Null,Null
63,63,1,100.0,0,Null,Null
64,64,1,100.0,0,Null,Null
65,65,0,100.0,0,Null,Null
66,66,1,100.0,0,Null,Null
67,67,0,100.0,0,Null,Null
68,68,1,100.0,0,Null,Null
69,69,1,100.0,0,Null,Null
70,70,1,100.0,1,kyk,300
71,71,1,100.0,1,"kredi ve yurtlar kurumu burs, ozel basari bursu, izmir ekonomi universitesi tarafindan verilen burs",Null
72,72,1,100.0,0,Null,Null
73,73,1,100.0,0,Null,Null
74,74,1,100.0,0,Null,Null
75,75,1,100.0,0,Null,Null
76,76,1,100.0,1,tobb ekonomi ve teknoloji universitesi,850
77,77,1,100.0,0,Null,Null
78,78,1,100.0,0,Null,Null
79,79,1,100.0,1,bahcesehir universitesi,500
80,80,1,100.0,0,Null,Null
81,81,1,100.0,0,Null,Null
82,82,1,100.0,0,Null,Null
83,83,1,100.0,0,Null,Null
84,84,1,100.0,1,krefi yurtlar kurumundan ogrenim kredisi,300
85,85,0,100.0,1,devletten kredi aliyorum,300
86,86,1,100.0,1,bursa ticaret ve sanayi odasi,280
87,87,1,100.0,0,Null,Null
88,88,1,100.0,0,Null,Null
89,89,1,100.0,1,izmir ekonomi universitesi oss basari bursu,430
90,90,1,100.0,0,Null,Null
91,91,1,100.0,0,Null,Null
92,92,1,100.0,0,Null,Null
93,93,1,100.0,0,Null,Null
94,94,1,100.0,1,kyk,300
95,95,1,100.0,1,kyk,300
96,96,1,100.0,0,Null,Null
97,97,1,100.0,0,Null,Null
98,98,1,100.0,0,Null,Null
99,99,1,100.0,0,Null,Null
100,100,1,100.0,0,Null,Null
101,101,1,100.0,0,Null,Null
102,102,1,100.0,0,Null,Null
103,103,1,100.0,0,Null,Null
104,104,1,100.0,0,Null,Null
105,105,1,100.0,0,Null,Null
106,106,1,100.0,0,Null,Null
107,107,0,100.0,0,Null,Null
108,108,1,100.0,0,Null,Null
109,109,1,100.0,0,Null,Null
110,110,1,100.0,0,Null,Null
111,111,1,100.0,0,Null,Null
112,112,0,100.0,0,Null,Null
113,113,1,100.0,1,sabanci universitesi osys giris derecesi bursu,500
114,114,1,100.0,0,Null,Null
115,115,1,100.0,0,Null,Null
116,116,1,100.0,0,Null,Null
117,117,1,100.0,0,Null,Null
118,118,1,100.0,1,tobb ekonomi ve teknoloji universitesi,1000
119,119,1,100.0,0,Null,Null
120,120,1,100.0,1,k.y.k. ustun basari bursu universite sinavlarinda ilk 100 ogrenci arasina girenlere verilen,900
121,121,1,100.0,1,kredi yurtlar kurumu kykdan kredi aliyorum.,300
122,122,1,100.0,0,Null,Null
123,123,0,100.0,0,Null,Null
124,124,1,100.0,0,Null,Null
125,125,1,100.0,1,kyk,300
126,126,1,100.0,0,Null,Null
127,127,1,100.0,0,Null,Null
128,128,1,100.0,0,Null,Null
129,129,1,100.0,0,Null,Null
130,130,1,100.0,0,Null,Null
131,131,1,100.0,0,Null,Null
132,132,1,100.0,0,Null,Null
133,133,1,100.0,0,Null,Null
134,134,0,100.0,0,Null,Null
135,135,1,100.0,1,kyk basbakanlik basari bursu,365
136,136,1,100.0,0,Null,Null
137,137,0,100.0,0,Null,Null
138,138,1,100.0,0,Null,Null
139,139,1,100.0,0,Null,Null
140,140,0,100.0,0,Null,Null
141,141,1,100.0,0,Null,Null
142,142,1,100.0,0,Null,Null
143,143,1,100.0,0,Null,Null
144,144,0,100.0,0,Null,Null
145,145,1,100.0,1,"bahcesehir universitesi basari bursu, kyk kredi",800
146,146,0,100.0,0,Null,Null
147,147,1,100.0,0,Null,Null
148,148,1,100.0,1,okulumdan,850
149,149,1,100.0,0,Null,Null
150,150,1,100.0,0,kyk,Null
151,151,1,100.0,0,Null,Null
152,152,0,100.0,0,Null,Null
153,153,1,100.0,0,Null,Null
154,154,1,100.0,0,Null,Null
155,155,1,100.0,0,Null,Null
156,156,0,100.0,0,Null,Null
157,157,1,100.0,0,Null,Null
158,158,0,100.0,0,Null,Null
159,159,1,100.0,0,Null,Null
160,160,1,100.0,0,Null,Null
161,161,1,100.0,1,gerkav,150
162,162,0,100.0,0,Null,Null
163,163,0,100.0,0,Null,Null
164,164,0,100.0,0,Null,Null
165,165,1,100.0,0,Null,Null
166,166,1,100.0,0,Null,Null
167,167,1,100.0,1,nuh cimento san. a.s.,125
168,168,1,100.0,0,Null,Null
169,169,1,100.0,0,Null,Null
170,170,0,100.0,0,Null,Null
171,171,1,100.0,0,Null,Null
172,172,1,100.0,0,Null,Null
173,173,1,100.0,0,Null,Null
174,174,1,100.0,0,Null,Null
175,175,1,100.0,0,Null,Null
176,176,1,100.0,1,tobb etu,850
177,177,1,100.0,0,Null,Null
178,178,1,100.0,0,Null,Null
179,179,1,100.0,0,Null,Null
180,180,1,100.0,1,ogrenim kredisi,300
181,181,0,100.0,0,Null,Null
182,182,1,100.0,0,Null,Null
183,183,1,100.0,0,Null,Null
184,184,1,100.0,1,kyk,300
185,185,1,100.0,0,Null,Null
186,186,1,100.0,1,ttk,180
187,187,0,100.0,0,Null,Null
188,188,1,100.0,0,Null,Null
189,189,1,100.0,1,canakkale ticaret ve sanayi odasi,260
190,190,1,100.0,1,kyk,300
191,191,0,100.0,0,Null,Null
192,192,1,100.0,1,bilkent universitesi kapsamli burs,425
193,193,1,100.0,0,Null,Null
194,194,1,100.0,1,polis esleri yardimlasma ve dayanisma dernegi,100
195,195,1,100.0,0,Null,Null
196,196,0,100.0,0,Null,Null
197,197,1,100.0,1,ozyegin universitesi,300
198,198,1,100.0,1,t.c. kredi ve yurtlar kurumu,300
199,199,0,100.0,0,Null,Null
200,200,1,100.0,0,Null,Null
201,201,1,100.0,0,Null,Null
202,202,1,100.0,0,Null,Null
203,203,1,100.0,0,Null,Null
204,204,0,100.0,0,Null,Null
205,205,1,100.0,1,kyk,300
206,206,1,100.0,0,Null,Null
207,207,1,100.0,0,Null,Null
208,208,1,100.0,0,Null,Null
209,209,1,100.0,1,kyk,300
210,210,1,100.0,1,kyk geri odemeli kredi,300
211,211,0,100.0,0,Null,Null
212,212,1,100.0,0,Null,Null
213,213,1,100.0,0,Null,Null
214,214,1,100.0,1,kyk,300
215,215,1,100.0,0,Null,Null
216,216,1,100.0,1,kyk,300
217,217,1,100.0,0,Null,Null
218,218,0,100.0,0,Null,Null
219,219,1,100.0,0,Null,Null
220,220,1,100.0,0,Null,Null
221,221,0,100.0,0,Null,Null
222,222,1,100.0,0,Null,Null
223,223,1,100.0,0,Null,Null
224,224,1,100.0,0,Null,Null
225,225,0,100.0,0,kyk ogrenim kredisi,Null
226,226,1,100.0,0,Null,Null
227,227,1,100.0,0,t.c. basbakanlik,900
228,228,0,100.0,0,Null,Null
229,229,1,100.0,1,basbakanlik bursu,300
230,230,1,100.0,0,Null,Null
231,231,1,100.0,0,Null,Null
232,232,1,100.0,0,Null,Null
233,233,0,100.0,0,Null,Null
234,234,1,100.0,0,Null,Null
235,235,1,100.0,0,Null,Null
236,236,1,100.0,0,Null,Null
237,237,1,100.0,0,Null,Null
238,238,0,100.0,1,basbakanlik,300
239,239,1,100.0,0,Null,Null
240,240,1,100.0,0,Null,Null
241,241,1,100.0,0,Null,Null
242,242,1,100.0,0,Null,Null
243,243,1,100.0,0,kredi ve yurtlar kurumundan geri odemeliogrenim kredisim,300
244,244,1,100.0,0,Null,Null
245,245,1,100.0,1,kyk,300
246,246,0,100.0,0,Null,Null
247,247,1,100.0,0,Null,Null
248,248,1,100.0,0,Null,Null
249,249,1,100.0,0,Null,Null
250,250,0,100.0,0,Null,Null
251,251,1,100.0,0,Null,Null
252,252,0,100.0,0,Null,Null
253,253,1,100.0,0,Null,Null
254,254,1,100.0,0,Null,Null
255,255,0,100.0,0,Null,Null
256,256,1,100.0,0,Null,Null
257,257,1,100.0,1,kyk,300
258,258,1,100.0,0,Null,Null
259,259,1,100.0,0,Null,Null
260,260,1,100.0,0,Null,Null
261,261,0,100.0,0,Null,Null
262,262,1,100.0,0,Null,Null
263,263,0,100.0,0,Null,Null
264,264,1,100.0,0,Null,Null
265,265,1,100.0,0,Null,Null
266,266,1,100.0,0,Null,Null
267,267,1,100.0,0,Null,Null
268,268,1,100.0,0,Null,Null
269,269,1,100.0,0,Null,Null
270,270,1,100.0,0,Null,Null
271,271,1,100.0,0,Null,Null
272,272,1,100.0,0,Null,Null
273,273,1,100.0,0,Null,Null
274,274,1,100.0,0,Null,Null
275,275,1,100.0,0,Null,Null
276,276,1,100.0,0,Null,Null
277,277,1,100.0,0,Null,Null
278,278,1,100.0,0,Null,Null
279,279,1,100.0,0,Null,Null
280,280,1,100.0,1,okuldan,250
281,281,1,100.0,0,Null,Null
282,282,1,100.0,0,Null,Null
283,283,1,100.0,0,Null,Null
284,284,1,100.0,0,Null,Null
285,285,1,100.0,1,basbakanlik kyk,900
286,286,1,100.0,0,Null,Null
287,287,1,100.0,0,Null,Null
288,288,1,100.0,1,mado,150
289,289,1,100.0,0,Null,Null
290,290,1,100.0,0,Null,Null
291,291,1,100.0,0,Null,Null
292,292,0,100.0,0,kyk-burs,Null
293,293,1,100.0,0,Null,Null
294,294,1,100.0,1,kendi universitemden derece bursu aliyorum,400
295,295,0,100.0,0,Null,Null
296,296,1,100.0,0,Null,Null
297,297,1,100.0,0,Null,Null
298,298,1,100.0,0,Null,Null
299,299,1,100.0,0,Null,Null
300,300,1,100.0,1,kyk ve bilkent,800
301,301,1,100.0,0,Null,Null
302,302,1,100.0,0,Null,Null
303,303,0,100.0,0,Null,Null
304,304,1,100.0,0,Null,Null
305,305,1,100.0,0,kyk ogrenim kredisi,Null
306,306,1,100.0,1,kyk,300
307,307,1,100.0,1,tc basbakanlik,300
308,308,1,100.0,0,Null,Null
309,309,1,100.0,0,Null,Null
310,310,1,100.0,0,Null,Null
311,311,1,100.0,0,Null,Null
312,312,1,100.0,0,Null,Null
313,313,1,100.0,0,Null,Null
314,314,1,100.0,0,Null,Null
315,315,1,100.0,0,Null,Null
316,316,1,100.0,0,Null,Null
317,317,1,100.0,0,Null,Null
318,318,1,100.0,0,Null,Null
319,319,1,100.0,0,Null,Null
320,320,1,100.0,0,Null,Null
321,321,1,100.0,0,Null,Null
322,322,1,100.0,0,Null,Null
323,323,1,100.0,0,Null,Null
324,324,1,100.0,0,Null,Null
325,325,1,100.0,0,Null,Null
326,326,1,100.0,0,Null,Null
327,327,1,100.0,0,Null,Null
328,328,1,100.0,0,Null,Null
329,329,1,100.0,0,Null,Null
330,330,1,100.0,0,Null,Null
331,331,1,100.0,0,Null,Null
332,332,1,100.0,1,kyk,300
333,333,1,100.0,0,Null,Null
334,334,1,100.0,0,Null,Null
335,335,1,100.0,1,uluslararasi nakliyeciler dernegi,280
336,336,1,100.0,0,Null,Null
337,337,1,100.0,1,kyk,300
338,338,1,100.0,0,Null,Null
339,339,1,100.0,1,ilk 10.000 girdigim icin okulumdan 300 tl nakit burs,300
340,340,1,100.0,1,sabanci universitesi,400
341,341,1,100.0,0,Null,Null
342,342,1,100.0,0,Null,Null
343,343,1,100.0,0,Null,Null
344,344,1,100.0,0,Null,Null
345,345,1,100.0,0,Null,Null
346,346,1,100.0,0,Null,Null
347,347,1,100.0,1,kordsa,200
348,348,1,100.0,0,Null,Null
349,349,0,100.0,0,Null,Null
350,350,1,100.0,0,Null,Null
351,351,0,100.0,0,Null,Null
352,352,1,100.0,0,Null,Null
353,353,1,100.0,1,koc universitesi,430
354,354,0,100.0,0,Null,Null
355,355,1,100.0,0,Null,Null
356,356,1,100.0,0,Null,Null
357,357,0,100.0,0,Null,Null
358,358,1,100.0,0,Null,Null
359,359,0,100.0,0,Null,Null
