index1,index2,Burslu ise Burs Yuzdesi,Burs Aliyor mu?,Baska Bir Kurumdan Burs Aliyor mu?,Burs Aldigi Baska Kurum,Baska Kurumdan Aldigi Burs Miktari
1,1,100.0,1,0,Null,Null
2,2,100.0,0,0,Null,Null
3,3,100.0,0,0,Null,Null
4,4,100.0,1,0,Null,Null
5,5,100.0,1,0,Null,Null
6,6,100.0,1,0,Null,Null
7,7,100.0,0,0,Null,Null
8,8,100.0,1,0,Null,Null
9,9,100.0,1,0,Null,Null
10,10,100.0,1,0,Null,Null
11,11,100.0,1,0,Null,Null
12,12,100.0,1,0,Null,Null
13,13,100.0,1,0,Null,Null
14,14,100.0,1,0,Null,Null
15,15,100.0,1,1,kyk,300
16,16,100.0,1,0,Null,Null
17,17,100.0,1,0,Null,Null
18,18,100.0,1,0,Null,Null
19,19,100.0,1,0,Null,Null
20,20,100.0,1,0,Null,Null
21,21,100.0,0,0,Null,Null
22,22,100.0,1,0,Null,Null
23,23,100.0,0,0,Null,Null
24,24,100.0,1,0,Null,Null
25,25,100.0,1,0,Null,Null
26,26,100.0,1,1,kyk,300
27,27,100.0,1,0,Null,Null
28,28,100.0,1,0,Null,Null
29,29,100.0,1,0,kyk-burs,Null
30,30,100.0,1,0,Null,Null
31,31,100.0,0,0,Null,Null
32,32,100.0,1,0,Null,Null
33,33,100.0,1,1,konlas,150
34,34,100.0,1,0,Null,Null
35,35,100.0,1,1,kyk,300
36,36,100.0,1,1,koc universitesi,430
37,37,100.0,1,1,tev,400
38,38,100.0,1,1,kyk,300
39,39,100.0,1,0,Null,Null
40,40,100.0,1,0,Null,Null
41,41,100.0,1,1,golden coast hotel,250
42,42,100.0,1,0,Null,Null
43,43,100.0,1,0,Null,Null
44,44,100.0,0,0,Null,Null
45,45,100.0,1,0,Null,Null
46,46,100.0,1,0,Null,Null
47,47,100.0,1,0,Null,Null
48,48,100.0,1,0,Null,Null
49,49,100.0,0,0,Null,Null
50,50,100.0,0,0,Null,Null
51,51,100.0,1,0,Null,Null
52,52,100.0,1,0,Null,Null
53,53,100.0,1,1,kyk,300
54,54,100.0,1,0,Null,Null
55,55,100.0,1,0,Null,Null
56,56,100.0,1,0,Null,Null
57,57,100.0,1,0,Null,Null
58,58,100.0,1,0,Null,Null
59,59,100.0,1,0,Null,Null
60,60,100.0,0,0,Null,Null
61,61,100.0,1,0,Null,Null
62,62,100.0,0,0,Null,Null
63,63,100.0,1,0,Null,Null
64,64,100.0,1,0,Null,Null
65,65,100.0,0,0,Null,Null
66,66,100.0,1,0,Null,Null
67,67,100.0,0,0,Null,Null
68,68,100.0,1,0,Null,Null
69,69,100.0,1,0,Null,Null
70,70,100.0,1,1,kyk,300
71,71,100.0,1,1,"kredi ve yurtlar kurumu burs, ozel basari bursu, izmir ekonomi universitesi tarafindan verilen burs",Null
72,72,100.0,1,0,Null,Null
73,73,100.0,1,0,Null,Null
74,74,100.0,1,0,Null,Null
75,75,100.0,1,0,Null,Null
76,76,100.0,1,1,tobb ekonomi ve teknoloji universitesi,850
77,77,100.0,1,0,Null,Null
78,78,100.0,1,0,Null,Null
79,79,100.0,1,1,bahcesehir universitesi,500
80,80,100.0,1,0,Null,Null
81,81,100.0,1,0,Null,Null
82,82,100.0,1,0,Null,Null
83,83,100.0,1,0,Null,Null
84,84,100.0,1,1,krefi yurtlar kurumundan ogrenim kredisi,300
85,85,100.0,0,1,devletten kredi aliyorum,300
86,86,100.0,1,1,bursa ticaret ve sanayi odasi,280
87,87,100.0,1,0,Null,Null
88,88,100.0,1,0,Null,Null
89,89,100.0,1,1,izmir ekonomi universitesi oss basari bursu,430
90,90,100.0,1,0,Null,Null
91,91,100.0,1,0,Null,Null
92,92,100.0,1,0,Null,Null
93,93,100.0,1,0,Null,Null
94,94,100.0,1,1,kyk,300
95,95,100.0,1,1,kyk,300
96,96,100.0,1,0,Null,Null
97,97,100.0,1,0,Null,Null
98,98,100.0,1,0,Null,Null
99,99,100.0,1,0,Null,Null
100,100,100.0,1,0,Null,Null
101,101,100.0,1,0,Null,Null
102,102,100.0,1,0,Null,Null
103,103,100.0,1,0,Null,Null
104,104,100.0,1,0,Null,Null
105,105,100.0,1,0,Null,Null
106,106,100.0,1,0,Null,Null
107,107,100.0,0,0,Null,Null
108,108,100.0,1,0,Null,Null
109,109,100.0,1,0,Null,Null
110,110,100.0,1,0,Null,Null
111,111,100.0,1,0,Null,Null
112,112,100.0,0,0,Null,Null
113,113,100.0,1,1,sabanci universitesi osys giris derecesi bursu,500
114,114,100.0,1,0,Null,Null
115,115,100.0,1,0,Null,Null
116,116,100.0,1,0,Null,Null
117,117,100.0,1,0,Null,Null
118,118,100.0,1,1,tobb ekonomi ve teknoloji universitesi,1000
119,119,100.0,1,0,Null,Null
120,120,100.0,1,1,k.y.k. ustun basari bursu universite sinavlarinda ilk 100 ogrenci arasina girenlere verilen,900
121,121,100.0,1,1,kredi yurtlar kurumu kykdan kredi aliyorum.,300
122,122,100.0,1,0,Null,Null
123,123,100.0,0,0,Null,Null
124,124,100.0,1,0,Null,Null
125,125,100.0,1,1,kyk,300
126,126,100.0,1,0,Null,Null
127,127,100.0,1,0,Null,Null
128,128,100.0,1,0,Null,Null
129,129,100.0,1,0,Null,Null
130,130,100.0,1,0,Null,Null
131,131,100.0,1,0,Null,Null
132,132,100.0,1,0,Null,Null
133,133,100.0,1,0,Null,Null
134,134,100.0,0,0,Null,Null
135,135,100.0,1,1,kyk basbakanlik basari bursu,365
136,136,100.0,1,0,Null,Null
137,137,100.0,0,0,Null,Null
138,138,100.0,1,0,Null,Null
139,139,100.0,1,0,Null,Null
140,140,100.0,0,0,Null,Null
141,141,100.0,1,0,Null,Null
142,142,100.0,1,0,Null,Null
143,143,100.0,1,0,Null,Null
144,144,100.0,0,0,Null,Null
145,145,100.0,1,1,"bahcesehir universitesi basari bursu, kyk kredi",800
146,146,100.0,0,0,Null,Null
147,147,100.0,1,0,Null,Null
148,148,100.0,1,1,okulumdan,850
149,149,100.0,1,0,Null,Null
150,150,100.0,1,0,kyk,Null
151,151,100.0,1,0,Null,Null
152,152,100.0,0,0,Null,Null
153,153,100.0,1,0,Null,Null
154,154,100.0,1,0,Null,Null
155,155,100.0,1,0,Null,Null
156,156,100.0,0,0,Null,Null
157,157,100.0,1,0,Null,Null
158,158,100.0,0,0,Null,Null
159,159,100.0,1,0,Null,Null
160,160,100.0,1,0,Null,Null
161,161,100.0,1,1,gerkav,150
162,162,100.0,0,0,Null,Null
163,163,100.0,0,0,Null,Null
164,164,100.0,0,0,Null,Null
165,165,100.0,1,0,Null,Null
166,166,100.0,1,0,Null,Null
167,167,100.0,1,1,nuh cimento san. a.s.,125
168,168,100.0,1,0,Null,Null
169,169,100.0,1,0,Null,Null
170,170,100.0,0,0,Null,Null
171,171,100.0,1,0,Null,Null
172,172,100.0,1,0,Null,Null
173,173,100.0,1,0,Null,Null
174,174,100.0,1,0,Null,Null
175,175,100.0,1,0,Null,Null
176,176,100.0,1,1,tobb etu,850
177,177,100.0,1,0,Null,Null
178,178,100.0,1,0,Null,Null
179,179,100.0,1,0,Null,Null
180,180,100.0,1,1,ogrenim kredisi,300
181,181,100.0,0,0,Null,Null
182,182,100.0,1,0,Null,Null
183,183,100.0,1,0,Null,Null
184,184,100.0,1,1,kyk,300
185,185,100.0,1,0,Null,Null
186,186,100.0,1,1,ttk,180
187,187,100.0,0,0,Null,Null
188,188,100.0,1,0,Null,Null
189,189,100.0,1,1,canakkale ticaret ve sanayi odasi,260
190,190,100.0,1,1,kyk,300
191,191,100.0,0,0,Null,Null
192,192,100.0,1,1,bilkent universitesi kapsamli burs,425
193,193,100.0,1,0,Null,Null
194,194,100.0,1,1,polis esleri yardimlasma ve dayanisma dernegi,100
195,195,100.0,1,0,Null,Null
196,196,100.0,0,0,Null,Null
197,197,100.0,1,1,ozyegin universitesi,300
198,198,100.0,1,1,t.c. kredi ve yurtlar kurumu,300
199,199,100.0,0,0,Null,Null
200,200,100.0,1,0,Null,Null
201,201,100.0,1,0,Null,Null
202,202,100.0,1,0,Null,Null
203,203,100.0,1,0,Null,Null
204,204,100.0,0,0,Null,Null
205,205,100.0,1,1,kyk,300
206,206,100.0,1,0,Null,Null
207,207,100.0,1,0,Null,Null
208,208,100.0,1,0,Null,Null
209,209,100.0,1,1,kyk,300
210,210,100.0,1,1,kyk geri odemeli kredi,300
211,211,100.0,0,0,Null,Null
212,212,100.0,1,0,Null,Null
213,213,100.0,1,0,Null,Null
214,214,100.0,1,1,kyk,300
215,215,100.0,1,0,Null,Null
216,216,100.0,1,1,kyk,300
217,217,100.0,1,0,Null,Null
218,218,100.0,0,0,Null,Null
219,219,100.0,1,0,Null,Null
220,220,100.0,1,0,Null,Null
221,221,100.0,0,0,Null,Null
222,222,100.0,1,0,Null,Null
223,223,100.0,1,0,Null,Null
224,224,100.0,1,0,Null,Null
225,225,100.0,0,0,kyk ogrenim kredisi,Null
226,226,100.0,1,0,Null,Null
227,227,100.0,1,0,t.c. basbakanlik,900
228,228,100.0,0,0,Null,Null
229,229,100.0,1,1,basbakanlik bursu,300
230,230,100.0,1,0,Null,Null
231,231,100.0,1,0,Null,Null
232,232,100.0,1,0,Null,Null
233,233,100.0,0,0,Null,Null
234,234,100.0,1,0,Null,Null
235,235,100.0,1,0,Null,Null
236,236,100.0,1,0,Null,Null
237,237,100.0,1,0,Null,Null
238,238,100.0,0,1,basbakanlik,300
239,239,100.0,1,0,Null,Null
240,240,100.0,1,0,Null,Null
241,241,100.0,1,0,Null,Null
242,242,100.0,1,0,Null,Null
243,243,100.0,1,0,kredi ve yurtlar kurumundan geri odemeliogrenim kredisim,300
244,244,100.0,1,0,Null,Null
245,245,100.0,1,1,kyk,300
246,246,100.0,0,0,Null,Null
247,247,100.0,1,0,Null,Null
248,248,100.0,1,0,Null,Null
249,249,100.0,1,0,Null,Null
250,250,100.0,0,0,Null,Null
251,251,100.0,1,0,Null,Null
252,252,100.0,0,0,Null,Null
253,253,100.0,1,0,Null,Null
254,254,100.0,1,0,Null,Null
255,255,100.0,0,0,Null,Null
256,256,100.0,1,0,Null,Null
257,257,100.0,1,1,kyk,300
258,258,100.0,1,0,Null,Null
259,259,100.0,1,0,Null,Null
260,260,100.0,1,0,Null,Null
261,261,100.0,0,0,Null,Null
262,262,100.0,1,0,Null,Null
263,263,100.0,0,0,Null,Null
264,264,100.0,1,0,Null,Null
265,265,100.0,1,0,Null,Null
266,266,100.0,1,0,Null,Null
267,267,100.0,1,0,Null,Null
268,268,100.0,1,0,Null,Null
269,269,100.0,1,0,Null,Null
270,270,100.0,1,0,Null,Null
271,271,100.0,1,0,Null,Null
272,272,100.0,1,0,Null,Null
273,273,100.0,1,0,Null,Null
274,274,100.0,1,0,Null,Null
275,275,100.0,1,0,Null,Null
276,276,100.0,1,0,Null,Null
277,277,100.0,1,0,Null,Null
278,278,100.0,1,0,Null,Null
279,279,100.0,1,0,Null,Null
280,280,100.0,1,1,okuldan,250
281,281,100.0,1,0,Null,Null
282,282,100.0,1,0,Null,Null
283,283,100.0,1,0,Null,Null
284,284,100.0,1,0,Null,Null
285,285,100.0,1,1,basbakanlik kyk,900
286,286,100.0,1,0,Null,Null
287,287,100.0,1,0,Null,Null
288,288,100.0,1,1,mado,150
289,289,100.0,1,0,Null,Null
290,290,100.0,1,0,Null,Null
291,291,100.0,1,0,Null,Null
292,292,100.0,0,0,kyk-burs,Null
293,293,100.0,1,0,Null,Null
294,294,100.0,1,1,kendi universitemden derece bursu aliyorum,400
295,295,100.0,0,0,Null,Null
296,296,100.0,1,0,Null,Null
297,297,100.0,1,0,Null,Null
298,298,100.0,1,0,Null,Null
299,299,100.0,1,0,Null,Null
300,300,100.0,1,1,kyk ve bilkent,800
301,301,100.0,1,0,Null,Null
302,302,100.0,1,0,Null,Null
303,303,100.0,0,0,Null,Null
304,304,100.0,1,0,Null,Null
305,305,100.0,1,0,kyk ogrenim kredisi,Null
306,306,100.0,1,1,kyk,300
307,307,100.0,1,1,tc basbakanlik,300
308,308,100.0,1,0,Null,Null
309,309,100.0,1,0,Null,Null
310,310,100.0,1,0,Null,Null
311,311,100.0,1,0,Null,Null
312,312,100.0,1,0,Null,Null
313,313,100.0,1,0,Null,Null
314,314,100.0,1,0,Null,Null
315,315,100.0,1,0,Null,Null
316,316,100.0,1,0,Null,Null
317,317,100.0,1,0,Null,Null
318,318,100.0,1,0,Null,Null
319,319,100.0,1,0,Null,Null
320,320,100.0,1,0,Null,Null
321,321,100.0,1,0,Null,Null
322,322,100.0,1,0,Null,Null
323,323,100.0,1,0,Null,Null
324,324,100.0,1,0,Null,Null
325,325,100.0,1,0,Null,Null
326,326,100.0,1,0,Null,Null
327,327,100.0,1,0,Null,Null
328,328,100.0,1,0,Null,Null
329,329,100.0,1,0,Null,Null
330,330,100.0,1,0,Null,Null
331,331,100.0,1,0,Null,Null
332,332,100.0,1,1,kyk,300
333,333,100.0,1,0,Null,Null
334,334,100.0,1,0,Null,Null
335,335,100.0,1,1,uluslararasi nakliyeciler dernegi,280
336,336,100.0,1,0,Null,Null
337,337,100.0,1,1,kyk,300
338,338,100.0,1,0,Null,Null
339,339,100.0,1,1,ilk 10.000 girdigim icin okulumdan 300 tl nakit burs,300
340,340,100.0,1,1,sabanci universitesi,400
341,341,100.0,1,0,Null,Null
342,342,100.0,1,0,Null,Null
343,343,100.0,1,0,Null,Null
