index2,Basvuru Yili,Degerlendirme Puani,Cinsiyet,Dogum Tarihi,Dogum Yeri,Ikametgah Sehri,Kardes Sayisi
1,2014,52.0,erkek,1994/04/06,ankara,ankara,1
2,2014,30.0,erkek,1993/06/11,Null,istanbul,1
3,2014,18.0,erkek,1986/01/15,samsun,istanbul,6
4,2014,40.0,erkek,1991/06/04,diyarbakir,istanbul,10
5,2014,24.0,erkek,1992/02/11,ankara,ankara,1
6,2014,37.0,erkek,1992/04/14,istanbul,istanbul,3
7,2014,18.0,erkek,1994/10/13,istanbul,istanbul,Null
8,2014,24.0,erkek,1993/03/18,istanbul,istanbul,1
9,2014,40.0,erkek,1991/12/29,erzincan,istanbul,4
10,2014,31.0,erkek,1991/04/25,sivas,istanbul,1
11,2014,28.0,erkek,1995/07/20,kayseri,kayseri,2
12,2014,26.0,erkek,1993/09/27,usak,istanbul,2
13,2014,58.0,erkek,1993/03/23,rize,ankara,1
14,2014,28.0,erkek,1992/08/09,Null,ankara,4
15,2014,34.0,erkek,1992/03/05,adiyaman,istanbul,10
16,2014,33.0,erkek,1992/04/16,erzurum,izmir,1
17,2014,48.0,erkek,1992/07/15,kahramanmaras,kahramanmaras,3
18,2014,33.0,erkek,1995/08/05,konya,istanbul,1
19,2014,10.0,erkek,1995/07/27,izmir,izmir,1
20,2014,24.0,erkek,1995/07/24,trabzon,trabzon,1
21,2014,8.0,erkek,1994/07/05,kars,kars,5
22,2014,54.0,erkek,1995/08/15,kirsehir,kirsehir,2
23,2014,14.0,erkek,1989/01/27,Null,kocaeli,4
24,2014,24.0,erkek,1992/10/05,adana,istanbul,3
25,2014,44.0,kadin,1994/04/09,izmir,izmir,1
26,2014,60.0,kadin,1993/06/09,istanbul,istanbul,Null
27,2014,42.0,erkek,1992/05/31,ankara,istanbul,0
28,2014,26.0,erkek,1995/02/08,adana,izmir,1
29,2014,22.0,erkek,1994/01/23,adana,istanbul,1
30,2014,14.0,erkek,1994/07/23,istanbul,istanbul,2
31,2014,28.0,erkek,1995/04/23,sakarya,ordu,1
32,2014,16.0,erkek,1992/04/24,istanbul,istanbul,3
33,2014,29.0,erkek,1993/09/24,adana,istanbul,4
34,2014,8.0,erkek,1995/05/26,ankara,izmir,0
35,2014,28.0,kadin,1994/05/24,ankara,istanbul,2
36,2014,46.0,erkek,1992/02/13,mugla,izmir,0
37,2014,28.0,kadin,1992/07/02,kars,istanbul,1
38,2014,22.0,kadin,1990/12/29,hatay,osmaniye,1
39,2014,26.0,kadin,1995/01/12,Null,Null,2
40,2014,41.0,erkek,1992/05/22,izmir,izmir,1
41,2014,50.0,kadin,1993/08/04,Null,istanbul,0
42,2014,44.0,kadin,1990/01/10,ankara,istanbul,1
43,2014,53.0,kadin,1995/06/12,mersin,istanbul,0
44,2014,34.0,kadin,1991/05/28,izmir,istanbul,1
45,2014,42.0,kadin,1995/06/12,erzurum,izmir,2
46,2014,36.0,kadin,1993/05/11,malatya,istanbul,7
47,2014,24.0,erkek,1994/09/03,Null,istanbul,3
48,2014,40.0,kadin,1993/11/14,manisa,antalya,1
49,2014,44.0,kadin,1992/09/16,istanbul,istanbul,0
50,2014,18.0,kadin,1993/09/12,Null,ankara,1
51,2014,44.0,kadin,1993/01/25,sanliurfa,antalya,1
52,2014,44.0,kadin,1992/12/21,corum,istanbul,1
53,2014,28.0,kadin,1993/02/17,Null,ankara,Null
54,2014,52.0,kadin,1993/08/29,canakkale,istanbul,1
55,2014,34.0,kadin,1992/02/26,Null,istanbul,Null
56,2014,32.0,kadin,1994/03/12,ankara,istanbul,1
57,2014,32.0,kadin,1993/01/05,istanbul,istanbul,1
58,2014,52.0,kadin,1994/06/30,antalya,ankara,3
59,2014,38.0,kadin,1991/02/27,Null,istanbul,Null
60,2014,18.0,kadin,1993/01/11,ankara,istanbul,Null
61,2014,34.0,kadin,1991/03/17,Null,istanbul,Null
62,2014,44.0,erkek,1992/09/01,antalya,istanbul,2
63,2014,14.0,erkek,1994/07/13,konya,konya,3
64,2014,32.0,erkek,1991/02/01,cankiri,istanbul,3
65,2014,42.0,erkek,1990/08/01,istanbul,istanbul,0
66,2014,48.0,erkek,1992/05/30,malatya,istanbul,2
67,2014,29.0,erkek,1994/09/22,ankara,ankara,1
68,2014,30.0,erkek,1994/01/01,eskisehir,Null,0
69,2014,20.0,erkek,1995/10/07,istanbul,istanbul,Null
70,2014,12.0,erkek,1992/03/12,Null,Null,1
71,2014,46.0,kadin,1991/02/05,izmir,izmir,3
72,2014,48.0,kadin,1992/08/04,Null,Null,3
73,2014,44.0,kadin,1992/10/22,izmir,Null,1
74,2014,50.0,kadin,1993/07/26,adana,istanbul,2
75,2014,51.0,kadin,1994/05/25,istanbul,Null,1
76,2014,44.0,kadin,1993/08/26,bartin,bartin,1
77,2014,42.0,erkek,1994/01/26,istanbul,istanbul,1
78,2014,22.0,kadin,1995/02/03,istanbul,istanbul,1
79,2014,52.0,kadin,1994/06/29,karaman,istanbul,1
80,2014,29.0,erkek,1990/10/21,istanbul,Null,2
81,2014,32.0,erkek,1992/04/24,izmir,izmir,1
82,2014,26.0,kadin,1989/01/02,Null,Null,1
83,2014,30.0,kadin,1995/06/12,van,istanbul,2
84,2014,65.0,kadin,1992/01/08,samsun,istanbul,1
85,2014,44.0,kadin,1994/04/12,bingol,bingol,4
86,2014,56.0,kadin,1993/01/01,Null,Null,1
87,2014,33.0,kadin,1994/01/24,mersin,mersin,Null
88,2014,61.0,kadin,1994/10/25,van,istanbul,1
89,2014,62.0,kadin,1993/03/20,izmir,izmir,1
90,2014,49.0,erkek,1993/08/30,elazig,antalya,3
91,2014,48.0,kadin,1993/05/18,istanbul,istanbul,4
92,2014,49.0,erkek,1992/09/05,giresun,istanbul,2
93,2014,18.0,erkek,1995/09/22,ankara,istanbul,1
94,2014,30.0,erkek,1992/08/24,canakkale,istanbul,0
95,2014,24.0,kadin,1992/06/30,ordu,Null,2
96,2014,48.0,kadin,1992/10/11,corum,istanbul,2
97,2014,70.0,erkek,1991/09/18,balikesir,ankara,Null
98,2014,24.0,erkek,1989/04/21,istanbul,istanbul,3
99,2014,16.0,erkek,1994/08/16,kayseri,kayseri,1
100,2014,42.0,erkek,1990/03/14,bursa,bursa,2
101,2014,18.0,erkek,1995/08/28,Null,istanbul,3
102,2014,18.0,erkek,1994/05/24,cankiri,istanbul,3
103,2014,22.0,erkek,1994/01/12,manisa,manisa,1
104,2014,22.0,erkek,1994/01/12,manisa,Null,1
105,2014,22.0,kadin,1994/02/03,Null,istanbul,1
106,2014,38.0,kadin,1993/11/12,sivas,istanbul,2
107,2014,52.0,kadin,1992/03/17,ankara,Null,4
108,2014,56.0,kadin,1990/07/12,kutahya,istanbul,Null
109,2014,43.0,kadin,1995/08/22,bursa,bursa,Null
110,2014,23.0,kadin,1995/11/28,erzurum,izmir,2
111,2014,38.0,kadin,1992/06/14,Null,istanbul,3
112,2014,38.0,kadin,1993/10/20,samsun,samsun,1
113,2014,44.0,kadin,1995/05/16,izmir,Null,3
114,2014,28.0,kadin,1995/11/18,izmir,Null,Null
115,2014,61.0,kadin,1994/02/24,ankara,istanbul,1
116,2014,34.0,kadin,1995/11/18,samsun,istanbul,1
117,2014,33.0,kadin,1994/02/04,karabuk,Null,2
118,2014,46.0,kadin,1993/02/18,bursa,istanbul,1
119,2014,31.0,kadin,1992/04/10,Null,istanbul,1
120,2014,64.0,kadin,1992/03/17,konya,Null,1
121,2014,52.0,kadin,1991/08/16,bilecik,istanbul,3
122,2014,52.0,kadin,1994/06/11,konya,istanbul,3
123,2014,28.0,kadin,1995/12/25,istanbul,istanbul,Null
124,2014,50.0,kadin,1993/10/21,istanbul,antalya,2
125,2014,38.0,kadin,1994/05/05,istanbul,istanbul,0
126,2014,34.0,erkek,1987/04/11,istanbul,istanbul,2
127,2014,20.0,erkek,1991/01/05,siirt,istanbul,Null
128,2014,40.0,erkek,1992/01/01,izmir,istanbul,1
129,2014,24.0,erkek,1993/10/15,izmir,izmir,2
130,2014,38.0,kadin,1992/04/11,ankara,ankara,0
131,2014,32.0,kadin,1995/08/11,ankara,istanbul,3
132,2014,26.0,erkek,1993/08/11,kars,istanbul,3
133,2014,8.0,erkek,1995/08/06,kutahya,istanbul,3
134,2014,61.0,kadin,1994/01/24,ankara,istanbul,Null
135,2014,28.0,erkek,1992/06/05,diyarbakir,istanbul,5
136,2014,24.0,kadin,1993/05/30,diyarbakir,diyarbakir,4
137,2014,59.0,kadin,1991/01/08,ankara,ankara,1
138,2014,46.0,kadin,1993/03/24,izmir,Null,0
139,2014,43.0,kadin,1993/04/02,ankara,Null,Null
140,2014,29.0,kadin,1993/09/28,Null,istanbul,3
141,2014,24.0,kadin,1993/02/05,balikesir,izmir,1
142,2014,34.0,erkek,1992/01/24,istanbul,istanbul,2
143,2014,51.0,erkek,1992/04/20,istanbul,istanbul,2
144,2014,22.0,kadin,1993/01/01,adiyaman,Null,2
145,2014,26.0,erkek,1993/06/15,kirklareli,kirklareli,Null
