index,Cinsiyet,Dogum Tarihi,Dogum Yeri,Ikametgah Sehri,index1,index2
1,erkek,1994/04/06,ankara,ankara,1,1
2,erkek,1993/06/11,Null,istanbul,2,2
3,erkek,1986/01/15,samsun,istanbul,3,3
4,erkek,1991/06/04,diyarbakir,istanbul,4,4
5,erkek,1992/02/11,ankara,ankara,5,5
6,erkek,1992/04/14,istanbul,istanbul,6,6
7,erkek,1994/10/13,istanbul,istanbul,7,7
8,erkek,1993/03/18,istanbul,istanbul,8,8
9,erkek,1991/12/29,erzincan,istanbul,9,9
10,erkek,1991/04/25,sivas,istanbul,10,10
11,erkek,1995/07/20,kayseri,kayseri,11,11
12,erkek,1993/09/27,usak,istanbul,12,12
13,erkek,1993/03/23,rize,ankara,13,13
14,erkek,1992/08/09,Null,ankara,14,14
15,erkek,1992/03/05,adiyaman,istanbul,15,15
16,erkek,1992/04/16,erzurum,izmir,16,16
17,erkek,1992/07/15,kahramanmaras,kahramanmaras,17,17
18,erkek,1995/08/05,konya,istanbul,18,18
19,erkek,1995/07/27,izmir,izmir,19,19
20,erkek,1995/07/24,trabzon,trabzon,20,20
21,erkek,1994/07/05,kars,kars,21,21
22,erkek,1995/08/15,kirsehir,kirsehir,22,22
23,erkek,1989/01/27,Null,kocaeli,23,23
24,erkek,1992/10/05,adana,istanbul,24,24
25,kadin,1994/04/09,izmir,izmir,25,25
26,kadin,1993/06/09,istanbul,istanbul,26,26
27,erkek,1992/05/31,ankara,istanbul,27,27
28,erkek,1995/02/08,adana,izmir,28,28
29,erkek,1994/01/23,adana,istanbul,29,29
30,erkek,1994/07/23,istanbul,istanbul,30,30
31,erkek,1995/04/23,sakarya,ordu,31,31
32,erkek,1992/04/24,istanbul,istanbul,32,32
33,erkek,1993/09/24,adana,istanbul,33,33
34,erkek,1995/05/26,ankara,izmir,34,34
35,kadin,1994/05/24,ankara,istanbul,35,35
36,erkek,1992/02/13,mugla,izmir,36,36
37,kadin,1992/07/02,kars,istanbul,37,37
38,kadin,1990/12/29,hatay,osmaniye,38,38
39,kadin,1995/01/12,Null,Null,39,39
40,erkek,1992/05/22,izmir,izmir,40,40
41,kadin,1993/08/04,Null,istanbul,41,41
42,kadin,1990/01/10,ankara,istanbul,42,42
43,kadin,1995/06/12,mersin,istanbul,43,43
44,kadin,1991/05/28,izmir,istanbul,44,44
45,kadin,1995/06/12,erzurum,izmir,45,45
46,kadin,1993/05/11,malatya,istanbul,46,46
47,erkek,1994/09/03,Null,istanbul,47,47
48,kadin,1993/11/14,manisa,antalya,48,48
49,kadin,1992/09/16,istanbul,istanbul,49,49
50,kadin,1993/09/12,Null,ankara,50,50
51,kadin,1993/01/25,sanliurfa,antalya,51,51
52,kadin,1992/12/21,corum,istanbul,52,52
53,kadin,1993/02/17,Null,ankara,53,53
54,kadin,1993/08/29,canakkale,istanbul,54,54
55,kadin,1992/02/26,Null,istanbul,55,55
56,kadin,1994/03/12,ankara,istanbul,56,56
57,kadin,1993/01/05,istanbul,istanbul,57,57
58,kadin,1994/06/30,antalya,ankara,58,58
59,kadin,1991/02/27,Null,istanbul,59,59
60,kadin,1993/01/11,ankara,istanbul,60,60
61,kadin,1991/03/17,Null,istanbul,61,61
62,erkek,1992/09/01,antalya,istanbul,62,62
63,erkek,1994/07/13,konya,konya,63,63
64,erkek,1991/02/01,cankiri,istanbul,64,64
65,erkek,1990/08/01,istanbul,istanbul,65,65
66,erkek,1992/05/30,malatya,istanbul,66,66
67,erkek,1994/09/22,ankara,ankara,67,67
68,erkek,1994/01/01,eskisehir,Null,68,68
69,erkek,1995/10/07,istanbul,istanbul,69,69
70,erkek,1992/03/12,Null,Null,70,70
71,kadin,1991/02/05,izmir,izmir,71,71
72,kadin,1992/08/04,Null,Null,72,72
73,kadin,1992/10/22,izmir,Null,73,73
74,kadin,1993/07/26,adana,istanbul,74,74
75,kadin,1994/05/25,istanbul,Null,75,75
76,kadin,1993/08/26,bartin,bartin,76,76
77,erkek,1994/01/26,istanbul,istanbul,77,77
78,kadin,1995/02/03,istanbul,istanbul,78,78
79,kadin,1994/06/29,karaman,istanbul,79,79
80,erkek,1990/10/21,istanbul,Null,80,80
81,erkek,1992/04/24,izmir,izmir,81,81
82,kadin,1989/01/02,Null,Null,82,82
83,kadin,1995/06/12,van,istanbul,83,83
84,kadin,1992/01/08,samsun,istanbul,84,84
