index,index1,index2,Bölüm,Universite Kacinci Sinif,Universite Not Ortalamasi,Daha Once Baska Bir Universiteden Mezun Olmus,"Daha Önceden Mezun Olunduysa, Mezun Olunan Üniversite"
1,1,1,bilgisayar muhendisligi,3,3.0-3.5,0,Null
2,2,2,elektrik elektronik muhendisligi,3,2.5-3.0,0,Null
3,3,3,finans yonetimi ve pazarlama,1,Null,0,Null
4,4,4,bilgisayar muhendisligi,3,2.5-3.0,0,Null
5,5,5,siyaset bilimi ve uluslararasi iliskiler,Null,2.5-3.0,0,Null
6,6,6,bankacilik ve finans,3,3.0-3.5,0,Null
7,7,7,hukuk,2,2.5-3.0,0,Null
8,8,8,bilgisayar muhendisligi,1,2.5-3.0,0,Null
9,9,9,sinema-tv,2,0.0-2.5,0,Null
10,10,10,bilgisayar muhendisligi,4,3.0-3.5,0,Null
11,11,11,siyaset bilimi ve kamu yonetimi,1,Null,0,Null
12,12,12,computer engineering,3,2.5-3.0,0,Null
13,13,13,endustri muhendisligi,3,3.0-4.0,0,Null
14,14,14,mekatronik,2,3.0-4.0,1,Null
15,15,15,truzim ve otel isletmeciligi,2,2.5-3.0,0,Null
16,16,16,bilgisayar muhendisligi,3,3.0-3.5,0,Null
17,17,17,hukuk,3,3.0-3.5,0,Null
18,18,18,bilgisayar muhendisligi,1,Null,0,Null
19,19,19,bilgisayar muhendisligi,1,Null,0,Null
20,20,20,bilgisayar muhendisligi,1,Null,0,Null
21,21,21,psikoloji,3,Null,0,Null
22,22,22,iktisadi ve idari bilimler programlari,hazirlik,Null,0,Null
23,23,23,meslek yuksek okulu isletme,Null,2.5-3.0,0,Null
24,24,24,biyomedikal muhendisligi,3,3.0-4.0,0,Null
25,25,25,endustri sistemleri muhendisligi,1,3.0-4.0,0,Null
26,26,26,genetik ve biyomuhendislik,4,3.0-3.5,0,Null
27,27,27,bilgisayar muhendisligi,4,3.0-3.5,0,Null
28,28,28,ic mimarlik ve cevre tasarimi,2,2.5-3.0,0,Null
29,29,29,bilgisayar teknolojisi ve bilisim sistemleri,1,0.0-2.5,0,Null
30,30,30,bankacilik ve sigortacilik,2,2.5-3.0,0,Null
31,31,31,yonetim bilisim sistemleri,2,Null,0,Null
32,32,32,maliye,4,3.0-3.5,0,Null
33,33,33,enerji sistemleri muhendisligi,3,2.5-3.0,0,Null
34,34,34,isletme,1,Null,0,Null
35,35,35,sahne ve gosteri sanatlari yonetimi,1,Null,0,Null
36,36,36,bilgisayar muhendisligi,3,3.0-3.5,0,Null
37,37,37,seyahat isletmeciligi,4,3.0-4.0,1,Null
38,38,38,uluslararasi iliskiler,3,0.0-2.5,0,Null
39,39,39,isletme enformatigi,2,3.0-3.5,0,Null
40,40,40,yazilim muhendisligi,3,3.0-3.5,0,Null
41,41,41,endustri muhendisligi,3,2.5-3.0,0,Null
42,42,42,isletme,mezun,2.5-3.0,0,Null
43,43,43,ekonomi,2,3.0-4.0,0,Null
44,44,44,hukuk,4,0.0-2.5,0,Null
45,45,45,matematik,hazirlik,Null,0,Null
46,46,46,sivil hava ulastirma isletmeciligi,2,2.5-3.0,0,Null
47,47,47,bilgisayar teknolojileri,2,2.5-3.0,0,Null
48,48,48,uluslararasi ticaret,4,3.0-3.5,0,Null
49,49,49,hukuk,4,2.5-3.0,0,Null
50,50,50,sinif ogretmenligi,3,Null,0,Null
51,51,51,uretim sistemleri muhendisligi,3,Null,0,Null
52,52,52,psikoloji,3,2.5-3.0,0,Null
53,53,53,bankacilik ve finans,1,Null,0,Null
54,54,54,bilgisayar muhendisligi,3,3.0-3.5,0,Null
55,55,55,felsefe,2,0.0-2.5,0,Null
56,56,56,uluslarararasi ticaret,2,3.0-3.5,0,Null
57,57,57,mimarlik,3,3.0-3.5,0,Null
58,58,58,endustri muhendisligi,2,3.0-3.5,0,Null
59,59,59,spor yonetimi,1,Null,1,Null
60,60,60,uluslararasi ticaret,2,Null,0,Null
61,61,61,felsefe,3,0.0-2.5,0,Null
62,62,62,uluslararasi iliskiler,2,0.0-2.5,0,Null
63,63,63,isletme,2,2.5-3.0,0,Null
64,64,64,iktisat,3,2.5-3.0,0,Null
65,65,65,isletme,4,0.0-2.5,0,Null
66,66,66,gorsel iletisim tasarimi,3,3.0-3.5,0,Null
67,67,67,bilgisayar muhendisligi,3,2.5-3.0,0,Null
68,68,68,isletme ingilizce - tam burslu,2,3.0-4.0,0,Null
69,69,69,isletme muhendisligi,1,Null,0,Null
70,70,70,international relations,2,0.0-2.5,0,Null
71,71,71,medya ve iletisim,4,3.0-3.5,0,Null
72,72,72,felsefe,2,Null,0,Null
73,73,73,"uluslararasi finans, uluslararasi ticaret ve isletmecilik",4,3.0-4.0,0,Null
74,74,74,ekonomi,3,2.5-3.0,0,Null
75,75,75,hukuk,3,3.0-3.5,0,Null
76,76,76,isletme,3,3.0-4.0,0,Null
77,77,77,enerji sistemleri muhendisligi-isletme muhendisligicap,3,3.0-4.0,0,Null
78,78,78,rehberlik ve psikolojik danismanlik,1,Null,0,Null
79,79,79,hukuk,2,3.0-3.5,0,Null
80,80,80,halkla iliskiler ve tanitim,2,2.5-3.0,0,Null
81,81,81,isletme,2,3.0-3.5,0,Null
82,82,82,halkla iliskiler,4,3.0-3.5,1,Null
83,83,83,bilgisayar muhendisligi,2,3.0-3.5,0,Null
84,84,84,endustri muhendisligi - otomotiv muhendisligiyan dal,4,3.0-3.5,0,Null
85,85,85,psikoloji,2,2.5-3.0,0,Null
86,86,86,iktisat,3,3.0-4.0,0,Null
87,87,87,endustri muhendisligi,2,3.0-4.0,0,Null
88,88,88,psikoloji,2,3.0-3.5,0,Null
89,89,89,isletme / psikoloji cift anadal,3,3.0-4.0,0,Null
90,90,90,insaat muhendisligi-isletme muhendisligicap,3,2.5-3.0,0,Null
91,91,91,endustri muhendisligi,3,3.0-4.0,0,Null
92,92,92,bilgisayar muhendisligi,3,2.5-3.0,0,Null
93,93,93,ingilizce isletme,1,Null,0,Null
94,94,94,elektrik elektronik muhendisligi,4,2.5-3.0,0,Null
95,95,95,siyaset bilimi ve uluslararasi iliskiler,3,2.5-3.0,0,Null
96,96,96,biyomedikal muhendisligi,3,3.0-3.5,0,Null
97,97,97,matematik,2,0.0-2.5,0,Null
98,98,98,isletme ingilizce,4,2.5-3.0,1,Null
99,99,99,isletme,1,3.0-3.5,0,Null
100,100,100,hemsirelik ve saglik hizmetleri,4,0.0-2.5,0,Null
101,101,101,iktisat,1,Null,0,Null
102,102,102,bilgisayar muhendisligi,2,2.5-3.0,0,Null
103,103,103,halkla iliskiler ve reklamcilik,hazirlik,Null,0,Null
104,104,104,halkla iliskiler ve reklamcilik,hazirlik,Null,0,Null
105,105,105,ekonomi ve finans,3,0.0-2.5,0,Null
106,106,106,is sagligi ve guvenligi,3,3.0-3.5,0,Null
107,107,107,hukuk,3,2.5-3.0,0,Null
108,108,108,siyaset bilimi ve kamu yonetimi,4,3.0-3.5,0,Null
109,109,109,isletme-ekonomi,hazirlik,Null,0,Null
110,110,110,tarih,hazirlik,Null,0,Null
111,111,111,bankacilik ve finans ingilizce,3,2.5-3.0,0,Null
112,112,112,psikoloji,2,3.0-4.0,0,Null
113,113,113,yonetim bilimleri,1,Null,0,Null
114,114,114,gorsel iletisim tasarimi,2,3.0-4.0,0,Null
115,115,115,psikoloji,2,3.0-3.5,0,Null
116,116,116,enerji sistemleri muhendisligi,1,Null,0,Null
117,117,117,hukuk,3,3.0-4.0,0,Null
118,118,118,uluslarasi iliskiler - iktisat cift anadal programi,3,3.0-3.5,0,Null
119,119,119,"matematik-bilgisayar,bilgisayar muhendisligi",3,3.0-3.5,0,Null
120,120,120,elektrik-elektronik muhendisligi,4,3.0-4.0,0,Null
121,121,121,halkla iliskiler tanitim,4,3.0-3.5,0,Null
122,122,122,uluslararasi ticaret,1,3.0-4.0,0,Null
123,123,123,uluslararasi ticaret,1,Null,0,Null
124,124,124,ekonomiingilizce,1,3.0-3.5,0,Null
125,125,125,psikoloji,3,2.5-3.0,0,Null
126,126,126,bankacilik ve sigortacilik,2,2.5-3.0,0,Null
127,127,127,biyomedikal muhendisligi,3,3.0-3.5,0,Null
128,128,128,enformasyon teknolojileri,4,2.5-3.0,0,Null
129,129,129,endustri muhendisligi,3,3.0-4.0,0,Null
130,130,130,uluslararasi iliskiler/ yandal-iktisat,3,3.0-3.5,0,Null
131,131,131,rehberlik ve psikolojik danismanlik,1,Null,0,Null
132,132,132,hukuk,2,3.0-4.0,0,Null
133,133,133,uluslararasi ticaret,1,Null,0,Null
134,134,134,kimya ve biyoloji muhendisligi,2,0.0-2.5,0,Null
135,135,135,saglik kurumlari yonetimi,2,3.0-4.0,0,Null
136,136,136,dis hekimligi,3,3.0-4.0,0,Null
137,137,137,hukuk,3,2.5-3.0,0,Null
138,138,138,halkla iliskiler ve reklamcilik,3,3.0-3.5,1,Null
139,139,139,makine muhendisligi,3,3.0-4.0,0,Null
140,140,140,endustri muhendisligi,3,2.5-3.0,0,Null
141,141,141,mimarlik,2,2.5-3.0,0,Null
142,142,142,ekonomi,4,2.5-3.0,0,Null
143,143,143,ekonomi,3,3.0-3.5,0,Null
144,144,144,siyaset bilimi ve kamu yonetimi,3,0.0-2.5,0,Null
145,145,145,bilgisayar ve egitim teknolojileri ogretmenligi,3,0.0-2.5,0,Null
146,146,146,bilgisayar muhendisligi,3,0.0-2.5,0,Null
147,147,147,televizyon haberciligi ve programciligi,2,3.0-3.5,0,Null
148,148,148,ingiliz dili veedebiyati,3,0.0-2.5,0,Null
149,149,149,mimarlik,1,Null,0,Null
150,150,150,uluslararasi isletme yonetimi,4,3.0-3.5,0,Null
151,151,151,psikoloji,4,3.0-4.0,0,Null
152,152,152,psikoloji,2,0.0-2.5,0,Null
153,153,153,makine muhendisligi,2,0.0-2.5,0,Null
154,154,154,mimarlik,2,2.5-3.0,0,Null
155,155,155,mimarlik,4,2.5-3.0,0,Null
156,156,156,psikoloji,4,2.5-3.0,0,Null
157,157,157,siyaset bilimi ve uluslararasi iliskiler psikoloji bolumu ile cift anadal,4,3.0-3.5,0,Null
158,158,158,isletme enformatigi,3,2.5-3.0,0,Null
159,159,159,muhendislik ve doga bilimleri fakultesi,1,Null,0,Null
160,160,160,malzeme bilimi ve muhendisligi,1,Null,0,Null
161,161,161,bilgisayar muhendisligi,3,2.5-3.0,0,Null
162,162,162,psikoloji,2,0.0-2.5,0,Null
163,163,163,mutercim tercumanlik,3,0.0-2.5,0,Null
164,164,164,hukuk,1,2.5-3.0,0,Null
165,165,165,yonetim bilisim sistemleri ve yazilim muhendisligi,4,3.0-3.5,0,Null
166,166,166,isletme-ekonomi,1,Null,0,Null
167,167,167,iktisat,4,3.0-4.0,0,Null
168,168,168,isletme. uluslararasi ticaret ve lojistik cap,3,3.0-4.0,0,Null
169,169,169,isletme bilgi yonetimi,3,3.0-4.0,0,Null
170,170,170,uluslararasi girisimcilik,3,2.5-3.0,0,Null
171,171,171,siyaset bilimi ve uluslararasi iliskiler,1,Null,0,Null
172,172,172,uluslararasi ticaret ve isletmecilik,3,3.0-3.5,0,Null
173,173,173,uluslararasi ticaret,hazirlik,Null,0,Null
174,174,174,tip,3,3.0-3.5,0,Null
175,175,175,elektrik-elektronik muhendisligi,1,Null,0,Null
176,176,176,iktisat,2,3.0-4.0,0,Null
177,177,177,bilgisayar muhendisligi %50 burslu,4,2.5-3.0,0,Null
178,178,178,mekatronik muhendisligi,1,0.0-2.5,0,Null
179,179,179,otel yoneticiligi,1,Null,0,Null
180,180,180,uluslararasi iliskiler ve ab,2,3.0-3.5,0,Null
181,181,181,ingilizce isletme,3,2.5-3.0,0,Null
182,182,182,uluslararasi iliskiler,3,3.0-3.5,0,Null
183,183,183,siyaset bilimi ve uluslararas iliskiler,2,3.0-3.5,0,Null
184,184,184,uluslararasi iliskiler / ekonomi cift anadal,3,3.0-3.5,0,Null
185,185,185,uluslararasi ticaret ve pazarlama %100 ingilizce,4,3.0-4.0,0,Null
186,186,186,psikoloji,2,3.0-4.0,0,Null
187,187,187,hukuk,3,2.5-3.0,0,Null
188,188,188,endustri muhendisligi,2,3.0-4.0,0,Null
189,189,189,turizm ve otel isletmeciligi,1,3.0-3.5,0,Null
190,190,190,"kimya-biyoloji muhendisligi, endustri muhendisligi cift anadal programi",3,3.0-3.5,0,Null
191,191,191,hukuk,1,Null,0,Null
192,192,192,makine muhendisligi,4,0.0-2.5,0,Null
193,193,193,isletme,2,2.5-3.0,0,Null
194,194,194,hukuk,1,Null,0,Null
195,195,195,uluslararasi lojistik ve tasimacilik,4,3.0-4.0,0,Null
196,196,196,hukuk,2,2.5-3.0,0,Null
197,197,197,bilgisayar muhendisligi,3,3.0-4.0,0,Null
198,198,198,bilgisayar muhendisligi,2,3.0-4.0,0,Null
199,199,199,fizik tedavi ve rehabilitasyon,1,Null,0,Null
200,200,200,isletme - yari burs tr siralama: 5000,2,2.5-3.0,0,Null
201,201,201,gemi makineleri isletme muhendisligi,1,3.0-4.0,0,Null
202,202,202,uluslararasi lojistik ve tasimacilik,1,Null,0,Null
203,203,203,yazilim muhendisligi,4,3.0-3.5,0,Null
204,204,204,matematik bilgisayar,mezun,0.0-2.5,1,Null
205,205,205,bilgisayar muhendisligi,2,2.5-3.0,0,Null
206,206,206,hukuk,4,0.0-2.5,0,Null
207,207,207,ekonomi,2,3.0-4.0,0,Null
208,208,208,iktisat,1,3.0-4.0,0,Null
209,209,209,elektrik-elektronik muhendisligi ingilizce,2,2.5-3.0,0,Null
210,210,210,elektrik elektronik muhendisligi ingilizce,2,0.0-2.5,0,Null
211,211,211,uluslararasi ticaret ve finansingilizce,4,Null,0,Null
212,212,212,hemsirelik,2,0.0-2.5,0,Null
213,213,213,okul oncesi ogretmenligi,3,3.0-3.5,0,Null
214,214,214,uluslararasi girisimcilik,1,0.0-2.5,0,Null
215,215,215,mimarlik,1,Null,0,Null
216,216,216,hukukingilizce,3,3.0-3.5,0,Null
217,217,217,malzeme bilimi ve nanoteknoloji muhendisligi,2,3.0-3.5,0,Null
218,218,218,"biemf - bachelor of international economics, management and finance",3,Null,0,Null
219,219,219,elektrik elektronik muh.,2,3.0-3.5,0,Null
220,220,220,ingilizce isletme,2,0.0-2.5,0,Null
221,221,221,tip fakultesi,3,3.0-4.0,0,Null
222,222,222,endustri muhendisligi,3,2.5-3.0,0,Null
223,223,223,mekatronik muhendisligi,4,3.0-3.5,0,Null
224,224,224,siyaset bilimi ve kamu yonetimi,mezun,3.0-4.0,0,Null
225,225,225,insaat teknolojileri,2,0.0-2.5,0,Null
226,226,226,yonetim bilisim sistemleri,3,2.5-3.0,0,Null
227,227,227,hukuk,4,3.0-3.5,0,Null
228,228,228,uluslararasi ticaret ve isletmecilik,3,0.0-2.5,0,Null
229,229,229,ilahiyat,2,3.0-4.0,0,Null
230,230,230,international relations,3,2.5-3.0,0,Null
231,231,231,ulualararasi lojistik ve tasimacilikingilizce,hazirlik,Null,0,Null
232,232,232,ekonomi ve finans,2,3.0-4.0,0,Null
233,233,233,bilgisayar muhendisligi,2,3.0-3.5,0,Null
234,234,234,insaat muhendisligi,1,Null,0,Null
235,235,235,endustri muhendisligi,4,3.0-4.0,0,Null
236,236,236,molekuler biyoloji ve genetik,mezun,3.0-4.0,0,Null
237,237,237,political science and international relations,3,3.0-3.5,0,Null
238,238,238,sosyal bilgiler ogretmenligi,2,2.5-3.0,0,Null
239,239,239,endustri muhendisligi,3,3.0-3.5,0,Null
240,240,240,kontrol ve otomasyon muhendisligiingilizce,hazirlik,Null,0,Null
241,241,241,bilgisayar muhendisligi,4,3.0-4.0,0,Null
242,242,242,computer technology and information systems,2,2.5-3.0,0,Null
243,243,243,hukuk fakultesi,4,2.5-3.0,0,Null
244,244,244,endustri muhendisligi,3,3.0-4.0,0,Null
245,245,245,dis ticaretingilizce,2,2.5-3.0,0,Null
246,246,246,endustri muhendisligi ingilizce,3,2.5-3.0,0,Null
247,247,247,elektrik-elektronik muhendisligi,2,2.5-3.0,0,Null
248,248,248,genetik ve biyomuhendislik,2,2.5-3.0,0,Null
249,249,249,mimarlik,2,3.0-3.5,0,Null
250,250,250,psikoloji,1,Null,0,Null
251,251,251,psikoloji %100 burslu,4,3.0-3.5,0,Null
252,252,252,bilgisayar muhendisligi,4,0.0-2.5,0,Null
253,253,253,televizyon haberciligi ve programciligi,4,3.0-3.5,0,Null
254,254,254,uluslararasi ticaret ve finansman,4,3.0-4.0,0,Null
255,255,255,endustri muhendisligi,4,0.0-2.5,0,Null
256,256,256,ekonomi,4,3.0-4.0,0,Null
257,257,257,uluslararasi lojistik - isletme ing cap,3,2.5-3.0,0,Null
258,258,258,mimarlik,2,0.0-2.5,0,Null
259,259,259,isletme,3,0.0-2.5,0,Null
260,260,260,lojistik yonetimi,3,3.0-3.5,0,Null
261,261,261,sosyal hizmet,4,0.0-2.5,0,Null
262,262,262,uluslararasi ticaret,2,2.5-3.0,0,Null
263,263,263,bilgisayar muhendisligi,4,0.0-2.5,0,Null
264,264,264,uluslararasi ticaret ve finansman,4,3.0-4.0,0,Null
265,265,265,uluslararasi iliskiler,4,3.0-4.0,0,Null
266,266,266,psikoloji,2,2.5-3.0,0,Null
267,267,267,uluslararasi finans,3,2.5-3.0,0,Null
268,268,268,political science and international relations,2,0.0-2.5,0,Null
269,269,269,insan ve toplum bilimleri,2,0.0-2.5,0,Null
270,270,270,mimarlik,1,Null,0,Null
271,271,271,eczacilik,4,3.0-3.5,0,Null
272,272,272,peyzaj mimarligi,2,3.0-3.5,0,Null
273,273,273,reklamcilik/ sanat ve kultur yonetimi yandal,4,3.0-3.5,0,Null
274,274,274,uluslararasi finans,1,0.0-2.5,0,Null
275,275,275,matematik,3,3.0-3.5,0,Null
276,276,276,"enformasyon teknolojileri,endustri muhendisligi",4,3.0-3.5,0,Null
277,277,277,isletme,1,3.0-3.5,0,Null
278,278,278,mimarlik,4,0.0-2.5,0,Null
279,279,279,karsilastirmali edebiyat,4,2.5-3.0,0,Null
280,280,280,felsefe,3,0.0-2.5,1,Null
281,281,281,turk dili ve edebiyati,3,0.0-2.5,0,Null
282,282,282,bilgisayar muhendisligi,3,2.5-3.0,0,Null
283,283,283,bilgisayar muhendisligi,4,3.0-3.5,0,Null
284,284,284,muhasebe ve finans yonetimi,4,0.0-2.5,1,Null
285,285,285,endustri muhendisligi,4,3.0-4.0,0,Null
286,286,286,mekatronik muhendisligi,1,0.0-2.5,0,Null
287,287,287,endustri muhendisligi,3,3.0-4.0,0,Null
288,288,288,ekonomi,3,3.0-3.5,0,Null
289,289,289,hukuk,2,2.5-3.0,0,Null
290,290,290,sinema tv,4,2.5-3.0,0,Null
291,291,291,elektronik muhendisligi,4,0.0-2.5,0,Null
292,292,292,isletme,mezun,0.0-2.5,0,Null
293,293,293,elektronik ve haberlesme muh.,3,0.0-2.5,0,Null
294,294,294,makine muhendisligi,1,Null,0,Null
295,295,295,endustri muhendisligi,3,2.5-3.0,0,Null
296,296,296,bilgisayar muhendisligi,4,2.5-3.0,0,Null
297,297,297,uluslararasi ticaret ve isletmecilik,2,Null,0,Null
298,298,298,mimarlik ingilizce tam burslu,1,3.0-3.5,0,Null
299,299,299,muhasebe bilgi sistemleri,2,2.5-3.0,0,Null
300,300,300,isletme,4,3.0-3.5,0,Null
301,301,301,vcd gorsel iletisim tasarim,1,Null,0,Null
302,302,302,insaat muhendisligi,2,0.0-2.5,0,Null
303,303,303,iletisim tasarimi,1,Null,0,Null
304,304,304,rehberlik ve psikolojik danismanlik,2,3.0-4.0,0,Null
305,305,305,uluslararasi iliskiler,2,3.0-3.5,0,Null
306,306,306,elektrik-elektronik muhendisligi - psikoloji cift anadal,3,3.0-3.5,0,Null
307,307,307,"endustri muhendisligi anadal, bilgisayar muhendisligi cift anadal",4,3.0-4.0,0,Null
308,308,308,endustri ve sistem muhendisligi,hazirlik,3.0-4.0,0,Null
309,309,309,ingilizce mutercim- tercumanlik,3,3.0-4.0,0,Null
310,310,310,isletme,4,2.5-3.0,0,Null
311,311,311,isletme muhendisligi,hazirlik,Null,0,Null
312,312,312,endustri muhendisligi,3,2.5-3.0,0,Null
313,313,313,hukuk,2,2.5-3.0,0,Null
314,314,314,endustri muhendisligi,3,3.0-3.5,0,Null
315,315,315,insaat muhendisligi,2,3.0-3.5,0,Null
316,316,316,yazilim muhendisligi,4,2.5-3.0,0,Null
317,317,317,bilgisayar muhendisligi,yuksek lisans,Null,1,Null
318,318,318,enerji sistemleri muhendisligi,2,2.5-3.0,0,Null
319,319,319,hukuk,2,3.0-3.5,0,Null
320,320,320,ekonomi-sosyoloji cift ana dal,3,3.0-3.5,0,Null
321,321,321,isletme,4,3.0-4.0,0,Null
322,322,322,elektrik-elektronik muhendisligi,1,Null,0,Null
323,323,323,gazetecilik,4,2.5-3.0,0,Null
324,324,324,televizyon haberciligi ve programciligi,1,Null,0,Null
325,325,325,sosyal hizmet,2,3.0-4.0,0,Null
326,326,326,insaat muhendisligiingilizce,1,Null,0,Null
327,327,327,hemsirelik,2,0.0-2.5,0,Null
328,328,328,isletme,3,3.0-3.5,0,Null
329,329,329,uluslararasi iliskiler,2,3.0-3.5,0,Null
330,330,330,isletme-girisimcilik,4,3.0-3.5,0,Null
331,331,331,ingilizce isletme,3,0.0-2.5,0,Null
332,332,332,uluslararasi finans,4,3.0-3.5,0,Null
333,333,333,elektrik-elektronik muhendisligianadal / yazilim muhendisligicift anadal,4,2.5-3.0,0,Null
334,334,334,uluslararasi ticaret,3,3.0-3.5,0,Null
335,335,335,lojistik yonetimi,4,3.0-4.0,0,Null
336,336,336,mutercim-tercumanlik,4,2.5-3.0,0,Null
337,337,337,isletmeingilizce,2,3.0-4.0,0,Null
338,338,338,tip,3,2.5-3.0,0,Null
339,339,339,ingilizce isletme,4,2.5-3.0,0,Null
340,340,340,bilgisayar muhendisligi,3,2.5-3.0,0,Null
341,341,341,uluslararasi iliskiler ingilizce,2,3.0-4.0,0,Null
342,342,342,ucak muhendisligi,2,3.0-4.0,0,Null
343,343,343,uluslararasi ticaret ve isletme,3,3.0-4.0,0,Null
344,344,344,isletme,2,3.0-4.0,0,Null
345,345,345,isletme,1,Null,0,Null
346,346,346,siyaset bilimi ve uluslararasi iliskiler,3,3.0-4.0,0,Null
347,347,347,molekuler biyoloji ve genetik,4,3.0-3.5,0,Null
348,348,348,isletme-ekonomi,1,Null,0,Null
349,349,349,uluslararasi ticaretingilizce,hazirlik,Null,0,Null
350,350,350,bilgisayar ve ogretim teknolojileri egitmenligi,3,2.5-3.0,0,Null
351,351,351,hukuk fakultesi,4,0.0-2.5,0,Null
352,352,352,endustri muhendisligi,1,Null,0,Null
353,353,353,uluslararasi iliskiler,1,Null,0,Null
354,354,354,uluslararasi ticaret ve finansman,2,0.0-2.5,0,Null
355,355,355,uluslararasi ticaret ve finansman,3,3.0-4.0,0,Null
356,356,356,cevre muhendisligi,3,3.0-3.5,0,Null
