Column,Value,Count
Basvuru Yili,2017,10325
Basvuru Yili,2021,8351
Basvuru Yili,2015,7804
Basvuru Yili,2020,7760
Basvuru Yili,2022,7622
Basvuru Yili,2019,7248
Basvuru Yili,2014,6454
Basvuru Yili,2016,5213
Basvuru Yili,2021,3243
Basvuru Yili,2018,1105
Degerlendirme Puani,18.0,1721
Degerlendirme Puani,28.0,1694
Degerlendirme Puani,24.0,1501
Degerlendirme Puani,22.0,1444
Degerlendirme Puani,26.0,1436
Degerlendirme Puani,8.0,1342
Degerlendirme Puani,38.0,1231
Degerlendirme Puani,12.0,1213
Degerlendirme Puani,20.0,1143
Degerlendirme Puani,14.0,1127
Degerlendirme Puani,36.0,1102
Degerlendirme Puani,34.0,1095
Degerlendirme Puani,32.0,1055
Degerlendirme Puani,16.0,1026
Degerlendirme Puani,30.0,1010
Degerlendirme Puani,58.0,890
Degerlendirme Puani,23.0,878
Degerlendirme Puani,13.0,867
Degerlendirme Puani,33.0,848
Degerlendirme Puani,56.0,839
Degerlendirme Puani,15.0,837
Degerlendirme Puani,44.0,804
Degerlendirme Puani,21.0,797
Degerlendirme Puani,42.0,777
Degerlendirme Puani,9.0,769
Degerlendirme Puani,46.0,759
Degerlendirme Puani,40.0,758
Degerlendirme Puani,10.0,756
Degerlendirme Puani,7.0,749
Degerlendirme Puani,7.0,748
Degerlendirme Puani,31.0,733
Degerlendirme Puani,19.0,724
Degerlendirme Puani,48.0,710
Degerlendirme Puani,62.0,699
Degerlendirme Puani,29.0,685
Degerlendirme Puani,60.0,683
Degerlendirme Puani,11.0,674
Degerlendirme Puani,6.0,616
Degerlendirme Puani,41.0,604
Degerlendirme Puani,22.0,597
Degerlendirme Puani,27.0,597
Degerlendirme Puani,64.0,571
Degerlendirme Puani,39.0,566
Degerlendirme Puani,25.0,566
Degerlendirme Puani,35.0,548
Degerlendirme Puani,17.0,543
Degerlendirme Puani,66.0,542
Degerlendirme Puani,43.0,538
Degerlendirme Puani,68.0,531
Degerlendirme Puani,12.0,527
Degerlendirme Puani,20.0,507
Degerlendirme Puani,37.0,495
Degerlendirme Puani,27.0,483
Degerlendirme Puani,15.0,449
Degerlendirme Puani,50.0,446
Degerlendirme Puani,30.0,443
Degerlendirme Puani,32.0,436
Degerlendirme Puani,14.0,434
Degerlendirme Puani,52.0,426
Degerlendirme Puani,70.0,422
Degerlendirme Puani,72.0,411
Degerlendirme Puani,49.0,402
Degerlendirme Puani,54.0,390
Degerlendirme Puani,37.0,389
Degerlendirme Puani,5.0,388
Degerlendirme Puani,25.0,387
Degerlendirme Puani,35.0,379
Degerlendirme Puani,19.0,378
Degerlendirme Puani,51.0,373
Degerlendirme Puani,28.0,369
Degerlendirme Puani,45.0,355
Degerlendirme Puani,40.0,349
Degerlendirme Puani,17.0,339
Degerlendirme Puani,23.0,326
Degerlendirme Puani,29.0,313
Degerlendirme Puani,47.0,305
Degerlendirme Puani,34.0,301
Degerlendirme Puani,38.0,300
Degerlendirme Puani,74.0,299
Degerlendirme Puani,53.0,289
Degerlendirme Puani,13.0,285
Degerlendirme Puani,42.0,285
Degerlendirme Puani,24.0,284
Degerlendirme Puani,33.0,282
Degerlendirme Puani,18.0,274
Degerlendirme Puani,36.0,258
Degerlendirme Puani,45.0,258
Degerlendirme Puani,47.0,256
Degerlendirme Puani,31.0,255
Degerlendirme Puani,39.0,253
Degerlendirme Puani,43.0,253
Degerlendirme Puani,44.0,250
Degerlendirme Puani,26.0,247
Degerlendirme Puani,5.0,247
Degerlendirme Puani,10.0,245
Degerlendirme Puani,41.0,220
Degerlendirme Puani,50.0,216
Degerlendirme Puani,46.0,214
Degerlendirme Puani,21.0,211
Degerlendirme Puani,76.0,208
Degerlendirme Puani,49.0,207
Degerlendirme Puani,55.0,196
Degerlendirme Puani,78.0,195
Degerlendirme Puani,2.0,193
Degerlendirme Puani,48.0,192
Degerlendirme Puani,61.0,187
Degerlendirme Puani,59.0,179
Degerlendirme Puani,53.0,177
Degerlendirme Puani,52.0,167
Degerlendirme Puani,51.0,161
Degerlendirme Puani,3.0,160
Degerlendirme Puani,16.0,149
Degerlendirme Puani,57.0,148
Degerlendirme Puani,80.0,148
Degerlendirme Puani,63.0,141
Degerlendirme Puani,55.0,139
Degerlendirme Puani,54.0,126
Degerlendirme Puani,82.0,117
Degerlendirme Puani,56.0,112
Degerlendirme Puani,8.0,103
Degerlendirme Puani,57.0,103
Degerlendirme Puani,11.0,102
Degerlendirme Puani,9.0,99
Degerlendirme Puani,6.0,95
Degerlendirme Puani,84.0,94
Degerlendirme Puani,61.0,85
Degerlendirme Puani,4.0,84
Degerlendirme Puani,69.0,81
Degerlendirme Puani,58.0,76
Degerlendirme Puani,60.0,75
Degerlendirme Puani,67.0,69
Degerlendirme Puani,65.0,66
Degerlendirme Puani,59.0,60
Degerlendirme Puani,88.0,58
Degerlendirme Puani,86.0,57
Degerlendirme Puani,71.0,50
Degerlendirme Puani,66.0,46
Degerlendirme Puani,4.0,45
Degerlendirme Puani,2.0,43
Degerlendirme Puani,62.0,42
Degerlendirme Puani,63.0,40
Degerlendirme Puani,92.0,39
Degerlendirme Puani,90.0,39
Degerlendirme Puani,77.0,36
Degerlendirme Puani,3.0,28
Degerlendirme Puani,73.0,27
Degerlendirme Puani,79.0,26
Degerlendirme Puani,1.0,24
Degerlendirme Puani,68.0,23
Degerlendirme Puani,96.0,18
Degerlendirme Puani,65.0,18
Degerlendirme Puani,94.0,16
Degerlendirme Puani,1.0,15
Degerlendirme Puani,64.0,13
Degerlendirme Puani,0.0,13
Degerlendirme Puani,0.0,12
Degerlendirme Puani,75.0,11
Degerlendirme Puani,67.0,9
Degerlendirme Puani,98.0,9
Degerlendirme Puani,STUDENT ACADEMIC INFO,7
Degerlendirme Puani,71.0,7
Degerlendirme Puani,FAMILY,7
Degerlendirme Puani,73.0,6
Degerlendirme Puani,SCHOLARSHIP,5
Degerlendirme Puani,81.0,5
Degerlendirme Puani,STUDENT,5
Degerlendirme Puani,ENRETEPERENEURSHIP,4
Degerlendirme Puani,HIGHSCHOOL,3
Degerlendirme Puani,NGO,3
Degerlendirme Puani,SPORT,2
Degerlendirme Puani,85.0,2
Degerlendirme Puani,UNI,2
Degerlendirme Puani,başvuru bilgi,2
Degerlendirme Puani,102.0,2
Degerlendirme Puani,83.0,2
Degerlendirme Puani,100.0,2
Degerlendirme Puani, STUDENT ACADEMIC INFO,2
Cinsiyet,Kadın,32077
Cinsiyet,Erkek,22752
Cinsiyet,ERKEK,10012
Cinsiyet,,211
Cinsiyet,Belirtmek istemiyorum,115
Dogum Tarihi,1/1/70 2:00,1655
Dogum Tarihi,,219
Dogum Tarihi,1/1/00 0:00,179
Dogum Tarihi,1/1/01 0:00,154
Dogum Tarihi,1/1/1997,139
Dogum Tarihi,1/1/1998,129
Dogum Tarihi,1/1/1996,119
Dogum Tarihi,1/1/99 0:00,117
Dogum Tarihi,1/1/1995,106
Dogum Tarihi,1/1/1999,84
Dogum Tarihi,1.01.2001 00:00,82
Dogum Tarihi,1/1/98 0:00,81
Dogum Tarihi,1-Jan-95,78
Dogum Tarihi,1/1/1994,73
Dogum Tarihi,1/1/02 0:00,71
Dogum Tarihi,1/1/1993,68
Dogum Tarihi,1.01.2000 00:00,61
Dogum Tarihi,1.01.2002 00:00,59
Dogum Tarihi,1-Jan-94,59
Dogum Tarihi,1-Jan-90,57
Dogum Tarihi,1-Jan-96,52
Dogum Tarihi,1/1/2000,50
Dogum Tarihi,1-Jan-93,43
Dogum Tarihi,1/1/97 0:00,43
Dogum Tarihi,1994-01-01,40
Dogum Tarihi,1/1/1970,38
Dogum Tarihi,1/1/1992,37
Dogum Tarihi,1995-01-01,36
Dogum Tarihi,1996-01-01,35
Dogum Tarihi,1/1/1991,32
Dogum Tarihi,10/1/1997,30
Dogum Tarihi,3/1/00 0:00,29
Dogum Tarihi,1.01.1999 00:00,29
Dogum Tarihi,1/2/1997,27
Dogum Tarihi,9/15/99 0:00,27
Dogum Tarihi,1/3/00 0:00,27
Dogum Tarihi,3/1/1997,27
Dogum Tarihi,5/5/1997,26
Dogum Tarihi,7/23/01 0:00,26
Dogum Tarihi,8/20/99 0:00,26
Dogum Tarihi,9/9/99 0:00,26
Dogum Tarihi,5/5/00 0:00,25
Dogum Tarihi,1/5/01 0:00,25
Dogum Tarihi,8/1/1997,25
Dogum Tarihi,7/1/99 0:00,24
Dogum Tarihi,1.01.2003 00:00,24
Dogum Tarihi,9/5/00 0:00,24
Dogum Tarihi,1/2/00 0:00,24
Dogum Tarihi,9/1/99 0:00,24
Dogum Tarihi,11/1/1996,24
Dogum Tarihi,8/1/01 0:00,24
Dogum Tarihi,1/15/99 0:00,23
Dogum Tarihi,1/10/00 0:00,23
Dogum Tarihi,4/1/98 0:00,23
Dogum Tarihi,4/1/00 0:00,23
Dogum Tarihi,2/1/1997,23
Dogum Tarihi,5/1/99 0:00,23
Dogum Tarihi,3/1/99 0:00,23
Dogum Tarihi,5/1/01 0:00,23
Dogum Tarihi,8/8/00 0:00,23
Dogum Tarihi,3/1/01 0:00,23
Dogum Tarihi,2/2/1998,23
Dogum Tarihi,1/12/1998,22
Dogum Tarihi,11/1/00 0:00,22
Dogum Tarihi,2/2/1995,22
Dogum Tarihi,8/23/00 0:00,22
Dogum Tarihi,8/4/00 0:00,22
Dogum Tarihi,2/2/01 0:00,22
Dogum Tarihi,6/20/00 0:00,22
Dogum Tarihi,5/1/00 0:00,22
Dogum Tarihi,1/2/1998,22
Dogum Tarihi,10/10/1997,21
Dogum Tarihi,1/15/01 0:00,21
Dogum Tarihi,1/5/00 0:00,21
Dogum Tarihi,6/15/00 0:00,21
Dogum Tarihi,5/5/1998,21
Dogum Tarihi,10/1/1996,21
Dogum Tarihi,9/1/98 0:00,21
Dogum Tarihi,1/4/1998,21
Dogum Tarihi,8/1/00 0:00,21
Dogum Tarihi,1/5/98 0:00,21
Dogum Tarihi,8/1/99 0:00,21
Dogum Tarihi,7/5/00 0:00,20
Dogum Tarihi,8/20/01 0:00,20
Dogum Tarihi,7/1/1996,20
Dogum Tarihi,5/15/00 0:00,20
Dogum Tarihi,10/1/1998,20
Dogum Tarihi,4/1/1998,20
Dogum Tarihi,8/1/1996,20
Dogum Tarihi,9/12/00 0:00,20
Dogum Tarihi,6/26/00 0:00,20
Dogum Tarihi,5/9/1997,20
Dogum Tarihi,5/8/1998,20
Dogum Tarihi,9/1/00 0:00,19
Dogum Tarihi,2/10/00 0:00,19
Dogum Tarihi,9/27/99 0:00,19
Dogum Tarihi,8/14/00 0:00,19
Dogum Tarihi,4/3/00 0:00,19
Dogum Tarihi,10/3/1997,19
Dogum Tarihi,10/1/1999,19
Dogum Tarihi,1/1/96 0:00,19
Dogum Tarihi,7/1/1997,19
Dogum Tarihi,3/15/00 0:00,19
Dogum Tarihi,7/1/00 0:00,19
Dogum Tarihi,1/4/1997,19
Dogum Tarihi,10/10/00 0:00,19
Dogum Tarihi,10/10/1998,19
Dogum Tarihi,1/2/1995,19
Dogum Tarihi,7/7/1997,19
Dogum Tarihi,2.01.2001 00:00,19
Dogum Tarihi,8/22/00 0:00,19
Dogum Tarihi,1-Jan-92,19
Dogum Tarihi,6/6/1996,19
Dogum Tarihi,6/12/00 0:00,19
Dogum Tarihi,1/3/1995,19
Dogum Tarihi,6/5/00 0:00,19
Dogum Tarihi,9/8/00 0:00,19
Dogum Tarihi,6/6/1997,19
Dogum Tarihi,7/27/01 0:00,19
Dogum Tarihi,10/20/99 0:00,18
Dogum Tarihi,1/15/00 0:00,18
Dogum Tarihi,8/4/1997,18
Dogum Tarihi,3/3/00 0:00,18
Dogum Tarihi,4/25/00 0:00,18
Dogum Tarihi,1/10/01 0:00,18
Dogum Tarihi,1/5/99 0:00,18
Dogum Tarihi,1 Kasim 1993,18
Dogum Tarihi,1997-01-01,18
Dogum Tarihi,6/4/01 0:00,18
Dogum Tarihi,7/2/01 0:00,18
Dogum Tarihi,8/25/00 0:00,18
Dogum Tarihi,6/6/00 0:00,18
Dogum Tarihi,6/24/00 0:00,18
Dogum Tarihi,1/2/01 0:00,18
Dogum Tarihi,1/15/1994,18
Dogum Tarihi,4/1/1996,18
Dogum Tarihi,5/19/00 0:00,18
Dogum Tarihi,1/6/1998,18
Dogum Tarihi,5/1/1998,18
Dogum Tarihi,10/10/1995,18
Dogum Tarihi,4/1/1997,18
Dogum Tarihi,2/23/1995,18
Dogum Tarihi,6/5/1997,18
Dogum Tarihi,1/10/1998,18
Dogum Tarihi,2/10/1998,18
Dogum Tarihi,1/7/1998,18
Dogum Tarihi,7/10/1997,18
Dogum Tarihi,9/1/1994,17
Dogum Tarihi,2/12/00 0:00,17
Dogum Tarihi,7/21/01 0:00,17
Dogum Tarihi,1/3/1999,17
Dogum Tarihi,6/1/99 0:00,17
Dogum Tarihi,1/5/1997,17
Dogum Tarihi,5/28/99 0:00,17
Dogum Tarihi,2/2/00 0:00,17
Dogum Tarihi,1/3/1998,17
Dogum Tarihi,9/9/1997,17
Dogum Tarihi,3/20/01 0:00,17
Dogum Tarihi,5/5/01 0:00,17
Dogum Tarihi,1/3/1996,17
Dogum Tarihi,1/10/1996,17
Dogum Tarihi,4/15/99 0:00,17
Dogum Tarihi,10/8/1997,17
Dogum Tarihi,4/15/00 0:00,17
Dogum Tarihi,2/7/1997,17
Dogum Tarihi,5/5/99 0:00,17
Dogum Tarihi,9/7/99 0:00,17
Dogum Tarihi,9/10/1997,17
Dogum Tarihi,9/9/1999,17
Dogum Tarihi,11/20/00 0:00,17
Dogum Tarihi,5/10/01 0:00,17
Dogum Tarihi,2/2/1996,17
Dogum Tarihi,1/10/1997,17
Dogum Tarihi,7/19/00 0:00,17
Dogum Tarihi,10/10/99 0:00,17
Dogum Tarihi,15 Mayis 1994,17
Dogum Tarihi,10/1/1995,17
Dogum Tarihi,9/25/00 0:00,17
Dogum Tarihi,2/1/00 0:00,17
Dogum Tarihi,2/28/00 0:00,17
Dogum Tarihi,10/30/00 0:00,17
Dogum Tarihi,6/1/00 0:00,17
Dogum Tarihi,1/10/1995,17
Dogum Tarihi,1/8/1997,17
Dogum Tarihi,7/1/1993,17
Dogum Tarihi,8/28/00 0:00,17
Dogum Tarihi,3/2/00 0:00,17
Dogum Tarihi,11/1/99 0:00,16
Dogum Tarihi,7/20/00 0:00,16
Dogum Tarihi,1/14/00 0:00,16
Dogum Tarihi,9/20/00 0:00,16
Dogum Tarihi,4/4/1997,16
Dogum Tarihi,6/5/01 0:00,16
Dogum Tarihi,8/8/1998,16
Dogum Tarihi,3/24/99 0:00,16
Dogum Tarihi,1/23/01 0:00,16
Dogum Tarihi,8/16/00 0:00,16
Dogum Tarihi,6/26/01 0:00,16
Dogum Tarihi,1/7/00 0:00,16
Dogum Tarihi,10/12/1997,16
Dogum Tarihi,2/14/00 0:00,16
Dogum Tarihi,3.01.2001 00:00,16
Dogum Tarihi,10/25/99 0:00,16
Dogum Tarihi,1/17/00 0:00,16
Dogum Tarihi,6/1/01 0:00,16
Dogum Tarihi,6/20/1996,16
Dogum Tarihi,8/8/01 0:00,16
Dogum Tarihi,5/10/00 0:00,16
Dogum Tarihi,7/11/1997,16
Dogum Tarihi,3/3/1997,16
Dogum Tarihi,2/1/1999,16
Dogum Tarihi,1/20/00 0:00,16
Dogum Tarihi,7/10/1996,16
Dogum Tarihi,9/8/01 0:00,16
Dogum Tarihi,2/12/01 0:00,16
Dogum Tarihi,5/2/1996,16
Dogum Tarihi,7/12/00 0:00,16
Dogum Tarihi,6/6/01 0:00,16
Dogum Tarihi,2/1/99 0:00,16
Dogum Tarihi,7/17/01 0:00,16
Dogum Tarihi,5/1/1996,16
Dogum Tarihi,10/10/01 0:00,16
Dogum Tarihi,10-Oct-93,16
Dogum Tarihi,5/16/00 0:00,16
Dogum Tarihi,4/10/00 0:00,16
Dogum Tarihi,2/15/00 0:00,16
Dogum Tarihi,2/23/01 0:00,16
Dogum Tarihi,11/15/99 0:00,16
Dogum Tarihi,7/1/01 0:00,16
Dogum Tarihi,9/5/1995,16
Dogum Tarihi,8/20/00 0:00,16
Dogum Tarihi,7/1/98 0:00,16
Dogum Tarihi,8/5/1994,16
Dogum Tarihi,6/1/1997,16
Dogum Tarihi,8/5/00 0:00,16
Dogum Tarihi,2/6/01 0:00,16
Dogum Tarihi,10/23/00 0:00,16
Dogum Tarihi,10/8/1998,16
Dogum Tarihi,9/1/1992,16
Dogum Tarihi,1/3/1997,16
Dogum Tarihi,2/24/1994,16
Dogum Tarihi,10/1/1994,16
Dogum Tarihi,12/7/00 0:00,16
Dogum Tarihi,1/27/99 0:00,16
Dogum Tarihi,10/25/00 0:00,16
Dogum Tarihi,8/2/00 0:00,16
Dogum Tarihi,1/3/01 0:00,16
Dogum Tarihi,5/11/01 0:00,16
