id,Basvuru Yili,Cinsiyet,Dogum Tarihi,Dogum Yeri,Ikametgah Sehri,Universite Adi,Universite Turu,Bölüm,Universite Kacinci Sinif,Universite Not Ortalamasi,Daha Once Baska Bir Universiteden Mezun Olmus,"Daha Önceden Mezun Olunduysa, Mezun Olunan Üniversite",Lise Adi,Lise Sehir,Lise Turu,Lise Mezuniyet Notu,Anne Egitim Durumu,Anne Calisma Durumu,Baba Egitim Durumu,Baba Calisma Durumu,Kardes Sayisi,Burslu ise Burs Yuzdesi,Burs Aliyor mu?,Baska Bir Kurumdan Burs Aliyor mu?,Baska Kurumdan Aldigi Burs Miktari,Ingilizce Biliyor musunuz?,Ingilizce Seviyeniz?,Girisimcilik Kulupleri Tarzi Bir Kulube Uye misiniz?,Aktif olarak bir STK üyesi misiniz?
0,2014,Erkek,4/6/1994,"Altindag, Ankara",Ankara,İHSAN DOĞRAMACI BİLKENT,Özel,Bilgisayar Muhendisligi,3,3.77,Hayır,,Ankara Ataturk Anadolu Lisesi,Ankara,Anadolu lisesi,3.50-3,Üniversite,Hayır,Üniversite,Emekli,1.0,100.0,Evet,Hayır,,,,Evet,Hayır
1,2014,Erkek,6/11/1993,Üsküdar,İstanbul,İHSAN DOĞRAMACI BİLKENT,Özel,Elektrik Elektronik Mühendisliği,3,3.89,Hayır,,Betül Can Anadolu Lisesi,Ankara,Anadolu lisesi,3.00 - 4.00,Üniversite,Evet,Yüksek Lisans / Doktora,Emekli,1.0,100.0,Hayır,Hayır,,,,Hayır,Hayır
2,2014,Erkek,1/15/1986,Samsun,İstanbul,ULUSLARARASI KIBRIS ÜNİVERSİTESİ,Özel,Finans Yönetimi ve Pazarlama,1,2.97,Hayır,,Batem,Ankara,Meslek lisesi,3.50-3,İlkokul Mezunu,Hayır,İlkokul Mezunu,Evet,6.0,100.0,Hayır,Hayır,,,,Evet,Hayır
3,2014,Erkek,6/4/1991,Diyarbakır,İstanbul,İSTANBUL ŞEHİR ÜNİVERSİTESİ,Özel,Bilgisayar Mühendisliği,3,3.74,Hayır,,Cumhuriyet Fen Lisesi,Diyarbakır,Fen lisesi,3.50-3,İlkokul Mezunu,Hayır,Üniversite,Emekli,10.0,100.0,Evet,Hayır,,,,Evet,Hayır
4,2014,Erkek,2 Kasim 1992,Ankara/Altındağ,Ankara,TURGUT ÖZAL ÜNİVERSİTESİ,Özel,Siyaset Bilimi ve Uluslararası ilişkiler,,3.56,Hayır,,Samanyolu Lisesi,Ankara,Özel lisesi,3.00 - 4.00,İlkokul Mezunu,Hayır,Üniversite,Emekli,1.0,100.0,Evet,Hayır,,,,Hayır,Hayır
5,2014,Erkek,4/14/1992,İSTANBUL,İstanbul,İSTANBUL TİCARET ÜNİVERSİTESİ,Özel,BANKACILIK VE FİNANS,3,2.14,Hayır,,ÖNCÜ KOLEJİ,ANKARA,Özel lisesi,3.00 - 4.00,Eğitim Yok,Hayır,Yüksek Lisans / Doktora,Evet,3.0,100.0,Evet,Hayır,,,,Evet,Hayır
6,2014,Erkek,10/13/1994,İstanbul,İstanbul,İSTANBUL MEDİPOL ÜNİVERSİTESİ,Özel,Hukuk,2,2.68,Hayır,,Haydarpaşa Lisesi,İstanbul,Anadolu lisesi,3.00 - 4.00,Üniversite,Hayır,,,,100.0,Hayır,Hayır,,,,,
7,2014,Erkek,3/18/1993,İstanbul,İstanbul,FATİH SULTAN MEHMET VAKIF,Özel,Bilgisayar mühendisliği,1,3.78,Hayır,,Mevlana Anadolu lisesi,İstanbul,Anadolu lisesi,3.50-3,Lise,Hayır,İlkokul Mezunu,Hayır,1.0,100.0,Evet,Hayır,,,,Hayır,Hayır
8,2014,Erkek,29 Aralik 1991,Erzincan- Refahiye,Esenler/İstanbul,BAHÇEŞEHİR ÜNİVERSİTESİ,Özel,Sinema-TV,2,2.5,Hayır,,Fatih Gelenbevi Anadolu Lisesi,İstanbul,Anadolu lisesi,3.50-3,Ortaokul Mezunu,Hayır,Ortaokul Mezunu,Evet,4.0,100.0,Evet,Hayır,,,,Hayır,Evet
9,2014,Erkek,4/25/1991,Sivas,İstanbul,İSTANBUL TİCARET ÜNİVERSİTESİ,Özel,Bilgisayar Mühendisliği,4,3.01,Hayır,,Cumhuriyet anadolu Lisesi,sivas,Anadolu lisesi,3.50-3,Üniversite,Evet,Yüksek Lisans / Doktora,Evet,1.0,100.0,Evet,Hayır,,,,Hayır,Hayır
